COMPANY_CD,FINANCIAL_YEAR,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,BU_UNIT,BU_STATE_TIN,BU_CONTACT_PERSON_CD,ADDR_FLAG,CONTACT_PERSON_CD,INVOICE_TYPE,INVOICE_SEQ,INVOICE_NO,LINE_NO,LINE_DESC,UNIT,QTY,RATE,AMOUNT,ENT_BY,ENT_DT,CARGO_NO,SAC_CD
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0019/23-24,null,null,LP,19,IT0019/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0667/23-24 dated 12-SEP-23,INR,865.04,12.65,10942.756,201,13/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0020/23-24,null,null,LP,20,IT0020/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0670/23-24 dated 13-SEP-23,INR,888.78,12.65,11243.067,201,13/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0096/23-24,null,null,LP,96,IT0096/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T1040/23-24 dated 15-NOV-23,INR,896.23,12.65,11337.3095,201,27/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0097/23-24,null,null,LP,97,IT0097/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T1041/23-24 dated 15-NOV-23,INR,864.58,12.65,10936.937,201,27/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0021/23-24,null,null,LP,21,IT0021/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0674/23-24 dated 13-SEP-23,INR,875.07,12.65,11069.6355,201,13/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0022/23-24,null,null,LP,22,IT0022/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0676/23-24 dated 14-SEP-23,INR,872.43,12.65,11036.2395,201,13/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0052/23-24,null,null,LP,52,IT0052/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0895/23-24 dated 21-OCT-23,INR,893.31,12.65,11300.3715,201,22/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0053/23-24,null,null,LP,53,IT0053/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0905/23-24 dated 23-OCT-23,INR,789.1,12.65,9982.115,201,22/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0054/23-24,null,null,LP,54,IT0054/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0909/23-24 dated 23-OCT-23,INR,882.2,12.65,11159.83,201,22/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0056/23-24,null,null,LP,56,IT0056/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0914/23-24 dated 24-OCT-23,INR,886.46,12.65,11213.719,201,22/11/2023 00:00:00,0,null
