COMPANY_CD,REPORT_DT,BUY_SELL,COUNTERPARTY_CD,COUNTERPARTY_NM,CONTRACT_TYPE,MAPPING_ID,CONT_REF,CONT_SIGN_DT,CONT_START_DT,CONT_END_DT,CONT_ENT_BY,CONT_ENT_DT,CONT_APRV_BY,CONT_APRV_DT,CONT_STATUS,PRICE_TYPE,CONT_PRICE,RATE_UNIT,PHYS_CURVE,FIN_CURVE,TOT_DCQ,TOT_ALLOC_QTY,TOT_ORI_EXPO_PHY,TOT_ORI_EXPO_FIN,TOT_UNR_EXPO_PHY,TOT_UNR_EXPO_FIN,TOT_R_EXPO_PHY,TOT_R_EXPO_FIN,TOT_UNR_PHY_LEG,TOT_UNR_FIN_LEG,TOT_R_FIN_LEG,TOT_MTM_TOTAL,PHYS_FWD_PRICE_DT,FIN_FWD_PRICE_DT,ENT_BY,ENT_DT,DEAL_NUM
2,23/12/2022 00:00:00,Buy,SITME,Shell International Trading Middle East Ltd.,D,B3-22001-0-22001-1,SITME-1-1-D-22001-0,06/06/2022 00:00:00,06/06/2022 00:00:00,30/06/2022 00:00:00,null,null,null,null,null,null,null,null,LNG_PHYS_INDIA,null,25000,0,25000,0,0,0,25000,0,0,0,0,0,null,null,4,30/06/2022 00:00:00,null
2,23/12/2022 00:00:00,Buy,SITME,Shell International Trading Middle East Ltd.,D,B3-22002-0-22002-1,SITME-1-1-D-22002-0,06/06/2022 00:00:00,06/06/2022 00:00:00,31/07/2022 00:00:00,null,null,null,null,null,null,null,null,LNG_PHYS_INDIA,null,25000.08,0,25000.08,0,0,0,25000.08,0,0,0,0,0,null,null,4,01/07/2022 00:00:00,null
2,23/12/2022 00:00:00,Buy,SITME,Shell International Trading Middle East Ltd.,D,B3-22002-0-22002-2,SITME-1-2-D-22003-0,06/06/2022 00:00:00,06/06/2022 00:00:00,31/07/2022 00:00:00,null,null,null,null,null,null,null,null,LNG_PHYS_INDIA,null,25000.08,0,25000.08,0,0,0,25000.08,0,0,0,0,0,null,null,4,01/07/2022 00:00:00,null
2,23/12/2022 00:00:00,Buy,SITME,Shell International Trading Middle East Ltd.,D,B3-22003-0-22003-1,SITME-1-1-D-22004-0,06/06/2022 00:00:00,06/06/2022 00:00:00,31/12/2022 00:00:00,null,null,null,null,null,null,null,null,LNG_PHYS_INDIA,null,260000.18,0,260000.18,0,9952.16,0,250048.02,0,269424.88,0,-7961.76,261463.12,null,null,4,04/07/2022 00:00:00,null
2,23/12/2022 00:00:00,Buy,SITME,Shell International Trading Middle East Ltd.,D,B3-22004-0-22004-1,SITME-1-1-D-22005-0,06/06/2022 00:00:00,06/06/2022 00:00:00,31/07/2022 00:00:00,null,null,null,null,null,null,null,null,LNG_PHYS_INDIA,null,12121211.76,0,12121211.76,0,0,0,12121211.76,0,0,0,0,0,null,null,4,05/07/2022 00:00:00,null
2,23/12/2022 00:00:00,Buy,SITME,Shell International Trading Middle East Ltd.,D,B3-22005-0-22005-1,SITME-1-1-D-22006-0,01/07/2022 00:00:00,01/07/2022 00:00:00,31/08/2022 00:00:00,null,null,null,null,null,null,null,null,LNG_PHYS_INDIA,null,250000.12,0,250000.12,0,0,0,250000.12,0,0,0,0,0,null,null,4,10/08/2022 00:00:00,null
2,23/12/2022 00:00:00,Buy,SITME,Shell International Trading Middle East Ltd.,D,B3-22005-0-22005-2,SITME-1-2-D-22007-0,01/07/2022 00:00:00,01/07/2022 00:00:00,31/08/2022 00:00:00,null,null,null,null,null,null,null,null,LNG_PHYS_INDIA,null,250000.12,0,250000.12,0,0,0,250000.12,0,0,0,0,0,null,null,4,10/08/2022 00:00:00,null
2,23/12/2022 00:00:00,Buy,SITME,Shell International Trading Middle East Ltd.,D,B3-22006-0-22006-1,SITME-1-1-D-22008-0,01/07/2022 00:00:00,01/07/2022 00:00:00,31/08/2022 00:00:00,null,null,null,null,null,null,null,null,LNG_PHYS_INDIA,null,250000.12,0,250000.12,0,0,0,250000.12,0,0,0,0,0,null,null,4,24/08/2022 00:00:00,null
2,23/12/2022 00:00:00,Buy,SITME,Shell International Trading Middle East Ltd.,D,B3-22007-0-22007-1,SITME-1-1-D-22009-0,01/07/2022 00:00:00,01/07/2022 00:00:00,31/08/2022 00:00:00,null,null,null,null,null,null,null,null,LNG_PHYS_INDIA,null,250000.12,0,250000.12,0,0,0,250000.12,0,0,0,0,0,null,null,4,24/08/2022 00:00:00,null
2,23/12/2022 00:00:00,Sell,AMNS,ARCELORMITTAL NIPPON STEEL INDIA LIMITED,S,S33-2-0-1-0,S-2-0-1-0,26/04/2022 00:00:00,26/04/2022 00:00:00,31/12/2022 00:00:00,null,null,null,null,null,null,null,null,RLNG_PHYS_INDIA,null,-124750,0,-124750,0,-3992,0,-120758,0,-114378.8,0,16284.16,-98094.64,null,null,4,26/04/2022 00:00:00,null
