COMPANY_CD,FINANCIAL_YEAR,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,BU_UNIT,PLANT_SEQ,INVOICE_NO,INVOICE_SEQ,INVOICE_ID_SEQ,DR_CR_REF_NO,DR_CR_NO,CRITERIA,DR_CR_FLAG,DR_CR_SEQ,ITEM_DESCRIPTION,LINE_SEQ,ITEM_CD,ITEM_EFF_DT,ITEM_AMT,ITEM_DIFF_AMT,ITEM_DIFF_VALUE
HCG,2023-2024,06,1,0,6,0,S,1,1,S0228/23-24,228,228,C028/23-24,C028/23-24,1,CR,null,null,1,1,null,83.345,83.16,0.1850
HCG,2023-2024,06,1,0,6,0,S,1,1,S0350/23-24,350,350,D032/23-24,D032/23-24,3,DR,null,null,1,3,null,null,null,null
HCG,2023-2024,06,1,0,6,0,S,1,1,S0370/23-24,370,370,D039/23-24,D039/23-24,1,DR,null,null,1,1,null,83.025,83.05,-0.0250
HCG,2023-2024,05,1,0,5,0,S,1,1,S0061/23-24,61,61,D001/23-24,D001/23-24,10,DR,null, Imbalance charges,1,10,null,null,null,null
HCG,2023-2024,06,1,0,6,0,S,1,1,S0175/23-24,175,175,D010/23-24,D010/23-24,10,DR,null, Imbalance Quantity ,1,10,null,null,null,null
HCG,2023-2024,06,1,0,6,0,S,1,1,S0215/23-24,215,215,D022/23-24,D022/23-24,10,DR,null, Imbalance Charges,1,10,null,null,null,null
HCG,2023-2024,06,1,0,6,0,S,1,1,S0262/23-24,262,262,D024/23-24,D024/23-24,1,DR,null,null,1,1,null,83.205,83.335,-0.1300
HCG,2023-2024,06,1,0,6,0,S,1,1,S0390/23-24,390,390,C036/23-24,C036/23-24,1,CR,null,null,1,1,null,82.915,82.89,0.0250
HCG,2023-2024,06,1,0,6,0,S,1,1,S0320/23-24,320,320,D026/23-24,D026/23-24,10,DR,null,Imbalance charges,1,10,null,null,null,null
HCG,2023-2024,06,1,1,6,0,S,1,1,S0438/23-24,438,438,D046/23-24,D046/23-24,6,DR,null,OTHERS,1,6,null,null,null,null
HCG,2023-2024,06,1,1,6,0,S,1,1,S0438/23-24,438,438,D002/24-25,D002/24-25,1,DR,null,DIFF-EXG,2,1,null,83.375,83.4,-0.0250
HCG,2024-2025,SN08 T1,1,0,8,0,S,1,1,S0160/24-25,160,160,C004/24-25,C004/24-25,1,CR,null,null,1,1,null,84.36,83.84,0.5200
HCG,2024-2025,SN08 T1,1,0,8,0,S,1,1,S0201/24-25,201,201,C008/24-25,C008/24-25,1,CR,null,null,1,1,null,84.1,83.98,0.1200
HCG,2023-2024,06,1,0,6,0,S,1,1,S0403/23-24,403,403,C040/23-24,C040/23-24,1,CR,null,null,1,1,null,82.975,82.97,0.0050
HCG,2024-2025,07,1,0,7,0,S,1,1,S0179/24-25,179,179,D022/24-25,D022/24-25,10,DR,null, Imbalance Charges,1,10,null,null,null,null
HCG,2024-2025,07,1,0,7,0,S,1,1,S0065/24-25,65,65,D007/24-25,D007/24-25,10,DR,null, Imbalance Charges,1,10,null,null,null,null
GGL,2022-2023,07,1,0,8,0,S,1,1,S0022/22-23,22,22,D004/22-23,D004/22-23,10,DR,null, Imbalance,1,10,null,null,null,null
GGL,2024-2025,08,1,0,9,0,S,2,3,SMH0065/24-25,65,65,DMH025/24-25,DMH025/24-25,1,DR,null,null,1,1,null,84.085,84.09,-0.0050
GGL,2024-2025,08,1,0,9,0,S,2,3,SMH0070/24-25,70,70,DMH029/24-25,DMH029/24-25,1,DR,null,null,1,1,null,84.105,84.29,-0.1850
GGL,2024-2025,08,1,0,9,0,S,2,3,SMH0192/23-24,192,192,CMH001/24-25,CMH001/24-25,6,CR,null,OTHERS,1,6,null,null,null,null
