COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,PLANT_SEQ,BU_SEQ,BASE,GCV,NCV,GAS_DT,FILL_STATION_CD,BAY_CD,SLOT_START_TIME,SLOT_END_TIME,GEN_DT,GEN_TIME,NOM_REV_NO,TRUCK_TRANS_CD,TRUCK_CD,LOAD_START_DT,LOAD_START_TIME,LOAD_END_DT,LOAD_END_TIME,NEXT_AVAIL_HRS,QTY_MMBTU,QTY_MT,GCV_MMBTU,ENT_BY,ENT_DT
SGIPL,S-1-0-2-0,35-1-0-2-0-2-5,null,null,null,S,5,null,GCV,9802.8,8831.35,27/02/2022 00:00:00,1,1,GPLPL-42,null,28/02/2022 00:00:00,00:00,1,GPLPL,42,27/02/2022 00:00:00,00:00,27/02/2022 00:00:00,00:00,24,839.1034,16.12,52.05356,72,27/02/2022 00:00:00
SGIPL,S-1-0-2-0,35-1-0-2-0-2-5,null,null,null,S,5,null,GCV,9802.8,8831.35,01/04/2022 00:00:00,1,1,GPLPL-43,null,02/04/2022 00:00:00,00:00,1,GPLPL,43,01/04/2022 00:00:00,00:00,01/04/2022 00:00:00,00:00,24,822.544,15.95,51.57016,61,01/04/2022 00:00:00
SGIPL,S-1-0-2-0,35-1-0-2-0-2-5,null,null,null,S,5,null,GCV,9802.8,8831.35,25/03/2022 00:00:00,1,1,GPLPL-42,null,26/03/2022 00:00:00,00:00,1,GPLPL,42,25/03/2022 00:00:00,00:00,25/03/2022 00:00:00,00:00,24,842.455,16.20,52.00341,54,25/03/2022 00:00:00
SGIPL,S-1-0-2-0,35-1-0-2-0-2-5,null,null,null,S,5,null,GCV,9802.8,8831.35,11/03/2022 00:00:00,1,1,GPLPL-43,null,12/03/2022 00:00:00,00:00,1,GPLPL,43,11/03/2022 00:00:00,00:00,11/03/2022 00:00:00,00:00,24,849.343,16.35,51.94761,64,11/03/2022 00:00:00
SGIPL,S-1-0-2-0,35-1-0-2-0-2-5,null,null,null,S,5,null,GCV,9802.8,8831.35,13/03/2022 00:00:00,1,1,GPLPL-42,null,14/03/2022 00:00:00,00:00,3,GPLPL,42,13/03/2022 00:00:00,00:00,13/03/2022 00:00:00,00:00,24,839.733,16.16,51.96365,64,13/03/2022 00:00:00
SGIPL,S-1-0-2-0,35-1-0-2-0-2-5,null,null,null,S,5,null,GCV,9802.8,8831.35,15/03/2022 00:00:00,1,1,GPLPL-42,null,16/03/2022 00:00:00,00:00,1,GPLPL,42,15/03/2022 00:00:00,00:00,15/03/2022 00:00:00,00:00,24,836.6878,16.15,51.8073,71,15/03/2022 00:00:00
SGIPL,S-1-0-2-0,35-1-0-2-0-2-5,null,null,null,S,5,null,GCV,9802.8,8831.35,27/03/2022 00:00:00,1,1,GPLPL-42,null,28/03/2022 00:00:00,00:00,1,GPLPL,42,27/03/2022 00:00:00,00:00,27/03/2022 00:00:00,00:00,24,835.261,16.08,51.9441,60,27/03/2022 00:00:00
SGIPL,S-1-0-2-0,35-1-0-2-0-2-5,null,null,null,S,5,null,GCV,9802.8,8831.35,29/03/2022 00:00:00,1,1,GPLPL-43,null,30/03/2022 00:00:00,00:00,1,GPLPL,43,29/03/2022 00:00:00,00:00,29/03/2022 00:00:00,00:00,24,837.3171,16.29,51.40068,61,29/03/2022 00:00:00
SGIPL,S-1-0-2-0,35-1-0-2-0-2-5,null,null,null,S,5,null,GCV,9802.8,8831.35,03/03/2022 00:00:00,1,1,GPLPL-42,null,04/03/2022 00:00:00,00:00,1,GPLPL,42,03/03/2022 00:00:00,00:00,03/03/2022 00:00:00,00:00,24,839.137,16.13,52.02338,87,03/03/2022 00:00:00
SGIPL,S-1-0-2-0,35-1-0-2-0-2-5,null,null,null,S,5,null,GCV,9802.8,8831.35,18/03/2022 00:00:00,1,1,GPLPL-43,null,19/03/2022 00:00:00,00:00,1,GPLPL,43,18/03/2022 00:00:00,00:00,18/03/2022 00:00:00,00:00,24,842.046,16.20,51.97812,132,18/03/2022 00:00:00
SGIPL,S-1-0-2-0,35-1-0-2-0-2-5,null,null,null,S,5,null,GCV,9802.8,8831.35,20/03/2022 00:00:00,1,1,GPLPL-42,null,21/03/2022 00:00:00,00:00,1,GPLPL,42,20/03/2022 00:00:00,00:00,20/03/2022 00:00:00,00:00,24,841.05,16.18,51.98087,83,20/03/2022 00:00:00
SGIPL,S-1-0-2-0,35-1-0-2-0-2-5,null,null,null,S,5,null,GCV,9802.8,8831.35,22/03/2022 00:00:00,1,1,GPLPL-42,null,23/03/2022 00:00:00,00:00,1,GPLPL,42,22/03/2022 00:00:00,00:00,22/03/2022 00:00:00,00:00,24,843.882,16.23,51.99518,66,22/03/2022 00:00:00
SGIPL,S-1-0-2-0,35-1-0-2-0-2-5,null,null,null,S,5,null,GCV,9802.8,8831.35,03/04/2022 00:00:00,1,1,GPLPL-42,null,04/04/2022 00:00:00,00:00,1,GPLPL,42,03/04/2022 00:00:00,00:00,03/04/2022 00:00:00,00:00,24,831.5049,16.10,51.64627,52,03/04/2022 00:00:00
SGIPL,S-1-0-4-0,35-1-0-4-0-4-5,null,null,null,S,5,null,GCV,9802.8,8831.35,23/06/2022 00:00:00,1,1,GPLPL-43,null,24/06/2022 00:00:00,00:00,1,GPLPL,43,23/06/2022 00:00:00,00:00,23/06/2022 00:00:00,00:00,24,833.594,16.00,52.09962,64,23/06/2022 00:00:00
SGIPL,S-1-0-4-0,35-1-0-4-0-4-5,null,null,null,S,5,null,GCV,9802.8,8831.35,26/06/2022 00:00:00,1,1,GPLPL-43,null,27/06/2022 00:00:00,00:00,1,GPLPL,43,26/06/2022 00:00:00,00:00,26/06/2022 00:00:00,00:00,24,844.5649,16.20,52.133633,60,26/06/2022 00:00:00
SGIPL,S-1-0-4-0,35-1-0-4-0-4-5,null,null,null,S,5,null,GCV,9802.8,8831.35,27/06/2022 00:00:00,1,1,GPLPL-42,null,28/06/2022 00:00:00,00:00,1,GPLPL,42,27/06/2022 00:00:00,00:00,27/06/2022 00:00:00,00:00,24,831.505,15.95,52.13198,64,27/06/2022 00:00:00
SGIPL,S-1-0-4-0,35-1-0-4-0-4-5,null,null,null,S,5,null,GCV,9802.8,8831.35,19/06/2022 00:00:00,1,1,GPLPL-42,null,20/06/2022 00:00:00,00:00,3,GPLPL,42,19/06/2022 00:00:00,00:00,19/06/2022 00:00:00,00:00,24,838.125,16.11,52.02513,54,19/06/2022 00:00:00
SGIPL,S-1-0-4-0,35-1-0-4-0-4-5,null,null,null,S,5,null,GCV,9802.8,8831.35,21/06/2022 00:00:00,1,1,GPLPL-43,null,22/06/2022 00:00:00,00:00,1,GPLPL,43,21/06/2022 00:00:00,00:00,21/06/2022 00:00:00,00:00,24,844.856,16.24,52.02312,66,21/06/2022 00:00:00
SGIPL,S-1-0-5-0,35-1-0-5-0-5-5,null,null,null,S,5,null,GCV,9802.8,8831.35,05/07/2022 00:00:00,1,1,GPLPL-42,null,06/07/2022 00:00:00,00:00,1,GPLPL,42,05/07/2022 00:00:00,00:00,05/07/2022 00:00:00,00:00,24,840.253,16.12,52.12488,88,05/07/2022 00:00:00
