COMPANY_CD,FINANCIAL_YEAR,BU_STATE_TIN,INVOICE_SEQ,INVOICE_TYPE,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,SIGNED_ENT_BY,PDF_CONTENT,SF_GEN_DT
AMNS,2023-2024,66,L00066/23-24,DI,D,INVOICE-E-2023-2024-66-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,06/10/2023 00:00:00,null,null,null
AMNS,2023-2024,75,L00075/23-24,DI,O,INVOICE-E-2023-2024-75-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,13/11/2023 00:00:00,null,null,null
AMNS,2023-2024,75,L00075/23-24,DI,D,INVOICE-E-2023-2024-75-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,13/11/2023 00:00:00,null,null,null
AMNS,2023-2024,83,L00083/23-24,DI,O,INVOICE-E-2023-2024-83-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,29/11/2023 00:00:00,null,null,null
AMNS,2023-2024,83,L00083/23-24,DI,D,INVOICE-E-2023-2024-83-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,29/11/2023 00:00:00,null,null,null
AMNS,2023-2024,85,L00085/23-24,DI,O,INVOICE-E-2023-2024-85-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,07/12/2023 00:00:00,null,null,null
AMNS,2023-2024,85,L00085/23-24,DI,D,INVOICE-E-2023-2024-85-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,07/12/2023 00:00:00,null,null,null
AMNS,2023-2024,94,L00094/23-24,DI,O,INVOICE-E-2023-2024-94-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,18/01/2024 00:00:00,null,null,null
AMNS,2023-2024,94,L00094/23-24,DI,D,INVOICE-E-2023-2024-94-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,18/01/2024 00:00:00,null,null,null
AMNS,2023-2024,96,L00096/23-24,DI,O,INVOICE-E-2023-2024-96-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,19/01/2024 00:00:00,null,null,null
AMNS,2023-2024,96,L00096/23-24,DI,D,INVOICE-E-2023-2024-96-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,19/01/2024 00:00:00,null,null,null
AMNS,2024-2025,79,L00079/24-25,DI,O,INVOICE-E-2024-2025-79-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,21/01/2025 00:00:00,null,null,null
AMNS,2024-2025,79,L00079/24-25,DI,D,INVOICE-E-2024-2025-79-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,21/01/2025 00:00:00,null,null,null
AMNS,2024-2025,84,L00084/24-25,DI,D,INVOICE-E-2024-2025-84-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,03/02/2025 00:00:00,null,null,null
AMNS,2024-2025,84,L00084/24-25,DI,O,INVOICE-E-2024-2025-84-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,03/02/2025 00:00:00,null,null,null
AMNS,2024-2025,85,L00085/24-25,DI,O,INVOICE-E-2024-2025-85-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,04/02/2025 00:00:00,null,null,null
