COMPANY_CD,BU_STATE_TIN,INVOICE_SEQ,FINANCIAL_YEAR,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,SIGNED_ENT_BY,PDF_CONTENT,SF_GEN_DT,EMAIL_SENT,EMAIL_SENT_BY,EMAIL_SENT_DT
AMNS,2022-2023,32,L00032/22-23,O,INVOICE-31052022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-32-O.pdf,49,01/06/2022 00:00:00,null,null,null,null,null,null,null,null,null,null,null
AMNS,2022-2023,32,L00032/22-23,D,INVOICE-31052022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-32-D.pdf,49,01/06/2022 00:00:00,null,null,null,null,null,null,null,null,null,null,null
AMNS,2022-2023,32,L00032/22-23,T,INVOICE-31052022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-32-T.pdf,49,01/06/2022 00:00:00,null,null,null,null,null,null,null,null,null,null,null
AMNS,2021-2022,26,I0026/21-22,O,LATEPAY_INVOICE-07012022-AMNS-AMNS-M-I-26-O.pdf,23,07/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,07/01/2022 00:00:00,null,null,null,Y,null,07/01/2022 00:00:00
AMNS,2021-2022,26,I0026/21-22,D,LATEPAY_INVOICE-07012022-AMNS-AMNS-M-I-26-D.pdf,23,07/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,07/01/2022 00:00:00,null,null,null,Y,null,07/01/2022 00:00:00
AMNS,2021-2022,26,I0026/21-22,T,LATEPAY_INVOICE-07012022-AMNS-AMNS-M-I-26-T.pdf,23,07/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,07/01/2022 00:00:00,null,null,null,Y,null,07/01/2022 00:00:00
AMNS,2021-2022,27,I0027/21-22,O,LATEPAY_INVOICE-13012022-AMNS-AMNS-M-I-27-O.pdf,23,13/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,13/01/2022 00:00:00,null,null,null,Y,null,13/01/2022 00:00:00
AMNS,2021-2022,27,I0027/21-22,D,LATEPAY_INVOICE-13012022-AMNS-AMNS-M-I-27-D.pdf,23,13/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,13/01/2022 00:00:00,null,null,null,Y,null,13/01/2022 00:00:00
AMNS,2021-2022,27,I0027/21-22,T,LATEPAY_INVOICE-13012022-AMNS-AMNS-M-I-27-T.pdf,23,13/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,13/01/2022 00:00:00,null,null,null,Y,null,13/01/2022 00:00:00
AMNS,2021-2022,27,I0027/21-22,O,INVOICE-13012022-AMNS-AMNS-VAT6-I-27-O.pdf,23,13/01/2022 00:00:00,null,null,null,null,null,null,null,null,null,null,null
