COMPANY_CD,FINANCIAL_YEAR,COUNTERPARTY_CD,CONTRACT_TYPE,INVOICE_DT,INVOICE_NO,INVOICE_SEQ,CRITERIA,DR_CR_FLAG,DR_CR_REF_NO,DR_CR_SEQ,ENT_BY,ENT_DT,REMARK
GGL,2024-2025,39,S,31/08/2024 00:00:00,S0055/20-21,55,1,DR,DMH020/24-25,null,46,05/09/2024 00:00:00,DIFF IN EX RATE
GGL,2024-2025,39,S,30/09/2024 00:00:00,SMH0061/24-25,61,1,DR,DMH022/24-25,null,46,07/10/2024 00:00:00,EX RATE DIFF
GGL,2024-2025,39,S,15/10/2024 00:00:00,SMH0065/24-25,65,1,DR,DMH025/24-25,null,46,21/10/2024 00:00:00,DIFF IN EX RATE
GGL,2024-2025,39,S,31/10/2024 00:00:00,SMH0070/24-25,70,1,DR,DMH029/24-25,null,46,07/11/2024 00:00:00,Diff in exchange rate
GGL,2024-2025,39,S,15/03/2025 00:00:00,SMH0109/24-25,109,1,CR,CMH024/24-25,null,46,20/03/2025 00:00:00,DIFF IN EX RATE
GGL,2024-2025,39,S,15/04/2024 00:00:00,S0005/20-21,5,1,DR,DMH003/24-25,null,46,22/04/2024 00:00:00,DIFF IN EXCHANGE RATE
GGL,2023-2024,39,S,31/03/2024 00:00:00,SMH0203/23-24,203,1,DR,DMH002/24-25,null,46,22/04/2024 00:00:00,DIFF IN EX RATE
GGL,2024-2025,39,S,30/04/2024 00:00:00,SMH0010/24-25,10,1,CR,CMH002/24-25,null,201,06/05/2024 00:00:00,Ex rate difference
GGL,2024-2025,39,S,15/06/2024 00:00:00,SMH0024/24-25,24,1,CR,CMH007/24-25,null,219,20/06/2024 00:00:00,Different in Exchange rate
GGL,2024-2025,39,S,31/07/2024 00:00:00,SMH0044/24-25,44,1,DR,DMH016/24-25,null,201,06/08/2024 00:00:00,Ex rate diff
GGL,2024-2025,39,S,15/09/2024 00:00:00,S0058/23-24,58,1,CR,CMH014/24-25,null,201,20/09/2024 00:00:00,EX RATE DIFFERENCE
GGL,2024-2025,39,X,28/02/2025 00:00:00,S0316/24-25,316,10,CR,C011/24-25,null,201,13/03/2025 00:00:00,change in price
GGL,2024-2025,39,S,31/03/2025 00:00:00,S0113/23-24,113,1,DR,2DRMH0003/25-26,null,201,09/04/2025 00:00:00,EX RATE DIFFERENCE
IFFCO,2023-2024,41,L,15/04/2023 00:00:00,S0009/23-24,9,1,CR,C008/23-24,null,130,20/04/2023 00:00:00,Exchange Rate date was revised to 15 Apr23 from 13th Apr23
HGL-RLNG,2021-2022,42,S,31/08/2021 00:00:00,S0124/21-22,124,10,DR,D017/21-22,null,23,02/09/2021 00:00:00,Imbalance and unauthorized over run charges
HGL-RLNG,2021-2022,42,S,15/09/2021 00:00:00,S0131/21-22,131,10,DR,D019/21-22,null,49,20/09/2021 00:00:00,Imbalance charges for transmission service during Sep 1FN 2021
HGL-RLNG,2021-2022,42,S,28/02/2022 00:00:00,S0215/21-22,215,10,DR,D033/21-22,null,23,02/03/2022 00:00:00,Imbalance charges
HGL-RLNG,2021-2022,42,S,15/03/2022 00:00:00,S0222/21-22,222,10,DR,D034/21-22,null,23,17/03/2022 00:00:00,Imbalance charges
HGL-RLNG,2021-2022,42,S,31/07/2021 00:00:00,S0102/21-22,102,3,DR,D014/21-22,null,49,03/08/2021 00:00:00,Imbalance charges for transmission service during July 2FN 2021
HGL-RLNG,2021-2022,42,S,15/10/2021 00:00:00,S0143/21-22,143,10,DR,D021/21-22,null,23,18/10/2021 00:00:00,Debit note for imbalance charges
HGL-RLNG,2021-2022,42,S,31/10/2021 00:00:00,S0151/21-22,151,10,DR,D023/21-22,null,23,02/11/2021 00:00:00,Imbalance charges
HGL-RLNG,2021-2022,42,S,30/11/2021 00:00:00,S0168/21-22,168,10,DR,D025/21-22,null,49,02/12/2021 00:00:00,Imbalance / unauthorized over run charges for transmission service during Nov 2FN 2021
HGL-RLNG,2021-2022,42,S,15/12/2021 00:00:00,S0180/21-22,180,10,DR,D026/21-22,null,23,17/12/2021 00:00:00,Imbalance charges
HGL-RLNG,2021-2022,42,S,31/12/2021 00:00:00,S0188/21-22,188,10,DR,D027/21-22,null,23,04/01/2022 00:00:00,Imbalance charges
HGL-RLNG,2021-2022,42,S,15/01/2022 00:00:00,S0195/21-22,195,10,DR,D028/21-22,null,23,17/01/2022 00:00:00,Imbalance charges
HGL-RLNG,2021-2022,42,S,31/01/2022 00:00:00,S0199/21-22,199,10,DR,D030/21-22,null,23,02/02/2022 00:00:00,Imbalance charges
HGL-RLNG,2021-2022,42,S,15/07/2021 00:00:00,S0091/21-22,91,10,DR,D012/21-22,null,49,19/07/2021 00:00:00,Imbalance and Overrun Charges 
HGL-RLNG,2021-2022,42,S,30/09/2021 00:00:00,S0137/21-22,137,10,DR,D020/21-22,null,49,05/10/2021 00:00:00,Imbalance Charges 
HGL-RLNG,2021-2022,42,S,15/11/2021 00:00:00,S0159/21-22,159,10,DR,D024/21-22,null,49,17/11/2021 00:00:00,Imbalance / unauthorized over run charges for transmission service during Nov 1FN 2021 against GAIL invoice GJG2A21103001989
HGL-RLNG,2021-2022,42,S,15/02/2022 00:00:00,S0209/21-22,209,10,DR,D032/21-22,null,23,17/02/2022 00:00:00,Imbalance charges
HGL-RLNG,2021-2022,42,S,15/04/2021 00:00:00,S0008/21-22,8,10,DR,D010/21-22,null,48,19/04/2021 00:00:00,Imbalance Debit Note
HGL-RLNG,2021-2022,42,S,05/05/2021 00:00:00,S0022/21-22,22,10,DR,D011/21-22,null,23,17/05/2021 00:00:00,Imbalance invoice
HGL-RLNG,2021-2022,42,S,15/08/2021 00:00:00,S0115/21-22,115,10,DR,D016/21-22,null,23,17/08/2021 00:00:00,Imbalance and unauthorized over run charges
HSIL,2020-2021,45,S,31/10/2020 00:00:00,S0262/20-21,262,10,DR,D047/20-21,null,48,03/11/2020 00:00:00,Imbalance Debit Note
HSIL,2023-2024,45,S,30/06/2023 00:00:00,SMH0050/23-24,50,10,DR,DMH015/23-24,null,113,05/07/2023 00:00:00,PIL Imbalance_ Overrun Charges on account of off-take variation
HSIL,2020-2021,45,S,15/10/2020 00:00:00,S0243/20-21,243,10,DR,D046/20-21,null,48,19/10/2020 00:00:00,Imbalance Debit Note
HSIL,2022-2023,45,S,15/03/2023 00:00:00,SMH0185/22-23,185,10,DR,DMH028/22-23,null,49,17/03/2023 00:00:00,Imbalance charges for transmission service
HSIL,2023-2024,45,S,15/06/2023 00:00:00,SMH0038/23-24,38,10,DR,DMH012/23-24,null,113,20/06/2023 00:00:00,Imbalance Charges
HSIL,2024-2025,45,S,15/01/2025 00:00:00,SMH0084/24-25,84,10,DR,DMH039/24-25,null,46,20/01/2025 00:00:00,Imbalance charges
HSIL,2024-2025,45,S,15/01/2025 00:00:00,SAP0018/24-25,18,10,DR,DAP004/24-25,null,46,20/01/2025 00:00:00,Imbalance charges
HSIL,2024-2025,45,S,31/01/2025 00:00:00,SMH0087/24-25,87,10,DR,DMH040/24-25,null,46,04/02/2025 00:00:00,Imbalance charges
HSIL,2024-2025,45,S,31/01/2025 00:00:00,SAP0020/24-25,20,10,DR,DAP005/24-25,null,46,04/02/2025 00:00:00,Imbalance charges
HSIL,2024-2025,45,S,15/02/2025 00:00:00,SMH0095/24-25,95,10,DR,DMH042/24-25,null,46,18/02/2025 00:00:00,Imbalance charges
