COMPANY_CD,FINANCIAL_YEAR,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,BU_UNIT,BU_STATE_TIN,SVC_INVOICE_SEQ,SVC_INVOICE_NO,INVOICE_SEQ,INVOICE_NO,TRUCK_TRANS_CD,TRUCK_CD,MAPPING_ID,PERIOD_START_DT,PERIOD_END_DT,QTY_MMBTU,DISTANCE,ENT_BY,ENT_DT
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,41,TMS00041/22-23,T0471/22-23,T0471/22-23,null,null,null,null,null,825.62,null,153,03/10/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,41,TMS00041/22-23,T0475/22-23,T0475/22-23,null,null,null,null,null,827.03,null,153,03/10/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,41,TMS00041/22-23,T0479/22-23,T0479/22-23,null,null,null,null,null,831.15,null,153,03/10/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,41,TMS00041/22-23,T0485/22-23,T0485/22-23,null,null,null,null,null,826.50,null,153,03/10/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,41,TMS00041/22-23,T0494/22-23,T0494/22-23,null,null,null,null,null,828.93,null,153,03/10/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,41,TMS00041/22-23,T0497/22-23,T0497/22-23,null,null,null,null,null,832.53,null,153,03/10/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,45,TMS00045/22-23,T0502/22-23,T0502/22-23,null,null,null,null,null,835.73,null,36,17/10/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,45,TMS00045/22-23,T0506/22-23,T0506/22-23,null,null,null,null,null,831.29,null,36,17/10/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,45,TMS00045/22-23,T0511/22-23,T0511/22-23,null,null,null,null,null,832.96,null,36,17/10/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,45,TMS00045/22-23,T0519/22-23,T0519/22-23,null,null,null,null,null,837.00,null,36,17/10/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,45,TMS00045/22-23,T0522/22-23,T0522/22-23,null,null,null,null,null,839.03,null,36,17/10/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,45,TMS00045/22-23,T0527/22-23,T0527/22-23,null,null,null,null,null,831.80,null,36,17/10/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,45,TMS00045/22-23,T0531/22-23,T0531/22-23,null,null,null,null,null,826.50,null,36,17/10/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,48,TMS00048/22-23,T0538/22-23,T0538/22-23,null,null,null,null,null,886.92,null,36,01/11/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,48,TMS00048/22-23,T0540/22-23,T0540/22-23,null,null,null,null,null,836.94,null,36,01/11/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,48,TMS00048/22-23,T0547/22-23,T0547/22-23,null,null,null,null,null,840.24,null,36,01/11/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,48,TMS00048/22-23,T0553/22-23,T0553/22-23,null,null,null,null,null,897.20,null,36,01/11/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,48,TMS00048/22-23,T0563/22-23,T0563/22-23,null,null,null,null,null,839.60,null,36,01/11/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,48,TMS00048/22-23,T0573/22-23,T0573/22-23,null,null,null,null,null,886.68,null,36,01/11/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,51,TMS00051/22-23,T0580/22-23,T0580/22-23,null,null,null,null,null,744.01,null,6,16/11/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,51,TMS00051/22-23,T0587/22-23,T0587/22-23,null,null,null,null,null,840.36,null,6,16/11/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-5-0,1,0,5,0,B,1,null,51,TMS00051/22-23,T0594/22-23,T0594/22-23,null,null,null,null,null,833.45,null,6,16/11/2022 00:00:00
