COMPANY_CD,BU_STATE_TIN,INVOICE_SEQ,FINANCIAL_YEAR,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,SIGNED_ENT_BY,PDF_CONTENT,SF_GEN_DT,EMAIL_SENT,EMAIL_SENT_BY,EMAIL_SENT_DT
2,24,CT013/23-24,2023-2024,D,CREDIT-INVOICE-06092023-LEIPL-LNG Express Plant-Vadodara -S-614-1.pdf,74,06/09/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,07/09/2023 00:00:00,null,null,null,Y,null,07/09/2023 00:00:00
2,24,CT013/23-24,2023-2024,T,CREDIT-INVOICE-06092023-LEIPL-LNG Express Plant-Vadodara -S-614-2.pdf,74,06/09/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,07/09/2023 00:00:00,null,null,null,Y,null,07/09/2023 00:00:00
2,24,CT002/23-24,2023-2024,O,CREDIT-INVOICE-16042023-EXXARO-EXXARO-TALOD-S-53-C.pdf,132,16/04/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/04/2023 00:00:00,null,null,null,Y,null,28/04/2023 00:00:00
2,24,CT002/23-24,2023-2024,D,CREDIT-INVOICE-16042023-EXXARO-EXXARO-TALOD-S-53-1.pdf,132,16/04/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/04/2023 00:00:00,null,null,null,Y,null,28/04/2023 00:00:00
2,24,CT002/23-24,2023-2024,T,CREDIT-INVOICE-16042023-EXXARO-EXXARO-TALOD-S-53-2.pdf,132,16/04/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/04/2023 00:00:00,null,null,null,Y,null,28/04/2023 00:00:00
2,24,CT005/23-24,2023-2024,O,CREDIT-INVOICE-17042023-EXXARO-EXXARO-TALOD-S-56-C.pdf,132,17/04/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/04/2023 00:00:00,null,null,null,Y,null,28/04/2023 00:00:00
2,24,CT005/23-24,2023-2024,D,CREDIT-INVOICE-17042023-EXXARO-EXXARO-TALOD-S-56-1.pdf,132,17/04/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/04/2023 00:00:00,null,null,null,Y,null,28/04/2023 00:00:00
2,24,CT005/23-24,2023-2024,T,CREDIT-INVOICE-17042023-EXXARO-EXXARO-TALOD-S-56-2.pdf,132,17/04/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/04/2023 00:00:00,null,null,null,Y,null,28/04/2023 00:00:00
2,24,CT007/23-24,2023-2024,O,CREDIT-INVOICE-18042023-EXXARO-EXXARO-TALOD-S-58-C.pdf,133,18/04/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/04/2023 00:00:00,null,null,null,Y,null,28/04/2023 00:00:00
2,24,CT007/23-24,2023-2024,D,CREDIT-INVOICE-18042023-EXXARO-EXXARO-TALOD-S-58-1.pdf,133,18/04/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/04/2023 00:00:00,null,null,null,Y,null,28/04/2023 00:00:00
