COMPANY_CD,INVOICE_SEQ,INVOICE_TYPE,FINANCIAL_YEAR,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,PDF_CONTENT,SF_GEN_DT,SIGNED_ENT_BY,SUPPLIER_CD
2,00036/19-20,SFA,2019-2020,O,INVOICE-Z-2019-2020-36-1-O.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00036/19-20,SFA,2019-2020,T,INVOICE-Z-2019-2020-36-1-T.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00036/2017-18/P,HSA,2017-2018,D,INVOICE-1-2017-2018-36-2-D.pdf,null,29/01/2018,null,null,null,null,null,null,null,null,1
2,00036/2017-18/P,HSA,2017-2018,O,INVOICE-1-2017-2018-36-2-O.pdf,null,29/01/2018,null,null,null,null,null,null,null,null,1
2,00036/2018-19/P,HSA,2018-2019,D,INVOICE-1-2018-2019-36-2-D.pdf,null,23/08/2018,null,null,null,null,null,null,null,null,1
2,00036/2018-19/P,HSA,2018-2019,O,INVOICE-1-2018-2019-36-2-O.pdf,null,23/08/2018,null,null,null,null,null,null,null,null,1
2,00036/2019-20/P,HSA,2019-2020,D,INVOICE-1-2019-2020-36-2-D.pdf,null,01/08/2019,null,null,null,null,null,null,null,null,1
2,00036/2019-20/P,HSA,2019-2020,O,INVOICE-1-2019-2020-36-2-O.pdf,null,01/08/2019,null,null,null,null,null,null,null,null,1
2,00037/19-20,SFA,2019-2020,D,INVOICE-Z-2019-2020-37-1-D.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00037/19-20,SFA,2019-2020,O,INVOICE-Z-2019-2020-37-1-O.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00037/19-20,SFA,2019-2020,T,INVOICE-Z-2019-2020-37-1-T.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00037/2017-18/P,HS,2017-2018,D,INVOICE-2-2017-2018-37-2-D.pdf,null,02/02/2018,null,null,null,null,null,null,null,null,1
2,00037/2017-18/P,HS,2017-2018,O,INVOICE-2-2017-2018-37-2-O.pdf,null,02/02/2018,null,null,null,null,null,null,null,null,1
2,00037/2018-19/P,HSA,2018-2019,D,INVOICE-1-2018-2019-37-2-D.pdf,null,29/08/2018,null,null,null,null,null,null,null,null,1
2,00037/2018-19/P,HSA,2018-2019,O,INVOICE-1-2018-2019-37-2-O.pdf,null,29/08/2018,null,null,null,null,null,null,null,null,1
2,00037/2019-20/P,HSA,2019-2020,D,INVOICE-1-2019-2020-37-2-D.pdf,null,05/08/2019,null,null,null,null,null,null,null,null,1
2,00037/2019-20/P,HSA,2019-2020,O,INVOICE-1-2019-2020-37-2-O.pdf,null,05/08/2019,null,null,null,null,null,null,null,null,1
2,00038/19-20,SFA,2019-2020,D,INVOICE-Z-2019-2020-38-1-D.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00038/19-20,SFA,2019-2020,O,INVOICE-Z-2019-2020-38-1-O.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00038/19-20,SFA,2019-2020,T,INVOICE-Z-2019-2020-38-1-T.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00038/2017-18/P,HSA,2017-2018,D,INVOICE-1-2017-2018-38-2-D.pdf,null,02/02/2018,null,null,null,null,null,null,null,null,1
2,00038/2017-18/P,HSA,2017-2018,O,INVOICE-1-2017-2018-38-2-O.pdf,null,02/02/2018,null,null,null,null,null,null,null,null,1
2,00038/2018-19/P,HS,2018-2019,D,INVOICE-2-2018-2019-38-2-D.pdf,null,04/09/2018,null,null,null,null,null,null,null,null,1
2,00038/2018-19/P,HS,2018-2019,O,INVOICE-2-2018-2019-38-2-O.pdf,null,04/09/2018,null,null,null,null,null,null,null,null,1
2,00038/2019-20/P,HSA,2019-2020,D,INVOICE-1-2019-2020-38-2-D.pdf,null,07/08/2019,null,null,null,null,null,null,null,null,1
2,00038/2019-20/P,HSA,2019-2020,O,INVOICE-1-2019-2020-38-2-O.pdf,null,07/08/2019,null,null,null,null,null,null,null,null,1
2,00039/19-20,SFA,2019-2020,D,INVOICE-Z-2019-2020-39-1-D.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00039/19-20,SFA,2019-2020,O,INVOICE-Z-2019-2020-39-1-O.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
