

<<ROLLBACK_START>>,<<FMS_COUNTERPARTY_BU_DTL()>>,,,, 	(12-MAR-2025 18:05:20)
 
COMPANY_CD,COUNTERPARTY_CD,PLANT_ABBR,ENTITY,SEQ_NO,EFF_DT,TIMESTAMP
2,264,SSAPL,S,1,1, 	(12-MAR-2025 18:05:20)
2,126,SGS,S,1,1, 	(12-MAR-2025 18:05:20)
2,232,JBB,V,1,1, 	(12-MAR-2025 18:05:20)
2,265,SLPL,H,1,1, 	(12-MAR-2025 18:05:20)

TOTAL DATA DELETED : ,4,,,, 	(12-MAR-2025 18:05:20)
 

<<ROLLBACK_END>>,<<FMS_COUNTERPARTY_BU_DTL()>>,,,, 	(12-MAR-2025 18:05:20)
 

<<ROLLBACK_START>>,<<FMS_BANK_MST()>>,,, 	(12-MAR-2025 18:05:20)
 
BANK_CD,BANK_NAME,BANK_ABBR,EFF_DATE,TIMESTAMP
2,117,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,117,C,2023-2024, 	(12-MAR-2025 18:05:20)
2,54,C,2021-2022, 	(12-MAR-2025 18:05:20)
2,54,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,55,C,2021-2022, 	(12-MAR-2025 18:05:20)
2,55,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,55,C,2023-2024, 	(12-MAR-2025 18:05:20)
2,56,C,2021-2022, 	(12-MAR-2025 18:05:20)
2,57,C,2021-2022, 	(12-MAR-2025 18:05:20)
2,57,C,2023-2024, 	(12-MAR-2025 18:05:20)
2,58,C,2021-2022, 	(12-MAR-2025 18:05:20)
2,59,C,2021-2022, 	(12-MAR-2025 18:05:20)
2,59,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,60,C,2023-2024, 	(12-MAR-2025 18:05:20)
2,124,C,2021-2022, 	(12-MAR-2025 18:05:20)
2,124,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,208,C,2021-2022, 	(12-MAR-2025 18:05:20)
2,61,C,2023-2024, 	(12-MAR-2025 18:05:20)
2,158,C,2021-2022, 	(12-MAR-2025 18:05:20)
2,158,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,227,C,2021-2022, 	(12-MAR-2025 18:05:20)
2,63,C,2021-2022, 	(12-MAR-2025 18:05:20)
2,63,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,63,C,2023-2024, 	(12-MAR-2025 18:05:20)
2,64,C,2021-2022, 	(12-MAR-2025 18:05:20)
2,64,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,65,C,2021-2022, 	(12-MAR-2025 18:05:20)
2,65,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,66,C,2023-2024, 	(12-MAR-2025 18:05:20)
2,210,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,210,C,2023-2024, 	(12-MAR-2025 18:05:20)
2,67,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,67,C,2023-2024, 	(12-MAR-2025 18:05:20)
2,144,C,2023-2024, 	(12-MAR-2025 18:05:20)
2,147,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,92,C,2021-2022, 	(12-MAR-2025 18:05:20)
2,92,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,104,C,2021-2022, 	(12-MAR-2025 18:05:20)
2,104,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,104,C,2023-2024, 	(12-MAR-2025 18:05:20)
2,105,C,2021-2022, 	(12-MAR-2025 18:05:20)
2,105,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,105,C,2023-2024, 	(12-MAR-2025 18:05:20)
2,162,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,162,C,2023-2024, 	(12-MAR-2025 18:05:20)
2,151,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,151,C,2023-2024, 	(12-MAR-2025 18:05:20)
2,106,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,107,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,190,C,2021-2022, 	(12-MAR-2025 18:05:20)
2,190,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,190,C,2023-2024, 	(12-MAR-2025 18:05:20)
2,176,C,2023-2024, 	(12-MAR-2025 18:05:20)
2,188,C,2021-2022, 	(12-MAR-2025 18:05:20)
2,188,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,188,C,2023-2024, 	(12-MAR-2025 18:05:20)
2,202,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,202,C,2023-2024, 	(12-MAR-2025 18:05:20)
2,277,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,277,C,2023-2024, 	(12-MAR-2025 18:05:20)
2,167,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,122,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,122,C,2023-2024, 	(12-MAR-2025 18:05:20)
2,174,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,174,C,2023-2024, 	(12-MAR-2025 18:05:20)
2,181,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,183,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,184,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,184,C,2023-2024, 	(12-MAR-2025 18:05:20)
2,123,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,123,C,2023-2024, 	(12-MAR-2025 18:05:20)
2,121,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,119,C,2022-2023, 	(12-MAR-2025 18:05:20)
2,118,C,2023-2024, 	(12-MAR-2025 18:05:20)
2,130,C,2023-2024, 	(12-MAR-2025 18:05:20)
2,150,C,2020-2021, 	(12-MAR-2025 18:05:20)	 (Not Deleted)
2,150,C,2021-2022, 	(12-MAR-2025 18:05:20)	 (Not Deleted)
2,150,C,2022-2023, 	(12-MAR-2025 18:05:20)	 (Not Deleted)
2,150,C,2023-2024, 	(12-MAR-2025 18:05:20)	 (Not Deleted)
2,185,C,2021-2022, 	(12-MAR-2025 18:05:20)	 (Not Deleted)
2,185,C,2022-2023, 	(12-MAR-2025 18:05:20)	 (Not Deleted)

TOTAL DATA DELETED : ,237,,, 	(12-MAR-2025 18:05:20)
 

<<ROLLBACK_END>>,<<FMS_ENTITY_TURNOVER_DTL()>>,,, 	(12-MAR-2025 18:05:20)
 
