

<<ROLLBACK_START>>,<<FMS_TRADER_CN_MST>>,,,,,,, 	(02-APR-2025 19:02:48)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,116,M,1,0,N,0,1,22024, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,8029, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,8030, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,9001, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,9002, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,9006, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,9008, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,9009, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,9010, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,9015, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,9019, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,9020, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,9022, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,10001, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,10003, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,10006, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,10007, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,10008, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,10016, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,10017, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,11001, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,11003, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,11004, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,11005, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,11007, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,14001, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,14002, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,14003, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,14004, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,14005, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,14006, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,14007, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,14008, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,14009, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,2,14010, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,3,14011, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,4,14012, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,5,14013, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,6,14014, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,15001, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,16001, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,17001, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,19001, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,19002, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,19003, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,19004, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,19005, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,1,19006, 	(02-APR-2025 19:02:49)
