

<<ROLLBACK_START>>,<<FMS_SAC_MST()>>, 	(11-APR-2025 08:56:12)
 
SAC_CD,TIMESTAMP

TOTAL DATA DELETED : ,0, 	(11-APR-2025 08:56:12)
 
<<ROLLBACK_END>>,<<FMS_SAC_MST()>>, 	(11-APR-2025 08:56:12)
 

<<ROLLBACK_START>>,<<FMS_PRODUCT_MOLECULE_MST()>>, 	(11-APR-2025 08:56:12)
 
MOLE_NM,MOLE_ABBR,TIMESTAMP
D6,D6, 	(11-APR-2025 08:56:12)
D6,D6, 	(11-APR-2025 08:56:12)
D6,D6, 	(11-APR-2025 08:56:12)

TOTAL DATA DELETED : ,3, 	(11-APR-2025 08:56:12)
 
<<ROLLBACK_END>>,<<FMS_PRODUCT_MOLECULE_MST()>>, 	(11-APR-2025 08:56:12)
 

<<ROLLBACK_START>>,<<FMS_PRODUCT_MST()>>, 	(11-APR-2025 08:56:12)
 
PROD_NM,PROD_ABBR,PROD_DESC,TIMESTAMP
Domestic Gas (Capped),DOM GAS (CAPPED),Used to identify molecules supplied from DOM gas capped, 	(11-APR-2025 08:56:12)
Regassified LNG,RLNG,, 	(11-APR-2025 08:56:12)
Downstream LNG,DLNG,, 	(11-APR-2025 08:56:12)
Domestic Gas,DOMGAS,, 	(11-APR-2025 08:56:12)

TOTAL DATA DELETED : ,4, 	(11-APR-2025 08:56:12)
 
<<ROLLBACK_END>>,<<FMS_PRODUCT_MST()>>, 	(11-APR-2025 08:56:12)
 

10/04/2023 00:00:00,TEST15,13, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,TEST16,21, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,TEST17,34, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,TEST18,03, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,TEST19,08, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,TEST20,11, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,TEST21,33, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,TEST22,36, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,TEST23,16, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,TEST24,09, 	(11-APR-2025 08:56:12)	 (Not Deleted)
31/10/2023 00:00:00,Saradar Jayanti,00, 	(11-APR-2025 08:56:12)	 (Not Deleted)
31/10/2022 00:00:00,Saradar Jayanti,00, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,TEST25,05, 	(11-APR-2025 08:56:12)	 (Not Deleted)
10/04/2023 00:00:00,TEST26,19, 	(11-APR-2025 08:56:12)	 (Not Deleted)
17/11/2023 00:00:00,Testing Holiday,24, 	(11-APR-2025 08:56:12)	 (Not Deleted)
17/11/2023 00:00:00,Testing Holiday,27, 	(11-APR-2025 08:56:12)	 (Not Deleted)
09/01/2024 00:00:00,TEST,35, 	(11-APR-2025 08:56:12)	 (Not Deleted)
09/01/2024 00:00:00,TEST,24, 	(11-APR-2025 08:56:12)	 (Not Deleted)

TOTAL DATA DELETED : ,90,, 	(11-APR-2025 08:56:12)
 
<<ROLLBACK_END>>,<<FMS_HOLIDAY_DTL()>>,, 	(11-APR-2025 08:56:12)
 

<<ROLLBACK_START>>,<<FMS_CUSTOM_TAX_STRUCT_DTL>>, 	(11-APR-2025 08:56:12)
 
COMPANY_CD,TAX_STRUCT_CD,TIMESTAMP
1,27/02/2020 00:00:00, 	(11-APR-2025 08:56:12)	 (Not Deleted)
1,02/02/2022 00:00:00, 	(11-APR-2025 08:56:12)	 (Not Deleted)
1,01/07/2024 00:00:00, 	(11-APR-2025 08:56:12)	 (Not Deleted)

TOTAL DATA DELETED : ,0, 	(11-APR-2025 08:56:12)
 
<<ROLLBACK_END>>,<<FMS_CUSTOM_TAX_STRUCT_DTL()>>, 	(11-APR-2025 08:56:12)
 

<<ROLLBACK_START>>,<<FMS_SHIP_MST()>>,, 	(11-APR-2025 08:56:12)
 
EFF_DT,SHIP_CD,SHIP_NAME,TIMESTAMP
01/01/2007 00:00:00 , 3 , Maria Energy, 	(11-APR-2025 08:56:12)
01/01/2007 00:00:00 , 4 , Ougarta, 	(11-APR-2025 08:56:12)
01/01/2007 00:00:00 , 5 , Methane Spirit, 	(11-APR-2025 08:56:12)
01/01/2007 00:00:00 , 6 , Yari LNG, 	(11-APR-2025 08:56:12)
01/01/2007 00:00:00 , 7 , Flex Endeavour, 	(11-APR-2025 08:56:12)
01/01/2007 00:00:00 , 8 , Methane Jane Elizabeth, 	(11-APR-2025 08:56:12)
01/01/2007 00:00:00 , 9 , Maran Gas Asclepius, 	(11-APR-2025 08:56:12)
