

<<ROLLBACK_START>>,<<FMS_ENTITY_CONTACT_MST()>>,,,,,, 	(01-MAR-2025 16:55:35)
 
COMPANY_CD,COUNTERPARTY_CD,ENTITY,SEQ_NO,EFF_DT,ADDR_FLAG,TYPE,TIMESTAMP
2,5,C,4,01/08/2023 00:00:00,P3,RLNG, 	(01-MAR-2025 16:55:38)
2,5,C,5,01/10/2022 00:00:00,P2,RLNG, 	(01-MAR-2025 16:55:38)
2,5,C,10,01/10/2022 00:00:00,P3,RLNG, 	(01-MAR-2025 16:55:38)
2,5,C,17,01/11/2023 00:00:00,R,RLNG, 	(01-MAR-2025 16:55:38)
2,5,C,18,01/11/2023 00:00:00,B,RLNG, 	(01-MAR-2025 16:55:38)
2,5,C,14,31/01/2024 00:00:00,P5,RLNG, 	(01-MAR-2025 16:55:38)
2,5,C,1,01/02/2024 00:00:00,P4,DLNG, 	(01-MAR-2025 16:55:38)
2,5,C,2,01/02/2024 00:00:00,P1,DLNG, 	(01-MAR-2025 16:55:38)
2,5,C,3,01/02/2024 00:00:00,P1,DLNG, 	(01-MAR-2025 16:55:38)
2,5,C,4,01/02/2024 00:00:00,P3,DLNG, 	(01-MAR-2025 16:55:38)
2,5,C,5,01/02/2024 00:00:00,P2,DLNG, 	(01-MAR-2025 16:55:38)
2,5,C,6,01/02/2024 00:00:00,P1,DLNG, 	(01-MAR-2025 16:55:38)
2,5,C,7,01/02/2024 00:00:00,P6,DLNG, 	(01-MAR-2025 16:55:38)
2,5,C,8,01/02/2024 00:00:00,P1,DLNG, 	(01-MAR-2025 16:55:38)
2,5,C,9,01/02/2024 00:00:00,P2,DLNG, 	(01-MAR-2025 16:55:38)
2,5,C,10,01/02/2024 00:00:00,P3,DLNG, 	(01-MAR-2025 16:55:38)
2,5,C,11,01/02/2024 00:00:00,P4,DLNG, 	(01-MAR-2025 16:55:38)
2,5,C,12,01/02/2024 00:00:00,P1,DLNG, 	(01-MAR-2025 16:55:38)
2,5,C,13,01/02/2024 00:00:00,P1,DLNG, 	(01-MAR-2025 16:55:38)
2,5,C,4,01/08/2023 00:00:00,P3,DLNG, 	(01-MAR-2025 16:55:38)
2,5,C,5,01/10/2022 00:00:00,P2,DLNG, 	(01-MAR-2025 16:55:38)
2,5,C,10,01/10/2022 00:00:00,P3,DLNG, 	(01-MAR-2025 16:55:38)
2,5,C,17,01/11/2023 00:00:00,R,DLNG, 	(01-MAR-2025 16:55:38)
2,5,C,18,01/11/2023 00:00:00,B,DLNG, 	(01-MAR-2025 16:55:38)
2,5,C,14,31/01/2024 00:00:00,P5,DLNG, 	(01-MAR-2025 16:55:38)
2,6,C,1,01/01/2020 00:00:00,B,RLNG, 	(01-MAR-2025 16:55:38)
2,6,C,2,01/01/2020 00:00:00,B,RLNG, 	(01-MAR-2025 16:55:38)
2,6,C,3,01/01/2022 00:00:00,P1,RLNG, 	(01-MAR-2025 16:55:38)
2,6,C,4,01/01/2022 00:00:00,P1,RLNG, 	(01-MAR-2025 16:55:38)
2,6,C,5,01/01/2022 00:00:00,P1,RLNG, 	(01-MAR-2025 16:55:38)
2,6,C,6,05/12/2007 00:00:00,R,RLNG, 	(01-MAR-2025 16:55:38)
2,6,C,1,05/12/2007 00:00:00,P1,RLNG, 	(01-MAR-2025 16:55:38)
2,6,C,8,05/12/2007 00:00:00,P1,RLNG, 	(01-MAR-2025 16:55:38)
2,6,C,9,05/12/2007 00:00:00,P1,RLNG, 	(01-MAR-2025 16:55:38)
2,6,C,10,05/12/2007 00:00:00,R,RLNG, 	(01-MAR-2025 16:55:38)
2,6,C,11,05/12/2007 00:00:00,B,RLNG, 	(01-MAR-2025 16:55:38)
2,6,C,12,05/12/2007 00:00:00,R,RLNG, 	(01-MAR-2025 16:55:38)
2,6,C,1,01/01/2020 00:00:00,B,DLNG, 	(01-MAR-2025 16:55:38)
2,6,C,2,01/01/2020 00:00:00,B,DLNG, 	(01-MAR-2025 16:55:38)
2,6,C,3,01/01/2022 00:00:00,P1,DLNG, 	(01-MAR-2025 16:55:38)
2,6,C,4,01/01/2022 00:00:00,P1,DLNG, 	(01-MAR-2025 16:55:38)
2,6,C,5,01/01/2022 00:00:00,P1,DLNG, 	(01-MAR-2025 16:55:38)
2,6,C,6,05/12/2007 00:00:00,R,DLNG, 	(01-MAR-2025 16:55:38)
2,6,C,1,05/12/2007 00:00:00,P1,DLNG, 	(01-MAR-2025 16:55:38)
2,6,C,8,05/12/2007 00:00:00,P1,DLNG, 	(01-MAR-2025 16:55:38)
2,6,C,9,05/12/2007 00:00:00,P1,DLNG, 	(01-MAR-2025 16:55:38)
2,6,C,10,05/12/2007 00:00:00,R,DLNG, 	(01-MAR-2025 16:55:38)
2,6,C,11,05/12/2007 00:00:00,B,DLNG, 	(01-MAR-2025 16:55:38)
2,6,C,12,05/12/2007 00:00:00,R,DLNG, 	(01-MAR-2025 16:55:38)
2,7,C,1,03/12/2007 00:00:00,B,RLNG, 	(01-MAR-2025 16:55:38)
2,7,C,2,03/12/2007 00:00:00,B,RLNG, 	(01-MAR-2025 16:55:38)
2,7,C,3,03/12/2007 00:00:00,B,RLNG, 	(01-MAR-2025 16:55:38)
2,7,C,4,03/12/2007 00:00:00,B,RLNG, 	(01-MAR-2025 16:55:38)
2,7,C,5,20/04/2022 00:00:00,B,RLNG, 	(01-MAR-2025 16:55:38)
2,7,C,1,03/12/2007 00:00:00,B,DLNG, 	(01-MAR-2025 16:55:38)
2,7,C,2,03/12/2007 00:00:00,B,DLNG, 	(01-MAR-2025 16:55:38)
2,7,C,3,03/12/2007 00:00:00,B,DLNG, 	(01-MAR-2025 16:55:38)
