

<<ROLLBACK_START>>,<<FMS_SUPPLY_ALLOC_REVISED>>,,,,,,,, 	(01-MAY-2025 13:14:00)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,MODIFICATION_SEQ_NO,PUR_CONT, TIMESTAMP
2,3,1,3,54,0,S,1,725067, 	(01-MAY-2025 13:14:01)
2,3,1,3,59,0,S,1,725069, 	(01-MAY-2025 13:14:01)
2,3,1,3,1,0,S,1,725009, 	(01-MAY-2025 13:14:01)
2,3,1,3,2,0,S,1,725010, 	(01-MAY-2025 13:14:01)
2,3,1,3,8,0,S,1,725015, 	(01-MAY-2025 13:14:01)
2,3,1,3,8,0,S,1,725180, 	(01-MAY-2025 13:14:01)
2,3,1,3,11,0,S,1,725022, 	(01-MAY-2025 13:14:01)
2,3,1,3,57,0,S,1,725073, 	(01-MAY-2025 13:14:01)
2,3,1,3,19,0,S,1,725033, 	(01-MAY-2025 13:14:01)
2,3,1,3,111,0,S,1,725151, 	(01-MAY-2025 13:14:01)
2,3,1,3,119,0,S,1,825028, 	(01-MAY-2025 13:14:01)
2,3,1,3,110,0,S,1,725139, 	(01-MAY-2025 13:14:01)
2,3,1,3,114,0,S,1,725058, 	(01-MAY-2025 13:14:01)
2,3,1,3,115,0,S,1,825027, 	(01-MAY-2025 13:14:01)
2,3,1,3,20,0,S,1,725186, 	(01-MAY-2025 13:14:01)
2,3,1,3,21,0,S,1,725186, 	(01-MAY-2025 13:14:01)
2,3,1,3,13,0,S,1,725028, 	(01-MAY-2025 13:14:01)
2,3,1,3,23,0,S,1,725035, 	(01-MAY-2025 13:14:01)
2,3,1,3,28,0,S,1,725038, 	(01-MAY-2025 13:14:01)
2,3,1,3,31,0,S,1,725189, 	(01-MAY-2025 13:14:01)
2,3,1,3,34,0,S,1,725044, 	(01-MAY-2025 13:14:01)
2,3,1,3,67,1,S,1,725208, 	(01-MAY-2025 13:14:01)
