

<<ROLLBACK_START>>,<<FMS_ENTITY_CONTACT_MST()>>,,,,,, 	(14-APR-2025 13:06:05)
 
COMPANY_CD,COUNTERPARTY_CD,ENTITY,SEQ_NO,EFF_DT,ADDR_FLAG,TYPE,TIMESTAMP
2,217,C,3,26/08/2006 00:00:00,0,RLNG, 	(14-APR-2025 13:06:06)
2,217,C,1,26/08/2006 00:00:00,0,DLNG, 	(14-APR-2025 13:06:06)
2,217,C,2,26/08/2006 00:00:00,0,DLNG, 	(14-APR-2025 13:06:06)
2,217,C,3,26/08/2006 00:00:00,0,DLNG, 	(14-APR-2025 13:06:06)
2,5,C,1,01/02/2024 00:00:00,P4,RLNG, 	(14-APR-2025 13:06:06)
2,5,C,2,20/12/2023 00:00:00,R,RLNG, 	(14-APR-2025 13:06:06)
2,5,C,2,20/12/2023 00:00:00,P5,RLNG, 	(14-APR-2025 13:06:06)
2,5,C,2,20/12/2023 00:00:00,P4,RLNG, 	(14-APR-2025 13:06:06)
2,5,C,2,20/12/2023 00:00:00,P3,RLNG, 	(14-APR-2025 13:06:06)
2,5,C,2,20/12/2023 00:00:00,P2,RLNG, 	(14-APR-2025 13:06:06)
2,5,C,3,01/10/2022 00:00:00,P1,RLNG, 	(14-APR-2025 13:06:06)
2,5,C,4,01/11/2023 00:00:00,B,RLNG, 	(14-APR-2025 13:06:06)
2,5,C,5,01/02/2024 00:00:00,P1,RLNG, 	(14-APR-2025 13:06:06)
2,5,C,6,01/02/2024 00:00:00,P1,RLNG, 	(14-APR-2025 13:06:06)
2,5,C,7,01/02/2024 00:00:00,P3,RLNG, 	(14-APR-2025 13:06:06)
2,5,C,8,01/02/2024 00:00:00,P2,RLNG, 	(14-APR-2025 13:06:06)
2,5,C,9,01/02/2024 00:00:00,P1,RLNG, 	(14-APR-2025 13:06:06)
2,5,C,10,01/10/2022 00:00:00,P5,RLNG, 	(14-APR-2025 13:06:06)
2,5,C,11,01/02/2024 00:00:00,P6,RLNG, 	(14-APR-2025 13:06:06)
2,5,C,12,01/02/2024 00:00:00,P1,RLNG, 	(14-APR-2025 13:06:06)
2,5,C,13,01/02/2024 00:00:00,P2,RLNG, 	(14-APR-2025 13:06:06)
2,5,C,14,01/02/2024 00:00:00,P3,RLNG, 	(14-APR-2025 13:06:06)
2,5,C,15,01/02/2024 00:00:00,P4,RLNG, 	(14-APR-2025 13:06:06)
2,5,C,16,01/02/2024 00:00:00,P1,RLNG, 	(14-APR-2025 13:06:06)
