

<<ROLLBACK_START>>,<<FMS_COUNTERPARTY_ADDR_MST>>,,, 	(28-FEB-2025 11:35:05)
 
COMPANY_CD,CD,ABBR,EFF_DT,TIMESTAMP>
2,200 , R , 12/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,66 , R , 12/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,203 , R , 12/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,143 , R , 12/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,209 , R , 12/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,210 , R , 13/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,67 , R , 13/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,138 , R , 13/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,212 , R , 13/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,213 , R , 13/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,214 , R , 13/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,216 , R , 13/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,219 , R , 13/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,221 , R , 13/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,68 , R , 13/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,69 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,70 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,71 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,111 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,72 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,73 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,74 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,75 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,76 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,77 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,78 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,79 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,80 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,81 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,82 , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
