EFF_DT,SHIP_CD,SHIP_NAME,TIMESTAMP
01/01/2007 00:00:00 , 117 , LNG Abuja II, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 118 , Express, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 119 , Sonangol Sambizanga, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 120 , Gaslog Geneva, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 121 , Symphonic Breeze, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 122 , Macoma, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 123 , PSKOV, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 124 , Methane Nile Eagle, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 125 , Seri Camellia, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 126 , Gracilis, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 127 , Grand Elena, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 128 , Sohar LNG, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 129 , Berge Arzew, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 130 , Seri Alam, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 131 , LNG Tenega Ampet, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 132 , Seri Begawan, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 133 , Salalah LNG, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 134 , Seri Bijasksana, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 135 , British Ruby, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 136 , Golar Mazo, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 137 , Grand Mereya, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 138 , Hyundai Aquapia, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 139 , Al Sahla, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 140 , Al Nuaman, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 141 , LNG Pioneer, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 142 , Al Wajbah, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 143 , AL BIDDA, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 144 , AL Ghashamiya, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 145 , CADIZ KNUTSEN, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 146 , Al Kharsaah, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 147 , Seri Balhaf, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 148 , MURWAB, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 149 , OYO, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 150 , AL KARAANA, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 151 , AL SADD, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 152 , AL KHATTIYA, 	(12-MAR-2025 18:06:21)
