

<<ROLLBACK_START>>,<<FMS_EXCHG_RATE_ENTRY()>>, 	(18-FEB-2025 15:09:14)
 
EXCHG_RATE_CD,EFF_DT,TIMESTAMP
14,07/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,08/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,08/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,08/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,11/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,11/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,11/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,12/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,12/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,12/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,13/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,13/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,13/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,14/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,14/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,14/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,15/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,15/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,15/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,18/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,18/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,18/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,19/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,19/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,19/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,20/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,20/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,20/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,21/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,21/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,21/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,22/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,22/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,22/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,25/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,25/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,25/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,26/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,26/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,26/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,27/06/2007 00:00:00, 	(18-FEB-2025 15:09:15)
