

<<START>>,<<FMS_COUNTERPARTY_ADDR_MST>>,,, 	(28-FEB-2025 11:35:40)
 
CD,ABBR,ADDRESS_TYPE,EFF_DT,TIMESTAMP
56 , IRM , R , 24/08/2022 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
57 , PPL , R , 26/08/2022 00:00:00, 	(28-FEB-2025 11:35:40)
58 , YARALTD , R , 06/09/2022 00:00:00, 	(28-FEB-2025 11:35:40)
59 , INPEROX , R , 13/09/2022 00:00:00, 	(28-FEB-2025 11:35:40)
60 , RAFECHL , R , 28/09/2022 00:00:00, 	(28-FEB-2025 11:35:40)
124 , MGRPL , R , 01/10/2022 00:00:00, 	(28-FEB-2025 11:35:40)
124 , MGRPL , R , 01/10/2022 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
208 , CNTENKA , R , 17/10/2022 00:00:00, 	(28-FEB-2025 11:35:40)
61 , EFSPL , R , 25/10/2022 00:00:00, 	(28-FEB-2025 11:35:40)
62 , WELSMEL , R , 16/11/2022 00:00:00, 	(28-FEB-2025 11:35:40)
158 , HINDURV , R , 17/11/2022 00:00:00, 	(28-FEB-2025 11:35:40)
 , DONOTUSE , R , 17/11/2022 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
 , DONOTUSE , R , 17/11/2022 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
227 , HCGPUTE , R , 18/11/2022 00:00:00, 	(28-FEB-2025 11:35:40)
63 , GOAGLSF , R , 25/11/2022 00:00:00, 	(28-FEB-2025 11:35:40)
64 , IGSPL , R , 25/11/2022 00:00:00, 	(28-FEB-2025 11:35:40)
64 , IGSPL , R , 25/11/2022 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
 , ELAWPRC , R , 02/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
65 , PEFORCV , R , 08/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
 , AARVKRO , R , 12/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
189 , ACOVIED , R , 12/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
191 , ANTIQAC , R , 12/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
191 , ANTIQAC , R , 12/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
141 , ASIANPL , R , 12/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
194 , AVLCRMC , R , 12/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
195 , AXWELLG , R , 12/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
199 , BEGLASS , R , 12/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
200 , BHRTFRG , R , 12/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
66 , BHEL , R , 12/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
203 , BICELLO , R , 12/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
143 , CAPAROE , R , 12/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
209 , CLVTPVL , R , 12/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
210 , COMFIND , R , 13/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
67 , DCMSHRI , R , 13/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
138 , DEENOVK , R , 13/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
212 , DHARLTD , R , 13/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
213 , DURAVIT , R , 13/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
214 , DURZGRA , R , 13/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
216 , ERACLTD , R , 13/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
219 , EURILTD , R , 13/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
221 , FIORGPL , R , 13/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
68 , GAMALTD , R , 13/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
69 , GFLLTD , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
70 , GMRLTD , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
71 , GOCOPRL , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
111 , GLDIDLI , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
72 , GJALCHEM , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
73 , GUJASZR , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
74 , GUJAGAS , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
75 , JOHNTBK , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
76 , HARYCIT , R , 14/12/2022 00:00:00, 	(28-FEB-2025 11:35:40)
