

<<START>>,<<FMS_TRADER_CONT_PLANT>>,,,,,,, 	(16-MAY-2025 10:56:06)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,PLANT_SEQ_NO,CONTRACT_TYPE,TIMESTAMP
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
