

<<START>>,<<FMS_BUY_CARGO_ALLOC>>,,,, 	(20-MAY-2025 11:30:02)
 
COMPANY_CD,CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONTRACT_TYPE,CONT_NO,CONT_REV,CARGO_NO,ALLOC_REV,TIMESTAMP
<<START>>,<<FMS_TRADER_CONT_BU>>,,,,,, 	(20-MAY-2025 11:30:09)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,0, , ,, ,, 	(20-MAY-2025 11:30:09)	 (Not Inserted)
2,1, 0, 0,823001, 2,I, 	(20-MAY-2025 11:30:09)
2,1, 0, 0,823001, 1,I, 	(20-MAY-2025 11:30:09)
2,1, 0, 0,823001, 1,I, 	(20-MAY-2025 11:30:09)	 (Not Inserted)
2,1, 0, 0,823001, 0,I, 	(20-MAY-2025 11:30:09)
2,1, 0, 0,823001, 0,I, 	(20-MAY-2025 11:30:09)	 (Not Inserted)
2,1, 0, 0,823002, 1,I, 	(20-MAY-2025 11:30:09)
2,1, 0, 0,823002, 1,I, 	(20-MAY-2025 11:30:09)	 (Not Inserted)
2,1, 0, 0,823002, 0,I, 	(20-MAY-2025 11:30:09)
2,1, 0, 0,823002, 0,I, 	(20-MAY-2025 11:30:09)	 (Not Inserted)
2,0, , ,, ,, 	(20-MAY-2025 11:30:09)	 (Not Inserted)
2,1, 0, 0,823003, 1,I, 	(20-MAY-2025 11:30:09)
2,1, 0, 0,823003, 0,I, 	(20-MAY-2025 11:30:09)
2,1, 0, 0,823003, 0,I, 	(20-MAY-2025 11:30:09)	 (Not Inserted)
2,1, 0, 0,823004, 1,I, 	(20-MAY-2025 11:30:09)
2,1, 0, 0,823004, 1,I, 	(20-MAY-2025 11:30:09)	 (Not Inserted)
2,1, 0, 0,823004, 0,I, 	(20-MAY-2025 11:30:09)
2,1, 0, 0,823004, 0,I, 	(20-MAY-2025 11:30:09)	 (Not Inserted)
2,1, 0, 0,823005, 1,I, 	(20-MAY-2025 11:30:09)
2,1, 0, 0,824008, 1,D, 	(20-MAY-2025 11:30:09)
2,1, 0, 0,824008, 0,D, 	(20-MAY-2025 11:30:09)
2,1, 0, 0,824008, 0,D, 	(20-MAY-2025 11:30:09)	 (Not Inserted)
2,1, 0, 0,823006, 1,I, 	(20-MAY-2025 11:30:09)
2,1, 0, 0,823006, 0,I, 	(20-MAY-2025 11:30:09)
2,1, 0, 0,823007, 1,I, 	(20-MAY-2025 11:30:09)
2,1, 0, 0,823007, 0,I, 	(20-MAY-2025 11:30:09)
