

<<START>>,<<FMS_TRUCK_TRANSPORTER_LINK>>,,, 	(07-JUN-2025 09:45:17)
 
ENT_PROFILE,TRUCK_TRANS_CD,TRUCK_CD,EFF_DT,LINK_SEQ,TIMESTAMP,
2,2,37,04/03/2023 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,12,66,11/03/2023 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,6,13,13/03/2023 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,2,45,15/03/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,6,84,15/03/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,2,45,15/03/2023 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,15,89,17/03/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,6,28,18/03/2023 00:00:00,6, 	(07-JUN-2025 09:45:18)
2,4,32,21/03/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,2,3,22/03/2023 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,15,89,24/03/2023 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,11,56,03/04/2023 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,9,108,03/04/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,17,103,03/04/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,15,91,06/04/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,6,12,06/04/2023 00:00:00,5, 	(07-JUN-2025 09:45:18)
2,16,102,12/04/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,6,68,20/04/2023 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,6,104,24/04/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,15,90,08/05/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,15,76,15/05/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,15,80,19/05/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,2,40,21/05/2023 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,6,68,24/05/2023 00:00:00,4, 	(07-JUN-2025 09:45:18)
2,8,16,09/06/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,12,49,10/06/2023 00:00:00,4, 	(07-JUN-2025 09:45:18)
2,12,59,11/06/2023 00:00:00,5, 	(07-JUN-2025 09:45:18)
2,6,109,12/06/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,6,109,12/06/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,11,57,13/06/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,16,101,14/06/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,6,105,15/06/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,11,56,15/06/2023 00:00:00,4, 	(07-JUN-2025 09:45:18)
2,11,57,29/06/2023 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,12,107,08/07/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,12,106,08/07/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,12,47,09/07/2023 00:00:00,5, 	(07-JUN-2025 09:45:18)
2,8,16,10/07/2023 00:00:00,3, 	(07-JUN-2025 09:45:18)
