

<<START>>,<<FMS_PUR_SG_INV_MST>>,,,,,,,,,,,,,,,,,, 	(12-JUN-2025 09:28:28)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_NO, AGMT_REV, CONT_NO, CONT_REV, CONTRACT_TYPE, PLANT_SEQ, BU_UNIT, FREQ, PERIOD_START_DT, PERIOD_END_DT, INVOICE_SEQ, FINANCIAL_YEAR, INV_FLAG,CONTACT_PERSON_CD,BU_CONTACT_PERSON_CD,INVOICE_NO,SALE_PRICE,TIMESTAMP
2,270, 1, 0, 710013,0, N, 1, 1,10,25/02/2008 00:00:00, 25/02/2008 00:00:00, 4, 2007-2008,PF,1,1,T0014385,13.5,2PFNS0004/07-08,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710013,0, N, 1, 1,10,25/02/2008 00:00:00, 25/02/2008 00:00:00, 4, 2007-2008,F,1,1,T0014399,13.5,2NS0004/07-08,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710013,0, N, 1, 1,10,25/02/2008 00:00:00, 25/02/2008 00:00:00, 4, 2007-2008,CP,1,1,T0014385,13.5,2PNCD0004/07-08,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710013,0, N, 1, 1,10,25/02/2008 00:00:00, 25/02/2008 00:00:00, 3, 2007-2008,CF,1,1,T0014399,13.5,2NCD0003/07-08,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710009,0, N, 1, 1,10,25/09/2007 00:00:00, 26/09/2007 00:00:00, 5, 2007-2008,P,1,1,T0013259,8.85,2PNS0005/07-08,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710009,0, N, 1, 1,10,25/09/2007 00:00:00, 26/09/2007 00:00:00, 5, 2007-2008,PF,1,1,T0013259,8.85,2PFNS0005/07-08,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710009,0, N, 1, 1,10,25/09/2007 00:00:00, 26/09/2007 00:00:00, 5, 2007-2008,F,1,1,T0013261,8.85,2NS0005/07-08,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710009,0, N, 1, 1,10,25/09/2007 00:00:00, 26/09/2007 00:00:00, 5, 2007-2008,CP,1,1,T0013259,8.85,2PNCD0005/07-08,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710011,0, N, 1, 1,10,26/10/2007 00:00:00, 27/10/2007 00:00:00, 6, 2007-2008,P,1,1,T0013471,12.25,2PNS0006/07-08,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710011,0, N, 1, 1,10,26/10/2007 00:00:00, 27/10/2007 00:00:00, 6, 2007-2008,PF,1,1,T0013471,12.25,2PFNS0006/07-08,1, 	(12-JUN-2025 09:28:29)
