

<<START>>,<<FMS_TRADER_CARGO_MST>> 	(17-JUN-2025 12:04:08)
 
COMPANY_CD,CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_TYPE,CONT_NO,CONT_REV,CARGO_NO,CARGO_REF_NO,TIMESTAMP
2, 256, M, 1, 0, N, 720018, 0,1,20003, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720019, 0,1,20005, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720020, 0,1,20007, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720021, 0,1,20010, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720022, 0,1,20011, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720023, 0,1,20012, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720024, 0,1,20013, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720024, 0,2,20014, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720024, 0,3,20015, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720024, 0,4,20016, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720025, 0,1,20017, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720026, 0,1,20018, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720027, 0,1,20019, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720028, 0,1,20020, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720029, 0,1,20021, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 720030, 0,1,20022, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 721006, 0,1,20025, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 721006, 0,2,20026, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 721006, 0,3,20027, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 721007, 0,1,21002, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 721008, 0,1,21003, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 721009, 0,1,21004, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 721010, 0,1,21008, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 721010, 0,2,21009, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 721011, 0,1,21047, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 721011, 0,2,21048, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 721011, 0,3,21049, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 721012, 0,1,21050, 	(17-JUN-2025 12:04:08)
2, 256, M, 1, 0, N, 721013, 0,1,21053, 	(17-JUN-2025 12:04:08)
2, 256, , , , , 721013, ,1,7030, 	(17-JUN-2025 12:04:08)	 (Not Inserted)
2, 256, , , , , 721013, ,1,7031, 	(17-JUN-2025 12:04:08)	 (Not Inserted)
2, 256, , , , , 721013, ,1,8031, 	(17-JUN-2025 12:04:08)	 (Not Inserted)
2, 256, , , , , 721013, ,1,9027, 	(17-JUN-2025 12:04:08)	 (Not Inserted)
2, 256, , , , , 721013, ,1,10015, 	(17-JUN-2025 12:04:08)	 (Not Inserted)
2, 268, , , , , 721013, ,1,20004, 	(17-JUN-2025 12:04:08)	 (Not Inserted)
2, 268, , , , , 721013, ,1,20009, 	(17-JUN-2025 12:04:08)	 (Not Inserted)
2, 268, , , , , 721013, ,1,20023, 	(17-JUN-2025 12:04:08)	 (Not Inserted)
2, 268, , , , , 721013, ,1,20024, 	(17-JUN-2025 12:04:08)	 (Not Inserted)
2, 268, , , , , 721013, ,1,21005, 	(17-JUN-2025 12:04:08)	 (Not Inserted)
2, 268, , , , , 721013, ,2,21006, 	(17-JUN-2025 12:04:08)	 (Not Inserted)
2, 152, M, 1, 0, N, 721014, 0,1,21001, 	(17-JUN-2025 12:04:08)
2, 152, M, 1, 0, N, 721015, 0,1,21055, 	(17-JUN-2025 12:04:08)
2, 1, , , , , 721015, ,1,21007, 	(17-JUN-2025 12:04:08)	 (Not Inserted)
2, 20, , , , , 721015, ,1,21052, 	(17-JUN-2025 12:04:08)	 (Not Inserted)
2, 20, , , , , 721015, ,1,21064, 	(17-JUN-2025 12:04:08)	 (Not Inserted)
2, 20, , , , , 721015, ,1,21065, 	(17-JUN-2025 12:04:08)	 (Not Inserted)
2, 110, M, 1, 0, N, 723001, 0,1,23007, 	(17-JUN-2025 12:04:08)
2, 110, M, 1, 0, N, 723002, 0,1,23010, 	(17-JUN-2025 12:04:08)
2, 110, M, 1, 0, N, 723003, 0,1,23011, 	(17-JUN-2025 12:04:08)
2, 110, M, 1, 0, N, 723004, 0,1,23015, 	(17-JUN-2025 12:04:08)
2, 110, M, 1, 0, N, 723005, 0,1,23024, 	(17-JUN-2025 12:04:08)
2, 110, M, 1, 0, N, 723006, 0,1,23025, 	(17-JUN-2025 12:04:08)
2, 110, M, 1, 0, N, 723007, 0,1,23028, 	(17-JUN-2025 12:04:08)
2, 110, M, 1, 0, N, 723008, 0,2,23035, 	(17-JUN-2025 12:04:08)
2, 110, M, 1, 0, N, 723008, 0,1,23034, 	(17-JUN-2025 12:04:08)
2, 110, M, 1, 0, N, 723009, 0,1,23040, 	(17-JUN-2025 12:04:08)
2, 110, M, 1, 0, N, 724001, 0,1,24002, 	(17-JUN-2025 12:04:08)
2, 110, M, 1, 0, N, 724001, 0,2,24003, 	(17-JUN-2025 12:04:08)
2, 110, M, 1, 0, N, 724001, 0,3,24004, 	(17-JUN-2025 12:04:08)
2, 110, M, 1, 0, N, 724002, 0,1,24006, 	(17-JUN-2025 12:04:08)
2, 110, M, 1, 0, N, 724003, 0,1,24010, 	(17-JUN-2025 12:04:08)
2, 110, M, 1, 0, N, 724004, 0,1,24011, 	(17-JUN-2025 12:04:08)
2, 110, M, 1, 0, N, 724005, 0,1,24015, 	(17-JUN-2025 12:04:08)
2, 110, M, 1, 0, N, 725001, 0,1,25001, 	(17-JUN-2025 12:04:08)
2, 110, M, 1, 0, N, 725002, 0,1,25003, 	(17-JUN-2025 12:04:08)

TOTAL DATA IN EXCEL : 262 	(17-JUN-2025 12:04:08)
 

TOTAL DATA INSERTED : 242 	(17-JUN-2025 12:04:08)
 

TOTAL SKIPPED DATA 20 	(17-JUN-2025 12:04:08)
 
<<END>><<FMS_TRADER_CARGO_MST>> 	(17-JUN-2025 12:04:08)
 

<<START>>,<<FMS_TRADER_BILLING_DTL1>>, 	(17-JUN-2025 12:04:08)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE, 	(17-JUN-2025 12:04:08)
 

TOTAL DATA IN EXCEL : ,0, 	(17-JUN-2025 12:04:08)
 

TOTAL DATA INSERTED : ,212, 	(17-JUN-2025 12:04:08)
 

TOTAL SKIPPED DATA ,0, 	(17-JUN-2025 12:04:08)
 
<<END>>,<<FMS_TRADER_BILLING_DTL1>>, 	(17-JUN-2025 12:04:08)
 

<<START>>,<<FMS_PSEUDO_CARGO_DTL>>,,,,, 	(17-JUN-2025 12:04:14)
 
COMPANY_CD,CONTRACT_TYPE,CARGO_NO,SEQ_NO,QTY,ENT_DT,ENT_BY,TIMESTAMP
2, N, 1, 6,  	(17-JUN-2025 12:04:14)
2, N, 1, 11,  	(17-JUN-2025 12:04:14)
2, N, 1, 12,  	(17-JUN-2025 12:04:14)
2, N, 1, 9,  	(17-JUN-2025 12:04:14)
2, D, 2, 2,  	(17-JUN-2025 12:04:14)
2, N, 1, 2,  	(17-JUN-2025 12:04:14)
2, N, 1, 13,  	(17-JUN-2025 12:04:14)
2, N, 1, 3,  	(17-JUN-2025 12:04:14)
2, N, 1, 5,  	(17-JUN-2025 12:04:14)
2, N, 1, 7,  	(17-JUN-2025 12:04:14)
2, N, 1, 1,  	(17-JUN-2025 12:04:14)
2, D, 2, 1,  	(17-JUN-2025 12:04:14)
2, N, 1, 4,  	(17-JUN-2025 12:04:14)
2, N, 1, 8,  	(17-JUN-2025 12:04:14)
2, N, 1, 10,  	(17-JUN-2025 12:04:14)
2, D, 2, 3,  	(17-JUN-2025 12:04:14)
2, N, 1, 15,  	(17-JUN-2025 12:04:14)
2, N, 1, 17,  	(17-JUN-2025 12:04:14)
2, N, 1, 18,  	(17-JUN-2025 12:04:14)
