

<<START>>,<<FMS_GTA_SG_INV_MST>>,, 	(01-SEP-2025 14:11:50)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_NO, AGMT_REV, CONT_NO, CONT_REV, CONTRACT_TYPE, TRANS_BU_UNIT, BU_UNIT, FREQ, PERIOD_START_DT, PERIOD_END_DT, INVOICE_TYPE, INVOICE_SEQ, INV_NO ,TIMESTAMP,
2,4,1,0,125,0,C,1,1,2,16/09/2023 00:00:00,30/09/2023 00:00:00,TC,22,UPG2A23109008214, 	(01-SEP-2025 14:11:51)
2,4,1,0,34,0,C,1,1,1,01/01/2025 00:00:00,15/01/2025 00:00:00,TC,39,UPG2A24109018889-8887, 	(01-SEP-2025 14:11:51)
2,4,1,0,135,0,C,1,1,1,01/09/2023 00:00:00,15/09/2023 00:00:00,TC,23,UPG2A23109007598, 	(01-SEP-2025 14:11:51)
2,4,1,0,135,0,C,1,1,2,16/09/2023 00:00:00,30/09/2023 00:00:00,TC,24,UPG2A23109008183, 	(01-SEP-2025 14:11:51)
2,4,1,0,23,0,C,1,1,1,01/04/2024 00:00:00,15/04/2024 00:00:00,TC,40,UPG2A24109000223, 	(01-SEP-2025 14:11:51)
2,4,1,0,23,0,C,1,1,2,16/04/2024 00:00:00,30/04/2024 00:00:00,TC,41,UPG2A24109000861, 	(01-SEP-2025 14:11:51)
2,4,1,0,23,0,C,1,1,1,01/05/2024 00:00:00,15/05/2024 00:00:00,TC,42,UPG2A24109001752, 	(01-SEP-2025 14:11:51)
2,4,1,0,23,0,C,1,1,2,16/05/2024 00:00:00,31/05/2024 00:00:00,TC,43,UPG2A24109002364, 	(01-SEP-2025 14:11:51)
2,4,1,0,23,0,C,1,1,1,01/06/2024 00:00:00,15/06/2024 00:00:00,TC,44,UPG2A24109003615, 	(01-SEP-2025 14:11:51)
2,4,1,0,23,0,C,1,1,2,16/06/2024 00:00:00,30/06/2024 00:00:00,TC,45,UPG2A24109003987, 	(01-SEP-2025 14:11:51)
2,4,1,0,23,0,C,1,1,1,01/08/2024 00:00:00,15/08/2024 00:00:00,TC,46,UPG2A24109007113, 	(01-SEP-2025 14:11:51)
2,4,1,0,23,0,C,1,1,2,16/08/2024 00:00:00,31/08/2024 00:00:00,TC,47,UPG2A24109007703, 	(01-SEP-2025 14:11:51)
2,4,1,0,23,0,C,1,1,1,01/09/2024 00:00:00,15/09/2024 00:00:00,TC,48,UPG2A24109008395, 	(01-SEP-2025 14:11:51)
2,4,1,0,23,0,C,1,1,2,16/09/2024 00:00:00,30/09/2024 00:00:00,TC,49,UPG2A24109009607, 	(01-SEP-2025 14:11:51)
2,4,1,0,23,0,C,1,1,1,01/10/2024 00:00:00,15/10/2024 00:00:00,TC,50,UPG2A24109010464, 	(01-SEP-2025 14:11:51)
2,4,1,0,23,0,C,1,1,2,16/10/2024 00:00:00,31/10/2024 00:00:00,TC,51,UPG2A24109012142, 	(01-SEP-2025 14:11:51)
2,4,1,0,23,0,C,1,1,2,16/10/2024 00:00:00,31/10/2024 00:00:00,IC,52,UPG2A24109012607, 	(01-SEP-2025 14:11:51)
2,4,1,0,23,0,C,1,1,1,01/11/2024 00:00:00,15/11/2024 00:00:00,TC,53,UPG2A24109013333, 	(01-SEP-2025 14:11:51)
2,4,1,0,23,0,C,1,1,1,01/11/2024 00:00:00,15/11/2024 00:00:00,,54,UPG2A24109013579, 	(01-SEP-2025 14:11:51)	 (Not Inserted)
2,4,1,0,23,0,C,1,1,2,16/11/2024 00:00:00,30/11/2024 00:00:00,TC,54,UPG2A24109014917, 	(01-SEP-2025 14:11:51)
2,4,1,0,23,0,C,1,1,1,01/12/2024 00:00:00,15/12/2024 00:00:00,TC,55,UPG2A24109016129, 	(01-SEP-2025 14:11:51)
2,4,1,0,23,0,C,1,1,2,16/12/2024 00:00:00,31/12/2024 00:00:00,TC,56,UPG2A24109017594, 	(01-SEP-2025 14:11:51)
2,4,1,0,23,0,C,1,1,1,01/01/2025 00:00:00,15/01/2025 00:00:00,TC,57,UPG2A24109018821, 	(01-SEP-2025 14:11:51)
2,4,1,0,23,0,C,1,1,2,16/01/2025 00:00:00,31/01/2025 00:00:00,TC,58,UPG2A24109020465, 	(01-SEP-2025 14:11:51)
2,4,1,0,23,0,C,1,1,1,01/02/2025 00:00:00,15/02/2025 00:00:00,TC,59,UPG2A24109021429, 	(01-SEP-2025 14:11:51)
2,4,1,0,23,0,C,1,1,2,16/02/2025 00:00:00,28/02/2025 00:00:00,TC,60,UPG2A24109022857, 	(01-SEP-2025 14:11:51)
2,4,1,0,23,0,C,1,1,1,01/03/2025 00:00:00,15/03/2025 00:00:00,TC,61,UPG2A24109023989, 	(01-SEP-2025 14:11:51)
2,4,1,0,23,0,C,1,1,2,16/03/2025 00:00:00,31/03/2025 00:00:00,TC,62,UPG2A24109025804, 	(01-SEP-2025 14:11:51)
2,4,1,0,41,0,C,1,1,1,01/03/2024 00:00:00,15/03/2024 00:00:00,TC,25,UPG2A23109016562, 	(01-SEP-2025 14:11:51)
2,4,1,0,41,0,C,1,1,2,16/03/2024 00:00:00,31/03/2024 00:00:00,TC,26,UPG2A23109017521, 	(01-SEP-2025 14:11:51)
2,4,1,0,41,0,C,1,1,1,01/04/2024 00:00:00,15/04/2024 00:00:00,,63,UPG2A24109000072, 	(01-SEP-2025 14:11:51)	 (Not Inserted)
2,4,1,0,41,0,C,1,1,1,01/04/2024 00:00:00,15/04/2024 00:00:00,,63,UPG2A24109000073, 	(01-SEP-2025 14:11:51)	 (Not Inserted)
2,4,1,0,41,0,C,1,1,1,01/04/2024 00:00:00,15/04/2024 00:00:00,TC,63,UPG2A24109000303, 	(01-SEP-2025 14:11:51)
2,4,1,0,41,0,C,1,1,2,16/04/2024 00:00:00,30/04/2024 00:00:00,TC,64,UPG2A24109000806, 	(01-SEP-2025 14:11:51)
2,4,1,0,41,0,C,1,1,1,01/05/2024 00:00:00,15/05/2024 00:00:00,TC,65,UPG2A24109001785, 	(01-SEP-2025 14:11:51)
2,4,1,0,41,0,C,1,1,2,16/05/2024 00:00:00,31/05/2024 00:00:00,TC,66,UPG2A24109002421, 	(01-SEP-2025 14:11:51)
2,4,1,0,41,0,C,1,1,1,01/06/2024 00:00:00,15/06/2024 00:00:00,TC,67,UPG2A24109003397, 	(01-SEP-2025 14:11:51)
2,4,1,0,41,0,C,1,1,2,16/06/2024 00:00:00,30/06/2024 00:00:00,TC,68,UPG2A24109004234, 	(01-SEP-2025 14:11:51)
2,4,1,0,41,0,C,1,1,2,16/06/2024 00:00:00,30/06/2024 00:00:00,,69,UPG2A24109004236, 	(01-SEP-2025 14:11:51)	 (Not Inserted)
2,4,1,0,41,0,C,1,1,2,16/06/2024 00:00:00,30/06/2024 00:00:00,,69,UPG2A24109004237, 	(01-SEP-2025 14:11:51)	 (Not Inserted)
2,4,1,0,41,0,C,1,1,1,01/06/2024 00:00:00,15/06/2024 00:00:00,,69,UPG2A24109004636, 	(01-SEP-2025 14:11:51)	 (Not Inserted)
2,4,1,0,41,0,C,1,1,1,01/07/2024 00:00:00,15/07/2024 00:00:00,TC,69,UPG2A24109004840, 	(01-SEP-2025 14:11:51)
2,4,1,0,41,0,C,1,1,1,01/07/2024 00:00:00,15/07/2024 00:00:00,,70,UPG2A24109004846, 	(01-SEP-2025 14:11:51)	 (Not Inserted)
2,4,1,0,41,0,C,1,1,1,01/07/2024 00:00:00,15/07/2024 00:00:00,IC,70,UPG2A24109004847, 	(01-SEP-2025 14:11:51)
2,4,1,0,41,0,C,1,1,2,16/07/2024 00:00:00,31/07/2024 00:00:00,,71,UPG2A24109005725, 	(01-SEP-2025 14:11:51)	 (Not Inserted)
2,4,1,0,41,0,C,1,1,2,16/07/2024 00:00:00,31/07/2024 00:00:00,IC,71,UPG2A24109005726, 	(01-SEP-2025 14:11:51)
2,4,1,0,41,0,C,1,1,2,16/07/2024 00:00:00,31/07/2024 00:00:00,TC,72,UPG2A24109005742, 	(01-SEP-2025 14:11:51)
2,4,1,0,41,0,C,1,1,1,01/08/2024 00:00:00,15/08/2024 00:00:00,TC,73,UPG2A24109006928, 	(01-SEP-2025 14:11:51)
2,4,1,0,41,0,C,1,1,1,01/08/2024 00:00:00,15/08/2024 00:00:00,,74,UPG2A24109007220, 	(01-SEP-2025 14:11:51)	 (Not Inserted)
2,4,1,0,41,0,C,1,1,1,01/08/2024 00:00:00,15/08/2024 00:00:00,IC,74,UPG2A24109007221, 	(01-SEP-2025 14:11:51)
2,4,1,0,41,0,C,1,1,2,16/08/2024 00:00:00,31/08/2024 00:00:00,TC,75,UPG2A24109007625, 	(01-SEP-2025 14:11:51)
2,4,1,0,41,0,C,1,1,2,16/08/2024 00:00:00,31/08/2024 00:00:00,,76,UPG2A24109008171, 	(01-SEP-2025 14:11:51)	 (Not Inserted)
2,4,1,0,41,0,C,1,1,2,16/08/2024 00:00:00,31/08/2024 00:00:00,IC,76,UPG2A24109008172, 	(01-SEP-2025 14:11:51)
2,4,1,0,41,0,C,1,1,1,01/09/2024 00:00:00,15/09/2024 00:00:00,TC,77,UPG2A24109008666, 	(01-SEP-2025 14:11:51)
2,4,1,0,41,0,C,1,1,1,01/09/2024 00:00:00,15/09/2024 00:00:00,IC,78,UPG2A24109008766, 	(01-SEP-2025 14:11:51)
2,4,1,0,41,0,C,1,1,1,01/09/2024 00:00:00,15/09/2024 00:00:00,,79,UPG2A24109008767, 	(01-SEP-2025 14:11:51)	 (Not Inserted)
2,4,1,0,41,0,C,1,1,2,16/09/2024 00:00:00,30/09/2024 00:00:00,TC,79,UPG2A24109009558, 	(01-SEP-2025 14:11:51)
2,4,1,0,41,0,C,1,1,1,01/10/2024 00:00:00,15/10/2024 00:00:00,TC,80,UPG2A24109010250, 	(01-SEP-2025 14:11:51)
2,4,1,0,41,0,C,1,1,2,16/11/2024 00:00:00,30/11/2024 00:00:00,TC,81,UPG2A24109014698, 	(01-SEP-2025 14:11:51)
2,4,1,0,93,0,C,1,1,1,01/01/2024 00:00:00,15/01/2024 00:00:00,TC,27,UPG2A23109013291, 	(01-SEP-2025 14:11:51)
2,4,1,0,93,0,C,1,1,1,01/01/2024 00:00:00,15/01/2024 00:00:00,TC,28,UPG2A23109013293, 	(01-SEP-2025 14:11:51)
2,4,1,0,93,0,C,1,1,1,01/01/2024 00:00:00,15/01/2024 00:00:00,TC,29,UPG2A23109013339, 	(01-SEP-2025 14:11:51)
2,4,1,0,93,0,C,1,1,2,16/01/2024 00:00:00,31/01/2024 00:00:00,TC,30,UPG2A23109013962, 	(01-SEP-2025 14:11:51)
2,4,1,0,93,0,C,1,1,2,16/01/2024 00:00:00,31/01/2024 00:00:00,TC,31,UPG2A23109013994, 	(01-SEP-2025 14:11:51)
2,4,1,0,93,0,C,1,1,2,16/01/2024 00:00:00,31/01/2024 00:00:00,TC,32,UPG2A23109014033, 	(01-SEP-2025 14:11:51)
2,4,1,0,58,0,C,1,1,1,01/05/2024 00:00:00,15/05/2024 00:00:00,TC,82,UPG2A24109001856, 	(01-SEP-2025 14:11:51)
2,4,1,0,92,0,C,1,1,1,01/01/2024 00:00:00,15/01/2024 00:00:00,TC,33,UPG2A23109013487, 	(01-SEP-2025 14:11:51)
2,4,1,0,92,0,C,1,1,1,01/01/2024 00:00:00,15/01/2024 00:00:00,TC,34,UPG2A23109013488, 	(01-SEP-2025 14:11:51)
2,4,1,0,92,0,C,1,1,1,01/01/2024 00:00:00,15/01/2024 00:00:00,TC,35,UPG2A23109013527, 	(01-SEP-2025 14:11:51)
2,4,1,0,92,0,C,1,1,2,16/01/2024 00:00:00,31/01/2024 00:00:00,TC,36,UPG2A23109014407, 	(01-SEP-2025 14:11:51)
2,4,1,0,92,0,C,1,1,2,16/01/2024 00:00:00,31/01/2024 00:00:00,TC,37,UPG2A23109014409, 	(01-SEP-2025 14:11:51)
2,4,1,0,92,0,C,1,1,2,16/01/2024 00:00:00,31/01/2024 00:00:00,TC,38,UPG2A23109014520, 	(01-SEP-2025 14:11:51)
