

<<START>>,<<FMS_TRADER_CONT_BU>>,,,,,, 	(01-APR-2025 15:45:17)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,1, 0, 0,825027, 2,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,1, 0, 0,825027, 2,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,1, 0, 0,825027, 3,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825027, 3,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825027, 4,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825027, 4,, 	(01-APR-2025 15:45:17)
2,124, 0, 0,825114, 0,, 	(01-APR-2025 15:45:17)
2,124, 0, 0,825114, 1,, 	(01-APR-2025 15:45:17)
2,154, 0, 0,825102, 0,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825020, 1,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825020, 1,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,14, 0, 0,825083, 0,, 	(01-APR-2025 15:45:17)
2,14, 0, 0,825084, 0,, 	(01-APR-2025 15:45:17)
2,14, 0, 0,825086, 0,, 	(01-APR-2025 15:45:17)
2,43, 0, 0,825024, 0,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,15, 0, 0,825064, 0,, 	(01-APR-2025 15:45:17)
2,43, 0, 0,825024, 1,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825016, 3,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825016, 3,, 	(01-APR-2025 15:45:17)
2,43, 0, 0,825043, 0,, 	(01-APR-2025 15:45:17)
2,43, 0, 0,825043, 1,, 	(01-APR-2025 15:45:17)
2,43, 0, 0,825044, 0,, 	(01-APR-2025 15:45:17)
2,43, 0, 0,825044, 1,, 	(01-APR-2025 15:45:17)
2,51, 0, 0,825070, 0,, 	(01-APR-2025 15:45:17)
2,51, 0, 0,825070, 1,, 	(01-APR-2025 15:45:17)
2,51, 0, 0,825070, 2,, 	(01-APR-2025 15:45:17)
2,154, 0, 0,825094, 0,, 	(01-APR-2025 15:45:18)
2,43, 0, 0,825052, 1,, 	(01-APR-2025 15:45:18)
2,1, 0, 0,825031, 1,, 	(01-APR-2025 15:45:18)
2,43, 0, 0,825053, 0,, 	(01-APR-2025 15:45:18)
2,1, 0, 0,825032, 0,, 	(01-APR-2025 15:45:18)
2,1, 0, 0,825033, 0,, 	(01-APR-2025 15:45:18)
2,1, 0, 0,825033, 1,, 	(01-APR-2025 15:45:18)
2,43, 0, 0,825055, 0,, 	(01-APR-2025 15:45:18)
2,43, 0, 0,825055, 1,, 	(01-APR-2025 15:45:18)
2,1, 0, 0,825025, 0,, 	(01-APR-2025 15:45:18)
2,1, 0, 0,825025, 0,, 	(01-APR-2025 15:45:18)	 (Not Inserted)
2,1, 0, 0,825025, 0,, 	(01-APR-2025 15:45:18)	 (Not Inserted)
2,1, 0, 0,825025, 0,, 	(01-APR-2025 15:45:18)	 (Not Inserted)
