

<<START>>,<<FMS_AGMT_MST>>,, 	(03-MAR-2025 13:08:18)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,TIMESTAMP
2,14 , BPCL,F,0,1,1, 	(03-MAR-2025 13:08:20)
2,14 , BPCL,F,0,2,1, 	(03-MAR-2025 13:08:20)
2,269 , TEL,F,0,1,1, 	(03-MAR-2025 13:08:20)
2,15 , HPCL,F,2,1,2, 	(03-MAR-2025 13:08:20)
2,15 , HPCL,F,0,2,1, 	(03-MAR-2025 13:08:20)
2,15 , HPCL,F,1,1,1, 	(03-MAR-2025 13:08:20)
2,15 , HPCL,F,0,2,2, 	(03-MAR-2025 13:08:20)
2,15 , HPCL,F,2,1,1, 	(03-MAR-2025 13:08:20)
2,15 , HPCL,F,0,1,1, 	(03-MAR-2025 13:08:20)
2,16 , JSW,F,0,1,1, 	(03-MAR-2025 13:08:20)
2,17 , BGL,F,0,1,1, 	(03-MAR-2025 13:08:20)
2,18 , GSFC,F,0,1,1, 	(03-MAR-2025 13:08:20)
2,228 , H-Energy,F,0,1,1, 	(03-MAR-2025 13:08:20)
2,160 , SIMPL,F,0,1,1, 	(03-MAR-2025 13:08:20)
2,20 , AMNS,F,3,2,1, 	(03-MAR-2025 13:08:20)
2,20 , AMNS,F,0,3,1, 	(03-MAR-2025 13:08:20)
2,20 , AMNS,F,2,2,1, 	(03-MAR-2025 13:08:20)
2,20 , AMNS,F,0,1,1, 	(03-MAR-2025 13:08:20)
2,20 , AMNS,F,0,2,1, 	(03-MAR-2025 13:08:20)
2,20 , AMNS,F,1,2,1, 	(03-MAR-2025 13:08:20)
2,154 , SEMTIPL,F,0,1,1, 	(03-MAR-2025 13:08:20)
2,154 , SEMTIPL,F,0,1,2, 	(03-MAR-2025 13:08:20)
2,21 , SGIPL,F,0,1,1, 	(03-MAR-2025 13:08:20)
2,22 , VGL,F,0,1,1, 	(03-MAR-2025 13:08:20)
2,22 , VGL,F,0,1,2, 	(03-MAR-2025 13:08:20)
2,23 , PGPGPL,F,0,1,2, 	(03-MAR-2025 13:08:20)
2,23 , PGPGPL,F,0,1,1, 	(03-MAR-2025 13:08:20)
2,24 , HCG,F,0,1,1, 	(03-MAR-2025 13:08:20)
2,25 , GGL,F,0,1,1, 	(03-MAR-2025 13:08:20)
2,29 , PipeInfra,F,0,1,5, 	(03-MAR-2025 13:08:20)
2,29 , PipeInfra,F,0,1,6, 	(03-MAR-2025 13:08:20)
2,31 , HSIL,F,0,1,1, 	(03-MAR-2025 13:08:20)
2,254 , RIPL,F,0,1,1, 	(03-MAR-2025 13:08:20)
2,207 , CP,F,0,1,1, 	(03-MAR-2025 13:08:20)
2,207 , CP,F,0,2,2, 	(03-MAR-2025 13:08:20)
2,207 , CP,F,0,1,2, 	(03-MAR-2025 13:08:20)
2,207 , CP,F,0,2,1, 	(03-MAR-2025 13:08:20)
2,207 , CP,F,0,3,1, 	(03-MAR-2025 13:08:20)
2,207 , CP,F,0,3,2, 	(03-MAR-2025 13:08:20)

TOTAL DATA IN EXCEL : ,69,,,,,, 	(03-MAR-2025 13:08:20)
 

TOTAL DATA INSERTED : ,318,,,,,, 	(03-MAR-2025 13:08:20)
 

TOTAL SKIPPED DATA ,8,,,,,, 	(03-MAR-2025 13:08:20)
 
<<END>>,<<FMS_AGMT_PLANT>>,,,,,, 	(03-MAR-2025 13:08:20)
 
