

<<START>>,<<FMS_COUNTERPARTY_MST>>,, 	(28-FEB-2025 11:33:35)
 
CD,ABBR,EFF_DT,TIMESTAMP
111 , GLDIDLI,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
72 , GJALCHEM,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
73 , GUJASZR,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
74 , GUJAGAS,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
75 , JOHNTBK,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
76 , HARYCIT,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
77 , HCGKCEP,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
78 , HEGLPWN,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
79 , HEROMO,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
80 , HICOTED,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
81 , HOECLTD,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
82 , HINZINC,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
144 , HINAGIL,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
83 , HINSPEC,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
229 , HOLLFIE,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
84 , HNDMTRS,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
147 , HPOIGAS,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
230 , ICONGLTD,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
148 , INDOLPL,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
85 , GASJIND,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
236 , LEXGRAN,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
239 , LOCEPRI,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
240 , LORVTPL,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
241 , LUMGLAP,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
86 , MANIKAR,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
87 , MARUTIS,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
243 , MAXGLTD,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
244 , LLPMILL,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
245 , LTDMILG,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
246 , MILVITL,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
88 , MINDLTD,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
89 , MMPINDL,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
247 , MOINLIM,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
248 , MOSPLTD,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
90 , NAGAFCL,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
91 , NARMADA,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
166 , ESSAREX,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
92 , NEL,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
250 , OWECORN,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
93 , PETNETLNG,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
94 , PRISM,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
252 , QUCELTD,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
253 , RAMALIM,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
 , RANDSIN,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
139 , SASANPO,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
95 , SENTOVI,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
96 , SHOLAGA,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
97 , SHREELI,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
258 , SIVPLTD,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
259 , SIYARAM,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
260 , SIYALIM,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
261 , SOLIMIC,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
262 , SPARVIT,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
98 , SRAVANT,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
142 , SGIPLTD,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
266 , TAURLES,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
267 , TTRPKPR,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
99 , THERLIM,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
100 , THGBGPL,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
145 , THYESTP,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
101 , TORRAUI,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
274 , VARGRAN,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
275 , VENIRAM,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
102 , VITOLAPL,14/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
103 , IOCL,16/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
169 , INGASTD,28/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
104 , TASTELI,30/12/2022 00:00:00, 	(28-FEB-2025 11:33:35)
105 , HMEL,04/01/2023 00:00:00, 	(28-FEB-2025 11:33:35)
211 , DIL,01/01/2023 00:00:00, 	(28-FEB-2025 11:33:35)
162 , BOROREN,05/01/2023 00:00:00, 	(28-FEB-2025 11:33:35)
151 , KINGASP,13/01/2023 00:00:00, 	(28-FEB-2025 11:33:35)
163 , CEUPGAS,13/01/2023 00:00:00, 	(28-FEB-2025 11:33:35)
173 , KNPFCHL,18/01/2023 00:00:00, 	(28-FEB-2025 11:33:36)
106 , RATNAGI,19/01/2023 00:00:00, 	(28-FEB-2025 11:33:36)
180 , RAJRAIR,19/01/2023 00:00:00, 	(28-FEB-2025 11:33:36)
107 , IDOINVA,27/01/2023 00:00:00, 	(28-FEB-2025 11:33:36)
107 , IDOINVA,27/01/2023 00:00:00, 	(28-FEB-2025 11:33:36)	 (Not Inserted)
107 , IDOINVA,13/06/2023 00:00:00, 	(28-FEB-2025 11:33:36)
