

<<START>>,<<FMS_BUY_DAILY_BUYER_NOM>>,,,,,, 	(06-JUN-2025 11:49:10)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,1, 0, 0,822005, 0,D, 	(06-JUN-2025 11:49:11)
2,154, 0, 0,822028, 0,D, 	(06-JUN-2025 11:49:11)
2,154, 0, 0,822028, 0,D, 	(06-JUN-2025 11:49:11)
2,20, 0, 0,822017, 0,T, 	(06-JUN-2025 11:49:11)
2,20, 0, 0,822017, 0,T, 	(06-JUN-2025 11:49:11)
2,154, 0, 0,822028, 0,D, 	(06-JUN-2025 11:49:11)
2,154, 0, 0,822028, 0,D, 	(06-JUN-2025 11:49:11)
2,43, 0, 0,822002, 4,I, 	(06-JUN-2025 11:49:11)
2,61, 0, 0,822030, 1,I, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,822005, 0,D, 	(06-JUN-2025 11:49:11)
2,20, 0, 0,822017, 0,T, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 11:49:11)
2,20, 0, 0,822017, 0,T, 	(06-JUN-2025 11:49:11)
2,20, 0, 0,822017, 0,T, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,822005, 0,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,822005, 0,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,822005, 0,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,822005, 0,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,822005, 0,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,822005, 0,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,822005, 0,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,822005, 0,D, 	(06-JUN-2025 11:49:11)
2,20, 0, 0,822018, 2,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,822005, 0,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,822005, 0,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,822005, 0,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,822005, 0,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823037, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823037, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,822006, 0,D, 	(06-JUN-2025 11:49:11)
2,20, 0, 0,822018, 2,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 11:49:11)
2,51, 0, 0,822016, 2,I, 	(06-JUN-2025 11:49:11)
2,154, 0, 0,823082, 5,D, 	(06-JUN-2025 11:49:11)
