

<<START>>,<<FMS_COUNTERPARTY_MST>>,, 	(09-APR-2025 19:57:58)
 
CD,ABBR,EFF_DT,TIMESTAMP
255 , SGI-AP,27/06/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , IGX,29/06/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , IGX,30/06/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , IGX,14/07/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , IGX,29/06/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
53 , RGPL,29/06/2022 00:00:00, 	(09-APR-2025 19:57:58)
224 , GTIPL,01/07/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , GSPL-C,12/07/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , GSPL-C,12/07/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
117 , PEPL,13/07/2022 00:00:00, 	(09-APR-2025 19:57:58)
54 , GFCL,14/07/2022 00:00:00, 	(09-APR-2025 19:57:58)
 , DERL,16/08/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
55 , CPL,16/08/2022 00:00:00, 	(09-APR-2025 19:57:58)
56 , IRM,07/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
56 , IRM,24/08/2022 00:00:00, 	(09-APR-2025 19:57:58)
57 , PPL,26/08/2022 00:00:00, 	(09-APR-2025 19:57:58)
58 , YARALTD,06/09/2022 00:00:00, 	(09-APR-2025 19:57:58)
59 , INPEROX,13/09/2022 00:00:00, 	(09-APR-2025 19:57:58)
60 , RAFECHL,28/09/2022 00:00:00, 	(09-APR-2025 19:57:58)
124 , MGRPL,07/10/2022 00:00:00, 	(09-APR-2025 19:57:58)
124 , MGRPL,01/10/2022 00:00:00, 	(09-APR-2025 19:57:58)
208 , CNTENKA,17/10/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
61 , EFSPL,25/10/2022 00:00:00, 	(09-APR-2025 19:57:58)
62 , WELSMEL,16/11/2022 00:00:00, 	(09-APR-2025 19:57:58)
158 , HINDURV,17/11/2022 00:00:00, 	(09-APR-2025 19:57:58)
 , DONOTUSE,21/11/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , DONOTUSE,21/11/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , DONOTUSE,17/11/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
 , DONOTUSE,21/11/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
227 , HCGPUTE,18/11/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
63 , GOAGLSF,25/11/2022 00:00:00, 	(09-APR-2025 19:57:58)
64 , IGSPL,16/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
64 , IGSPL,25/11/2022 00:00:00, 	(09-APR-2025 19:57:58)
 , ELAWPRC,02/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
65 , PEFORCV,08/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
 , AARVKRO,12/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
189 , ACOVIED,12/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
191 , ANTIQAC,15/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
191 , ANTIQAC,12/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
141 , ASIANPL,12/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
194 , AVLCRMC,12/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
195 , AXWELLG,12/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
199 , BEGLASS,12/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
200 , BHRTFRG,12/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
66 , BHEL,12/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
203 , BICELLO,12/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
143 , CAPAROE,12/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
209 , CLVTPVL,12/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
210 , COMFIND,13/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
67 , DCMSHRI,13/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
138 , DEENOVK,13/12/2022 00:00:00, 	(09-APR-2025 19:57:58)
212 , DHARLTD,13/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
213 , DURAVIT,13/12/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
