

<<START>>,<<FMS_TRUCK_DRIVER_LINK>>,,, 	(28-MAY-2025 11:31:18)
 
ENT_PROFILE,TRUCK_CD,DRIVER_CD,EFF_DT,TIMESTAMP,
2,59,121,10/01/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,60,125,12/01/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,22,222,16/01/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,7,126,20/01/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,121,27/01/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,8,208,31/01/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,8,215,31/01/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,10,54,01/02/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,69,03/02/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,18,222,04/02/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,120,10/02/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,16,214,11/02/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,61,127,11/02/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,2,49,12/02/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,116,13/02/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,111,52,14/02/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,8,165,14/02/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,111,165,14/02/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,111,81,15/02/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,111,81,15/02/2022 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,59,121,16/02/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,8,215,17/02/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,8,50,17/02/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,217,17/02/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,120,17/02/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,19,164,19/02/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,121,19/02/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,111,52,20/02/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,11,124,21/02/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,7,208,25/02/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,120,25/02/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,121,26/02/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,109,53,02/03/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,86,166,03/03/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,20,53,03/03/2022 00:00:00, 	(28-MAY-2025 11:31:18)
