

<<START>>,<<FMS_GTA_CONT_MST>>,, 	(28-AUG-2025 10:33:06)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,CONT_NAME,CONT_REF,CUSTOMER_CD,ENT_PT,EXIT_PT,AGMT_TYPE,TIMESTAMP,
2,4 , 1,0,116,0,C,Gail-SEIPL-GTA1-REV0 C116-REV0,1-1-1604-333S1-0-31-0-3,20,4,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,117,0,C,Gail-SEIPL-GTA1-REV0 C117-REV0,1-1-1603-332S1-0-32-0-2,20,3,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,118,0,C,Gail-SEIPL-GTA1-REV0 C118-REV0,1-1-1603-332S1-0-30-2-2,20,3,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,119,0,C,Gail-SEIPL-GTA1-REV0 C119-REV0,1-1-1606-332S1-0-30-0-2,20,6,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,120,0,C,Gail-SEIPL-GTA1-REV0 C120-REV0,1-1-1601-343S1-0-15-0-3,154,1,3,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,121,0,C,Gail-SEIPL-GTA1-REV0 C121-REV0,1-1-1604-261S2-0-19-0-1,15,4,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,122,0,C,Gail-SEIPL-GTA1-REV0 C122-REV0,1-1-1601-83L122-0-1-0-3,5,1,3,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,123,0,C,Gail-SEIPL-GTA1-REV0 C123-REV0,1-1-1601-84L122-0-1-0-4,5,1,4,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,124,0,C,Gail-SEIPL-GTA1-REV0 C124-REV0,1-1-1601-1211L2-0-1-0-1,67,1,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,125,0,C,Gail-SEIPL-GTA1-REV0 C125-REV0,1-1-1601-411L23-0-1-0-1,27,1,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,126,0,C,Gail-SEIPL-GTA1-REV0 C126-REV0,1-1-1601-1201L2-0-1-0-1,107,1,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,127,0,C,Gail-SEIPL-GTA1-REV0 C127-REV0,1-1-1603-392S1-0-8-0-2,25,3,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,128,0,C,Gail-SEIPL-GTA1-REV0 C128-REV0,1-1-1601-83L121-0-1-0-3,5,1,3,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,129,0,C,Gail-SEIPL-GTA1-REV0 C129-REV0,1-1-1601-292L3-0-1-0-2,18,1,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,130,0,C,Gail-SEIPL-GTA1-REV0 C130-REV0,1-1-1601-892L3-0-1-0-2,50,1,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,131,0,C,Gail-SEIPL-GTA1-REV0 C131-REV0,1-1-1601-403L11-0-1-0-3,26,1,3,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,132,0,C,Gail-SEIPL-GTA1-REV0 C132-REV0,1-1-1601-402L10-0-1-0-2,26,1,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,133,0,C,Gail-SEIPL-GTA1-REV0 C133-REV0,1-1-1601-401L10-0-1-0-1,26,1,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,134,0,C,Gail-SEIPL-GTA1-REV0 C134-REV0,1-1-1601-784L6-0-1-0-4,42,1,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,135,0,C,Gail-SEIPL-GTA1-REV0 C135-REV0,1-1-1601-443L8-0-1-0-3,30,1,3,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,136,0,C,Gail-SEIPL-GTA1-REV0 C136-REV0,1-1-1604-782L2-0-1-0-2,42,4,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,137,0,C,Gail-SEIPL-GTA1-REV0 C137-REV0,1-1-1604-782L7-0-1-0-2,42,4,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,138,0,C,Gail-SEIPL-GTA1-REV0 C138-REV0,1-1-1601-782,42,1,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,139,0,C,Gail-SEIPL-GTA1-REV0 C139-REV0,1-1-1604-542S1-0-4-0-2,34,4,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,140,0,C,Gail-SEIPL-GTA1-REV0 C140-REV0,1-1-1601-83L120-0-1-0-3,5,1,3,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,141,0,C,Gail-SEIPL-GTA1-REV0 C141-REV0,1-1-1601-82L114-0-1-0-2,5,1,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,142,0,C,Gail-SEIPL-GTA1-REV0 C142-REV0,1-1-1601-1001S1-0-2-0-1,54,1,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,143,0,C,Gail-SEIPL-GTA1-REV0 C143-REV0,1-1-1604-881S1-0-9-0-1,49,4,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,144,0,C,Gail-SEIPL-GTA1-REV0 C144-REV0,1-1-1601-348S1-0-15-0-8,154,1,8,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,145,0,C,Gail-SEIPL-GTA1-REV0 C145-REV0,1-1-1604-349S1-0-15-0-9,154,4,9,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,146,0,C,Gail-SEIPL-GTA1-REV0 C146-REV0,1-1-1601-81L119-0-1-0-1,5,1,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,147,0,C,Gail-SEIPL-GTA1-REV0 C147-REV0,1-1-1601-83L115-0-1-0-3,5,1,3,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,148,0,C,Gail-SEIPL-GTA1-REV0 C148-REV0,1-1-1601-84L116-0-1-0-4,5,1,4,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,149,0,C,Gail-SEIPL-GTA1-REV0 C149-REV0,1-1-1601-1281L1-0-1-0-1,106,1,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,150,0,C,Gail-SEIPL-GTA1-REV0 C150-REV0,1-1-1601-347,154,1,7,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,151,0,C,Gail-SEIPL-GTA1-REV0 C151-REV0,1-1-1601-81L107-0-1-0-1,5,1,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,152,0,C,Gail-SEIPL-GTA1-REV0 C152-REV0,1-1-1601-82L108-0-1-0-2,5,1,2,G, 	(28-AUG-2025 10:33:07)
