

<<START>>,<<FMS_ENTITY_TAX_STRUCT_DTL>>,,,,,, 	(09-APR-2025 19:49:16)
 
COMPANY_CD,CD,ABBR,ENTITY,PLANT_SEQ_NO,BU_UNIT,EFF_DT,TIMESTAMP
2, , HHFGPL , C , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:16)	 (Not Inserted)
2,187 , VIDUWIL , C , 1 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:16)
2,33 , AGP CGD , C , 2 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,33 , AGP CGD , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,34 , MINDA , C , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,34 , MINDA , C , 2 , 2 , 01/04/2022 00:00:00, 	(09-APR-2025 19:49:16)
2,34 , MINDA , C , 2 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,238 , LEIPL , C , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,35 , SCHOTT , C , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,36 , HIL , C , 3 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,36 , HIL , C , 4 , 2 , 01/04/2022 00:00:00, 	(09-APR-2025 19:49:16)
2,36 , HIL , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,36 , HIL , C , 2 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:16)
2,37 , HCGD-B , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,198 , BIPL , C , 2 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,198 , BIPL , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,220 , EXXARO , C , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,38 , KAJARIA , C , 2 , 2 , 01/04/2022 00:00:00, 	(09-APR-2025 19:49:16)
2,38 , KAJARIA , C , 1 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:16)
2,39 , SISECAM , C , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,39 , SISECAM , C , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:16)	 (Not Inserted)
2,40 , ATPL , C , 1 , 1 , 01/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,40 , ATPL , C , 2 , 2 , 01/06/2021 00:00:00, 	(09-APR-2025 19:49:16)
2,41 , OPAL , C , 1 , 2 , 28/07/2021 00:00:00, 	(09-APR-2025 19:49:16)
2,41 , OPAL , C , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,41 , OPAL , C , 1 , 1 , 01/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,234 , JKPAPER , C , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,263 , STL , C , 1 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:16)
2,206 , CELLO , C , 1 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:16)
2,42 , RCF , C , 2 , 1 , 01/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,42 , RCF , C , 2 , 2 , 01/06/2021 00:00:00, 	(09-APR-2025 19:49:16)
2,42 , RCF , C , 1 , 2 , 01/06/2021 00:00:00, 	(09-APR-2025 19:49:16)
2,42 , RCF , C , 2 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:16)
2,42 , RCF , C , 1 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:16)
2,201 , BWRL , C , 1 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:16)
2,276 , VIRGO , C , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,223 , GIPSKARTON , C , 1 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:16)
2,46 , TGLPL , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,46 , TGLPL , C , 2 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,47 , TGBPL , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,47 , TGBPL , C , 2 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,48 , BGEPL , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,231 , IMCL , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,49 , VVF India , C , 1 , 2 , 01/06/2021 00:00:00, 	(09-APR-2025 19:49:16)
2,50 , GNFC , C , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,50 , GNFC , C , 2 , 1 , 01/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,50 , GNFC , C , 2 , 2 , 01/04/2022 00:00:00, 	(09-APR-2025 19:49:16)
2,140 , MEGHHQX , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,52 , GLIL , C , 4 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,52 , GLIL , C , 7 , 2 , 01/04/2022 00:00:00, 	(09-APR-2025 19:49:16)
2,52 , GLIL , C , 6 , 2 , 01/04/2022 00:00:00, 	(09-APR-2025 19:49:16)
2,52 , GLIL , C , 5 , 2 , 01/04/2022 00:00:00, 	(09-APR-2025 19:49:16)
2,52 , GLIL , C , 2 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:16)
2,52 , GLIL , C , 3 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:16)
2,52 , GLIL , C , 1 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:16)
2,255 , SGI-AP , C , 1 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:16)
2,117 , PEPL , C , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
