

<<START>>,<<FMS_TRADER_CN_MST>>,,,,, 	(03-JUL-2025 15:48:01)
 
COMPANY_CD,CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_TYPE,CONT_NO,CONT_REV,CARGO_REF(Mandate Conform no),TIMESTAMP
2, 256:SITME,  M , 1,  0 , N, 720027, 0,20016, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 720028, 0,20017, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 720029, 0,20018, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 720030, 0,20019, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 721006, 0,20022, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 721007, 0,21002, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 721008, 0,21003, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 721009, 0,21004, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 721010, 0,21007, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 721011, 0,21009, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 721012, 0,21010, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 721013, 0,21013, 	(03-JUL-2025 15:48:02)
2, 0:DT,  M , ,  0 , N, 710111, 0,7030, 	(03-JUL-2025 15:48:02)	 (Not Inserted)
2, 0:DT,  M , ,  0 , N, 710111, 0,7031, 	(03-JUL-2025 15:48:02)	 (Not Inserted)
2, 0:DT,  M , ,  0 , N, 710111, 0,8031, 	(03-JUL-2025 15:48:02)	 (Not Inserted)
2, 0:DT,  M , ,  0 , N, 710111, 0,9027, 	(03-JUL-2025 15:48:02)	 (Not Inserted)
2, 0:DT,  M , ,  0 , N, 711011, 0,10010, 	(03-JUL-2025 15:48:02)	 (Not Inserted)
2, 268:ThirdParty,  M , ,  0 , N, 720031, 0,20004, 	(03-JUL-2025 15:48:02)	 (Not Inserted)
2, 268:ThirdParty,  M , ,  0 , N, 720031, 0,20009, 	(03-JUL-2025 15:48:02)	 (Not Inserted)
2, 268:ThirdParty,  M , ,  0 , N, 721014, 0,20020, 	(03-JUL-2025 15:48:02)	 (Not Inserted)
2, 268:ThirdParty,  M , ,  0 , N, 721014, 0,20021, 	(03-JUL-2025 15:48:02)	 (Not Inserted)
2, 268:ThirdParty,  M , ,  0 , N, 721014, 0,21005, 	(03-JUL-2025 15:48:02)	 (Not Inserted)
2, 152:GUNSPL,  M , 1,  0 , N, 721014, 0,21001, 	(03-JUL-2025 15:48:02)
2, 152:GUNSPL,  M , 1,  0 , N, 721015, 0,21015, 	(03-JUL-2025 15:48:02)
2, 1:RIL,  M , ,  0 , N, 721016, 0,21006, 	(03-JUL-2025 15:48:02)	 (Not Inserted)
2, 20:AMNS,  M , ,  0 , N, 721016, 0,21012, 	(03-JUL-2025 15:48:02)	 (Not Inserted)
2, 20:AMNS,  M , ,  0 , N, 721016, 0,21024, 	(03-JUL-2025 15:48:02)	 (Not Inserted)
2, 20:AMNS,  M , ,  0 , N, 721016, 0,21025, 	(03-JUL-2025 15:48:02)	 (Not Inserted)
2, 110:SITMEFZ,  M , 1,  0 , N, 723001, 0,23007, 	(03-JUL-2025 15:48:02)
2, 110:SITMEFZ,  M , 1,  0 , N, 723002, 0,23010, 	(03-JUL-2025 15:48:02)
2, 110:SITMEFZ,  M , 1,  0 , N, 723003, 0,23011, 	(03-JUL-2025 15:48:02)
2, 110:SITMEFZ,  M , 1,  0 , N, 723004, 0,23014, 	(03-JUL-2025 15:48:02)
2, 110:SITMEFZ,  M , 1,  0 , N, 723005, 0,23022, 	(03-JUL-2025 15:48:02)
2, 110:SITMEFZ,  M , 1,  0 , N, 723006, 0,23023, 	(03-JUL-2025 15:48:02)
2, 110:SITMEFZ,  M , 1,  0 , N, 723007, 0,23026, 	(03-JUL-2025 15:48:02)
2, 110:SITMEFZ,  M , 1,  0 , N, 723008, 0,23032, 	(03-JUL-2025 15:48:02)
2, 110:SITMEFZ,  M , 1,  0 , N, 723009, 0,23037, 	(03-JUL-2025 15:48:02)
2, 110:SITMEFZ,  M , 1,  0 , N, 724001, 0,24002, 	(03-JUL-2025 15:48:02)
2, 110:SITMEFZ,  M , 1,  0 , N, 724002, 0,24004, 	(03-JUL-2025 15:48:02)
2, 110:SITMEFZ,  M , 1,  0 , N, 724003, 0,24008, 	(03-JUL-2025 15:48:02)
2, 110:SITMEFZ,  M , 1,  0 , N, 724004, 0,24009, 	(03-JUL-2025 15:48:02)
2, 110:SITMEFZ,  M , 1,  0 , N, 724005, 0,24013, 	(03-JUL-2025 15:48:02)
2, 110:SITMEFZ,  M , 1,  0 , N, 725001, 0,25001, 	(03-JUL-2025 15:48:02)
2, 110:SITMEFZ,  M , 1,  0 , N, 725002, 0,25003, 	(03-JUL-2025 15:48:02)

TOTAL DATA IN EXCEL : 231 	(03-JUL-2025 15:48:02)
 

TOTAL DATA INSERTED : 212 	(03-JUL-2025 15:48:02)
 

TOTAL SKIPPED DATA 19 	(03-JUL-2025 15:48:02)
 
<<END>><<FMS_TRADER_CN_MST>> 	(03-JUL-2025 15:48:02)
 

<<START>>,<<FMS_TRADER_CONT_PLANT1>>, 	(03-JUL-2025 15:48:02)
 
COMPANY_CD,COUNTERPARTY_CD,, 	(03-JUL-2025 15:48:02)
 

TOTAL DATA IN EXCEL : ,0, 	(03-JUL-2025 15:48:02)
 

TOTAL DATA INSERTED : ,212, 	(03-JUL-2025 15:48:02)
 

TOTAL SKIPPED DATA ,0, 	(03-JUL-2025 15:48:02)
 
<<END>>,<<FMS_TRADER_CONT_PLANT1>>,,,, 	(03-JUL-2025 15:48:02)
 

<<START>>,<<FMS_TRADER_CONT_BU1>>, 	(03-JUL-2025 15:48:02)
 
COMPANY_CD,COUNTERPARTY_CD,, 	(03-JUL-2025 15:48:02)
 

TOTAL DATA IN EXCEL : ,0, 	(03-JUL-2025 15:48:02)
 

TOTAL DATA INSERTED : ,212, 	(03-JUL-2025 15:48:02)
 

TOTAL SKIPPED DATA ,0, 	(03-JUL-2025 15:48:02)
 
<<END>>,<<FMS_TRADER_CONT_BU1>>, 	(03-JUL-2025 15:48:02)
 

<<START>>,<<FMS_TRADER_CARGO_MST>> 	(03-JUL-2025 15:48:22)
 
COMPANY_CD,CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_TYPE,CONT_NO,CONT_REV,CARGO_NO,CARGO_REF_NO,TIMESTAMP
