

<<START>>,<<FMS_ENTITY_CONTACT_MST>>,,,,,, 	(01-MAR-2025 14:47:35)
 
COMPANY_CD,CD,ABBR,ENTITY,SEQ_NO,EFF_DT,ADDR_FLAG,TIMESTAMP
2,5 , NTPC , C , 17 , 30/01/2024 00:00:00 , P6, 	(01-MAR-2025 14:47:38)
2,5 , NTPC , C , 18 , 31/01/2024 00:00:00 , P5, 	(01-MAR-2025 14:47:38)
2,5 , NTPC , C , 19 , 21/04/2010 00:00:00 , 0, 	(01-MAR-2025 14:47:38)
2,6 , KRIBHCO , C , 1 , 01/01/2022 00:00:00 , P1, 	(01-MAR-2025 14:47:38)
2,6 , KRIBHCO , C , 2 , 05/12/2007 00:00:00 , R, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,6 , KRIBHCO , C , 3 , 05/12/2007 00:00:00 , P1, 	(01-MAR-2025 14:47:38)
2,6 , KRIBHCO , C , 4 , 05/12/2007 00:00:00 , P1, 	(01-MAR-2025 14:47:38)
2,6 , KRIBHCO , C , 5 , 05/12/2007 00:00:00 , P1, 	(01-MAR-2025 14:47:38)
2,6 , KRIBHCO , C , 6 , 01/01/2020 00:00:00 , B, 	(01-MAR-2025 14:47:38)
2,6 , KRIBHCO , C , 7 , 01/01/2022 00:00:00 , P1, 	(01-MAR-2025 14:47:38)
2,6 , KRIBHCO , C , 8 , 01/01/2022 00:00:00 , P1, 	(01-MAR-2025 14:47:38)
2,6 , KRIBHCO , C , 9 , 05/12/2007 00:00:00 , P1, 	(01-MAR-2025 14:47:38)
2,6 , KRIBHCO , C , 10 , 05/12/2007 00:00:00 , R, 	(01-MAR-2025 14:47:38)
2,6 , KRIBHCO , C , 11 , 05/12/2007 00:00:00 , B, 	(01-MAR-2025 14:47:38)
2,6 , KRIBHCO , C , 12 , 05/12/2007 00:00:00 , R, 	(01-MAR-2025 14:47:38)
2,7 , DFPCL , C , 1 , 03/12/2007 00:00:00 , B, 	(01-MAR-2025 14:47:38)
2,7 , DFPCL , C , 2 , 03/12/2007 00:00:00 , B, 	(01-MAR-2025 14:47:38)
2,7 , DFPCL , C , 3 , 03/12/2007 00:00:00 , B, 	(01-MAR-2025 14:47:38)
2,7 , DFPCL , C , 4 , 20/04/2022 00:00:00 , B, 	(01-MAR-2025 14:47:38)
2,7 , DFPCL , C , 5 , 03/12/2007 00:00:00 , B, 	(01-MAR-2025 14:47:38)
2,8 , AIGL , C , 1 , 22/07/2009 00:00:00 , B, 	(01-MAR-2025 14:47:38)
2,8 , AIGL , C , 2 , 22/07/2009 00:00:00 , B, 	(01-MAR-2025 14:47:38)
2, , KSFL , C , 1 , 20/12/2007 00:00:00 , 0, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,242 , MAHAGENCO , C , 1 , 16/04/2008 00:00:00 , 0, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,249 , NPL , C , 1 , 28/02/2008 00:00:00 , 0, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,249 , NPL , C , 2 , 28/02/2008 00:00:00 , 0, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,9 , SIGIL , C , 1 , 01/04/2009 00:00:00 , B, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,9 , SIGIL , C , 2 , 01/04/2009 00:00:00 , B, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,9 , SIGIL , C , 3 , 01/04/2009 00:00:00 , B, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,9 , SIGIL , C , 4 , 20/06/2013 00:00:00 , B, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,10 , GGCL , C , 1 , 25/07/2012 00:00:00 , R, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,11 , TPL , C , 1 , 01/09/2023 00:00:00 , P1, 	(01-MAR-2025 14:47:38)
2,11 , TPL , C , 2 , 20/12/2018 00:00:00 , P1, 	(01-MAR-2025 14:47:38)
2,11 , TPL , C , 3 , 20/12/2018 00:00:00 , P1, 	(01-MAR-2025 14:47:38)
2,11 , TPL , C , 4 , 01/09/2023 00:00:00 , P1, 	(01-MAR-2025 14:47:38)
2,11 , TPL , C , 5 , 04/08/2012 00:00:00 , P1, 	(01-MAR-2025 14:47:38)
2,11 , TPL , C , 6 , 01/09/2023 00:00:00 , P1, 	(01-MAR-2025 14:47:38)
2,280 , WMSL , C , 1 , 31/05/2011 00:00:00 , C, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,280 , WMSL , C , 2 , 31/05/2011 00:00:00 , C, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,12 , MNGL , C , 1 , 20/06/2013 00:00:00 , C, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,12 , MNGL , C , 2 , 20/06/2013 00:00:00 , C, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,13 , IGL , C , 1 , 01/12/2024 00:00:00 , P1, 	(01-MAR-2025 14:47:38)
2,13 , IGL , C , 2 , 12/09/2022 00:00:00 , P1, 	(01-MAR-2025 14:47:38)
2,13 , IGL , C , 3 , 12/09/2022 00:00:00 , P1, 	(01-MAR-2025 14:47:38)
2,13 , IGL , C , 4 , 12/09/2022 00:00:00 , P1, 	(01-MAR-2025 14:47:38)
2,13 , IGL , C , 5 , 12/09/2022 00:00:00 , P1, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,13 , IGL , C , 6 , 20/01/2021 00:00:00 , C, 	(01-MAR-2025 14:47:38)
2,13 , IGL , C , 7 , 12/09/2022 00:00:00 , P1, 	(01-MAR-2025 14:47:38)
2,13 , IGL , C , 8 , 01/01/2020 00:00:00 , C, 	(01-MAR-2025 14:47:38)
2,14 , BPCL , C , 1 , 09/06/2022 00:00:00 , R, 	(01-MAR-2025 14:47:38)
2,14 , BPCL , C , 2 , 28/02/2024 00:00:00 , P2, 	(01-MAR-2025 14:47:38)
2,14 , BPCL , C , 3 , 09/06/2022 00:00:00 , R, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,14 , BPCL , C , 4 , 15/07/2022 00:00:00 , P4, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,14 , BPCL , C , 5 , 15/07/2022 00:00:00 , R, 	(01-MAR-2025 14:47:38)
2,14 , BPCL , C , 6 , 28/02/2024 00:00:00 , P2, 	(01-MAR-2025 14:47:38)
2,269 , TEL , C , 1 , 06/08/2014 00:00:00 , C, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,269 , TEL , C , 2 , 06/08/2014 00:00:00 , C, 	(01-MAR-2025 14:47:38)
2,269 , TEL , C , 3 , 06/08/2014 00:00:00 , R, 	(01-MAR-2025 14:47:38)
2,269 , TEL , C , 4 , 06/08/2014 00:00:00 , C, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,269 , TEL , C , 5 , 06/08/2014 00:00:00 , C, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,15 , HPCL , C , 1 , 01/12/2023 00:00:00 , P2, 	(01-MAR-2025 14:47:38)
2,15 , HPCL , C , 2 , 16/07/2023 00:00:00 , P5, 	(01-MAR-2025 14:47:38)
2,15 , HPCL , C , 3 , 20/07/2021 00:00:00 , P3, 	(01-MAR-2025 14:47:38)
2,15 , HPCL , C , 4 , 01/06/2024 00:00:00 , P1, 	(01-MAR-2025 14:47:38)
2,15 , HPCL , C , 5 , 01/06/2024 00:00:00 , P1, 	(01-MAR-2025 14:47:38)
2,15 , HPCL , C , 6 , 17/11/2010 00:00:00 , B, 	(01-MAR-2025 14:47:38)
2,15 , HPCL , C , 7 , 16/07/2023 00:00:00 , B, 	(01-MAR-2025 14:47:38)
2,15 , HPCL , C , 8 , 20/07/2021 00:00:00 , P1, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,15 , HPCL , C , 9 , 01/06/2024 00:00:00 , P1, 	(01-MAR-2025 14:47:38)
2,15 , HPCL , C , 10 , 20/07/2021 00:00:00 , P1, 	(01-MAR-2025 14:47:38)
2,15 , HPCL , C , 11 , 17/11/2010 00:00:00 , P3, 	(01-MAR-2025 14:47:38)
2,15 , HPCL , C , 12 , 17/11/2010 00:00:00 , P2, 	(01-MAR-2025 14:47:38)
