

<<START>>,<<FMS_EXCHG_RATE_ENTRY>>,, 	(18-FEB-2025 10:26:50)
 
CD,NAME,EFF_DT,TIMESTAMP
14 ,SBI RATE BUY SELL , 17/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 18/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 18/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 18/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 19/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 19/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 19/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 20/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 20/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 20/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 24/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 24/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 24/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 25/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 25/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 25/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 26/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 26/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 26/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 27/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 27/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 27/02/2009 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 02/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 02/03/2009 00:00:00, 	(18-FEB-2025 10:26:52)
