

<<START>>,<<FMS_TRUCK_TRANSPORTER_LINK>>,,, 	(23-MAY-2025 12:11:10)
 
ENT_PROFILE,TRUCK_TRANS_CD,TRUCK_CD,EFF_DT,TIMESTAMP,
2,12,59,02/06/2022 00:00:00, 	(23-MAY-2025 12:11:11)	 (Not Inserted)
2,12,58,06/06/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,06/06/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,11,86,07/06/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,07/06/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,07/06/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,10,08/06/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,11,86,08/06/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,08/06/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,11,86,09/06/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,12/06/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,12/06/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,15/06/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,11,25,16/06/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,11,25,17/06/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,18/06/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,18/06/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,19/06/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,19/06/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,20/06/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,20/06/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,13,88,23/06/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,24/06/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,24/06/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,24/06/2022 00:00:00, 	(23-MAY-2025 12:11:11)	 (Not Inserted)
2,12,59,25/06/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,26/06/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,28/06/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,10,59,30/06/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,05/07/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,06/07/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,06/07/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,08/07/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,12/07/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,12/07/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,16/07/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,17/07/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,19/07/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,22/07/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,22/07/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,28/07/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,02/08/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,03/08/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,05/08/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,06/08/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,07/08/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,08/08/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,08/08/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,08/08/2022 00:00:00, 	(23-MAY-2025 12:11:11)	 (Not Inserted)
2,12,58,09/08/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,11/08/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,12/08/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,12/08/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,12/08/2022 00:00:00, 	(23-MAY-2025 12:11:11)	 (Not Inserted)
2,12,59,14/08/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,17/08/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,20/08/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,23/08/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,24/08/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,24/08/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,26/08/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,30/08/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,30/08/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,02/09/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,02/09/2022 00:00:00, 	(23-MAY-2025 12:11:11)	 (Not Inserted)
2,8,23,03/09/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,8,52,03/09/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,04/09/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,06/09/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,07/09/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,07/09/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,63,08/09/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,09/09/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,09/09/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,87,11/09/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,12/09/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,13/09/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,63,13/09/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,87,14/09/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,63,14/09/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,63,15/09/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,15/09/2022 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,15/09/2022 00:00:00, 	(23-MAY-2025 12:11:11)	 (Not Inserted)
