

<<START>>,<<FMS_SUPPLY_CONT_TRANSPTR>>,,,,,,,, 	(04-JUN-2025 15:54:00)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_NO, AGMT_REV, CONT_NO, CONT_REV, CONTRACT_TYPE, TRANSPORTER_CD, PLANT_SEQ_NO,TIMESTAMP,
2,13,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,13,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,13,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,13,,,,,,4,3, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,13,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,13,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,13,,,,,,4,3, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,13,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,13,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,13,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,13,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,13,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,14,,,,,,29,5, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,14,,,,,,29,5, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,14,,,,,,4,4, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,14,,,,,,29,5, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,14,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,14,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,14,,,,,,29,5, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,15,2,0,18,0,,45,1, 	(04-JUN-2025 15:54:00)
2,15,2,0,21,1,,4,4, 	(04-JUN-2025 15:54:00)
2,15,2,0,21,0,,4,4, 	(04-JUN-2025 15:54:00)
2,15,2,0,24,0,,4,4, 	(04-JUN-2025 15:54:00)
2,15,2,0,25,0,,4,1, 	(04-JUN-2025 15:54:00)
2,15,2,0,19,0,,4,4, 	(04-JUN-2025 15:54:00)
2,15,2,0,26,0,,29,1, 	(04-JUN-2025 15:54:00)
2,15,2,0,18,0,,4,1, 	(04-JUN-2025 15:54:00)
2,15,2,0,26,0,,45,2, 	(04-JUN-2025 15:54:00)
2,15,2,0,18,0,,4,6, 	(04-JUN-2025 15:54:00)
2,15,2,0,20,0,,4,4, 	(04-JUN-2025 15:54:00)
2,15,2,0,26,0,,4,1, 	(04-JUN-2025 15:54:00)
2,15,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,15,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,15,,,,,,4,4, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,15,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,15,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,15,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,15,,,,,,4,4, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,15,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,15,,,,,,4,4, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,15,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,15,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,18,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,18,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,18,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,18,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,18,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,18,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,18,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,19,1,0,1,0,,4,1, 	(04-JUN-2025 15:54:00)
2,19,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,20,1,0,30,4,,45,1, 	(04-JUN-2025 15:54:00)
2,20,1,0,34,1,,4,4, 	(04-JUN-2025 15:54:00)
2,20,1,0,30,2,,4,6, 	(04-JUN-2025 15:54:00)
2,20,1,0,26,1,,4,4, 	(04-JUN-2025 15:54:00)
2,20,1,0,29,4,,4,3, 	(04-JUN-2025 15:54:00)
2,20,1,0,30,3,,4,3, 	(04-JUN-2025 15:54:00)
2,20,1,0,30,1,,4,3, 	(04-JUN-2025 15:54:00)
2,20,1,0,30,0,,4,6, 	(04-JUN-2025 15:54:00)
