

<<START>>,<<FMS_SECURITY_MST(P)>>,,,, 	(28-MAY-2025 11:29:45)
 
COMPANY_CD,CD,SEQ_NO,SEQ_REV_NO,GX,TIMESTAMP
2,null ,47 ,, ,CAIRENH-1-1-D-23017-1,CAIRENH -S-1, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,48 ,, ,ONGC-1-1-D-23018-0,ONGC-S-7, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,20 ,49, 0 ,K,AMNS-8-1-T-24001-1,AMNS-S-36, 	(28-MAY-2025 11:29:45)
2,null ,50 ,, ,SITMEFZ-8-1-N-23015-1,SITMEFZ-S-4, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,51 ,, ,SEMTPL-10-1-D-23021-1,SEMTIPL-S-28, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,52 ,, ,SEMTPL-10-1-D-23021-1,SEMTIPL-S-29, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,53 ,, ,SITMEFZ-10-1-N-23025-1,SITMEFZ-S-6, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,54 ,, ,ESSAREX-1-1-T-23027-5,ESSAREX-S-1, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,55 ,, ,RIL-4-1-D-23038-4,RIL-D6-S-5, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,56 ,, ,SITMEFZ-4-1-N-23024-4,SITMEFZ-S-5, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,57 ,, ,ESSAREX-1-1-T-23033-5,ESSAREX-S-3, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,58 ,, ,SITMEFZ-1-1-N-23034-5,SITMEFZ-S-8, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,59 ,, ,SEMTPL-12-1-D-23036-0,SEMTIPL-S-32, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,60 ,, ,IGSPL-1-1-D-23030-2,IGSPL-S-1, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,20 ,61, 0 ,K,AMNS-6-1-T-23031-0,AMNS-S-27, 	(28-MAY-2025 11:29:45)
2,20 ,62, 0 ,K,AMNS-5-1-T-23032-0,AMNS-S-28, 	(28-MAY-2025 11:29:45)
2,20 ,63, 0 ,K,AMNS-8-1-T-24001-1,AMNS-S-37, 	(28-MAY-2025 11:29:45)
2,20 ,64, 0 ,K,AMNS-8-1-T-24001-1,AMNS-S-39, 	(28-MAY-2025 11:29:45)
2,20 ,65, 0 ,K,AMNS-8-1-T-24001-1,AMNS-S-40, 	(28-MAY-2025 11:29:45)
2,null ,66 ,, ,RIL-3-1-D-23019-13,RIL-D6-S-3, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,67 ,, ,RIL-3-2-D-23020-13,RIL-D6-S-4, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,68 ,, ,SITMEFZ-3-1-N-23028-13,SITMEFZ-S-7, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,69 ,, ,SITMEFZ-3-1-N-24002-13,SITMEFZ-S-10, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
