

<<START>>,<<FMS_COUNTERPARTY_MST_Update_IGX>>,, 	(24-JUN-2025 16:45:16)
 
CD,ABBR,IGX,TIMESTAMP
94 , PRISM,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
252 , QUCELTD,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
253 , RAMALIM,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , RANDSIN,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
139 , SASANPO,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
95 , SENTOVI,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
96 , SHOLAGA,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
97 , SHREELI,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
258 , SIVPLTD,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
259 , SIYARAM,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
260 , SIYALIM,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
261 , SOLIMIC,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
262 , SPARVIT,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
98 , SRAVANT,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
142 , SGIPLTD,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
266 , TAURLES,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
267 , TTRPKPR,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
99 , THERLIM,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
100 , THGBGPL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
145 , THYESTP,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
101 , TORRAUI,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
274 , VARGRAN,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
275 , VENIRAM,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
102 , VITOLAPL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
103 , IOCL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
169 , INGASTD,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
104 , TASTELI,Y, 	(24-JUN-2025 16:45:16)
105 , HMEL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
211 , DIL,Y, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
162 , BOROREN,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
151 , KINGASP,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
163 , CEUPGAS,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
173 , KNPFCHL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
106 , RATNAGI,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
180 , RAJRAIR,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
107 , IDOINVA,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
107 , IDOINVA,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
107 , IDOINVA,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , TRILEGL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
190 , AGPCGIN,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
176 , NESTLIN,Y, 	(24-JUN-2025 16:45:16)
110 , SITMEFZ,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
188 , VISHPRI,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , NEETMAN,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
185 , SOMANYL,Y, 	(24-JUN-2025 16:45:16)
202 , BHOGATD,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
186 , VEDALTD,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
277 , VIGASLD,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
167 , GOLDPFG,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
165 , EICLLTD,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
159 , CAIRENH,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
168 , GSIGLIM,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
168 , GSIGLIM,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
168 , GSIGLIM,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
120 , KSHITIJ,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
122 , GAILGAS,Y, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
182 , SUDSOME,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
174 , KUTCHCL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , PIINDUS,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
278 , SEMTEXP,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
108 , GRINDUS,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
161 , ATCATMO,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , POSCO MAHA,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
181 , SANENER,Y, 	(24-JUN-2025 16:45:16)
183 , SUMGLAS,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
184 , SVTPLIN,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
112 , SPSSETL1,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
170 , INPOWGL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
179 , PRPWCRP,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
113 , SIETCO,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
171 , INVPTRO,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
172 , JINDAST,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
123 , AVGL,Y, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , MIZGURB,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
121 , NGPL,Y, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
115 , SILS,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
114 , STASCO,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
119 , ROCKIND,Y, 	(24-JUN-2025 16:45:16)
177 , NIRMARM,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
175 , MEDCIGA,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
118 , LANCOKO,Y, 	(24-JUN-2025 16:45:16)
130 , CRMNDEL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
