

<<START>>,<<FMS_TRADER_CN_MST>>,,,, 	(27-FEB-2025 14:33:10)
 
<CD> <AGMT_NO> <CONT_NO> <CONT_NAME> <CONT_REF_NO> 	<TIMESTAMP>
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 15001 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 16001 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 17001 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 19001 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 19002 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 19003 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 19004 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 19005 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 19006 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 19007 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 19008 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 19009 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 19010 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 19011 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 19012 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 19013 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 19014 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 19015 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 19016 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 19017 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 19018 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 19020 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 19019 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 19021 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 19022 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 19023 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 19024 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 19025 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 19026 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 20001 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 20002 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 20003 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 20005 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 20007 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 20010 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 20011 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 20012 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 20013 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 22004 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 22006 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 22007 	(27-FEB-2025 14:33:11)	 (Not Inserted)
