

<<START>>,<<FMS_SECTOR_MST>>, 	(06-MAR-2025 17:36:40)
 
ABBR,,TIMESTAMP
INDU EXPLOSIVE,, 	(06-MAR-2025 17:36:42)
CALCINATION PLANTS,, 	(06-MAR-2025 17:36:42)
SOAPS ETC,, 	(06-MAR-2025 17:36:42)
MISC CHEM INDU,, 	(06-MAR-2025 17:36:42)
CEMENT/BUILD MAT,, 	(06-MAR-2025 17:36:42)
BITUMEN/BUILD.MAT,, 	(06-MAR-2025 17:36:42)
CIVIL MISCELLANEOUS,, 	(06-MAR-2025 17:36:42)
CITY OR LOCAL NATURAL GAS DISTRIBUTION,, 	(06-MAR-2025 17:36:42)
LDC,, 	(06-MAR-2025 17:36:42)

TOTAL DATA IN EXCEL : ,97, 	(06-MAR-2025 17:36:42)
 

TOTAL DATA INSERTED : ,96, 	(06-MAR-2025 17:36:42)
 

TOTAL SKIPPED DATA ,0, 	(06-MAR-2025 17:36:42)
 
<<END>>,<<FMS_SECTOR_DTL>>, 	(06-MAR-2025 17:36:42)
 
