

<<START>>,<<FMS_ENTITY_CONTACT_MST>>,,,,,, 	(17-FEB-2025 13:13:57)
 
COMPANY_CD,CD,ABBR,ENTITY,SEQ_NO,EFF_DT,ADDR_FLAG,TIMESTAMP
2 ,6 , RIL , C , 3 , 26/09/2013 00:00:00 , P10, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 3 , 28/02/2017 00:00:00 , P11, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 3 , 28/02/2017 00:00:00 , P11, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 3 , 28/02/2017 00:00:00 , P12, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 3 , 28/02/2017 00:00:00 , P12, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 3 , 01/07/2017 00:00:00 , P13, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 3 , 01/07/2017 00:00:00 , P13, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 3 , 01/07/2017 00:00:00 , P14, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 3 , 01/07/2017 00:00:00 , P14, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 3 , 31/01/2018 00:00:00 , P7, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 3 , 31/01/2018 00:00:00 , P7, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 3 , 01/06/2021 00:00:00 , P16, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 3 , 01/06/2021 00:00:00 , P16, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 3 , 01/06/2021 00:00:00 , P17, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 3 , 01/06/2021 00:00:00 , P17, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 3 , 01/07/2021 00:00:00 , P5, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 3 , 01/07/2021 00:00:00 , P5, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 3 , 01/07/2021 00:00:00 , P5, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 3 , 01/07/2021 00:00:00 , P5, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 3 , 01/07/2021 00:00:00 , P5, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 3 , 01/07/2021 00:00:00 , P5, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 3 , 01/07/2021 00:00:00 , P5, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 3 , 01/07/2021 00:00:00 , P5, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 62 , 01/01/2020 00:00:00 , P9, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 62 , 01/01/2020 00:00:00 , P9, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 62 , 01/01/2020 00:00:00 , P9, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 62 , 01/01/2020 00:00:00 , P9, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 62 , 01/01/2020 00:00:00 , P9, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 62 , 01/01/2020 00:00:00 , P9, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 62 , 01/01/2020 00:00:00 , P9, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 62 , 01/01/2020 00:00:00 , P9, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 51 , 31/01/2018 00:00:00 , P2, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 51 , 31/01/2018 00:00:00 , P2, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 51 , 01/01/2020 00:00:00 , P2, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 51 , 01/01/2020 00:00:00 , P2, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 47 , 31/01/2018 00:00:00 , B, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 47 , 31/01/2018 00:00:00 , B, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 47 , 31/01/2018 00:00:00 , B, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 47 , 31/01/2018 00:00:00 , B, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 47 , 31/01/2018 00:00:00 , B, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 47 , 31/01/2018 00:00:00 , B, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 47 , 31/01/2018 00:00:00 , B, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 47 , 31/01/2018 00:00:00 , B, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 56 , 31/01/2018 00:00:00 , B, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 56 , 31/01/2018 00:00:00 , B, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 56 , 31/01/2018 00:00:00 , B, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 56 , 31/01/2018 00:00:00 , B, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
