

<<START>>,<<FMS_PUR_SG_INV_MST>>,,,,,,,,,,,,,,,,,, 	(03-MAY-2025 17:04:27)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_NO, AGMT_REV, CONT_NO, CONT_REV, CONTRACT_TYPE, PLANT_SEQ, BU_UNIT, FREQ, PERIOD_START_DT, PERIOD_END_DT, INVOICE_SEQ, FINANCIAL_YEAR, INV_FLAG,CONTACT_PERSON_CD,BU_CONTACT_PERSON_CD,INVOICE_NO,SALE_PRICE,TIMESTAMP
2,270, 1, 0, 725012,0, N, 1, 1,10,30/01/2008 00:00:00, 30/01/2008 00:00:00, 8, 2007-2008,F,0,0,T0014067,16.75, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725024,0, N, 1, 1,10,01/03/2009 00:00:00, 01/03/2009 00:00:00, 1, 2008-2009,P,0,0,T0017320,5.65, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725024,0, N, 1, 1,10,01/03/2009 00:00:00, 01/03/2009 00:00:00, 1, 2008-2009,PF,0,0,T0017320,5.65, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725024,0, N, 1, 1,10,01/03/2009 00:00:00, 01/03/2009 00:00:00, 1, 2008-2009,F,0,0,T0017326,5.65, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725024,0, N, 1, 1,10,01/03/2009 00:00:00, 01/03/2009 00:00:00, 1, 2008-2009,CP,0,0,T0017320,5.65, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725024,0, N, 1, 1,10,01/03/2009 00:00:00, 01/03/2009 00:00:00, 1, 2008-2009,CF,0,0,T0017326,5.65, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725025,0, N, 1, 1,10,11/03/2009 00:00:00, 11/03/2009 00:00:00, 2, 2008-2009,P,0,0,T0017398,4.3, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725025,0, N, 1, 1,10,11/03/2009 00:00:00, 11/03/2009 00:00:00, 2, 2008-2009,PF,0,0,T0017398,4.3, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725025,0, N, 1, 1,10,11/03/2009 00:00:00, 11/03/2009 00:00:00, 2, 2008-2009,F,0,0,T0017538,4.3, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725025,0, N, 1, 1,10,11/03/2009 00:00:00, 11/03/2009 00:00:00, 2, 2008-2009,CP,0,0,T0017398,4.3, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725022,0, N, 1, 1,10,12/09/2008 00:00:00, 12/09/2008 00:00:00, 3, 2008-2009,P,0,0,T0015816,20.5, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725022,0, N, 1, 1,10,12/09/2008 00:00:00, 12/09/2008 00:00:00, 3, 2008-2009,PF,0,0,T0015816,20.5, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725022,0, N, 1, 1,10,12/09/2008 00:00:00, 12/09/2008 00:00:00, 3, 2008-2009,F,0,0,T0016017,20.5, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725022,0, N, 1, 1,10,12/09/2008 00:00:00, 12/09/2008 00:00:00, 3, 2008-2009,CP,0,0,T0015816,20.5, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725022,0, N, 1, 1,10,12/09/2008 00:00:00, 12/09/2008 00:00:00, 2, 2008-2009,CF,0,0,T0016017,20.5, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725019,0, N, 1, 1,10,13/07/2008 00:00:00, 13/07/2008 00:00:00, 4, 2008-2009,P,0,0,T0015530,19.55, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725019,0, N, 1, 1,10,13/07/2008 00:00:00, 13/07/2008 00:00:00, 4, 2008-2009,PF,0,0,T0015530,19.55, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725019,0, N, 1, 1,10,13/07/2008 00:00:00, 13/07/2008 00:00:00, 4, 2008-2009,F,0,0,T0015556,19.55, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725019,0, N, 1, 1,10,13/07/2008 00:00:00, 13/07/2008 00:00:00, 4, 2008-2009,CP,0,0,T0015530,19.55, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725019,0, N, 1, 1,10,13/07/2008 00:00:00, 13/07/2008 00:00:00, 3, 2008-2009,CF,0,0,T0015556,19.55, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725014,0, N, 1, 1,10,15/04/2008 00:00:00, 15/04/2008 00:00:00, 5, 2008-2009,P,0,0,T0014843,13.4, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725014,0, N, 1, 1,10,15/04/2008 00:00:00, 15/04/2008 00:00:00, 5, 2008-2009,PF,0,0,T0014843,13.4, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725014,0, N, 1, 1,10,15/04/2008 00:00:00, 15/04/2008 00:00:00, 5, 2008-2009,F,0,0,T0014859,13.4, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725014,0, N, 1, 1,10,15/04/2008 00:00:00, 15/04/2008 00:00:00, 5, 2008-2009,CP,0,0,T0014843,13.4, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725014,0, N, 1, 1,10,15/04/2008 00:00:00, 15/04/2008 00:00:00, 4, 2008-2009,CF,0,0,T0014859,13.4, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725017,0, N, 1, 1,10,15/05/2008 00:00:00, 15/05/2008 00:00:00, 6, 2008-2009,P,0,0,T0015056,13.59, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725017,0, N, 1, 1,10,15/05/2008 00:00:00, 15/05/2008 00:00:00, 6, 2008-2009,PF,0,0,T0015056,13.59, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725017,0, N, 1, 1,10,15/05/2008 00:00:00, 15/05/2008 00:00:00, 6, 2008-2009,F,0,0,T0015098,13.59, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725017,0, N, 1, 1,10,15/05/2008 00:00:00, 15/05/2008 00:00:00, 6, 2008-2009,CP,0,0,T0015056,13.59, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725017,0, N, 1, 1,10,15/05/2008 00:00:00, 15/05/2008 00:00:00, 5, 2008-2009,CF,0,0,T0015098,13.59, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725020,0, N, 1, 1,10,18/08/2008 00:00:00, 18/08/2008 00:00:00, 7, 2008-2009,P,0,0,T0015754,20.45, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725020,0, N, 1, 1,10,18/08/2008 00:00:00, 18/08/2008 00:00:00, 7, 2008-2009,PF,0,0,T0015754,20.45, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725020,0, N, 1, 1,10,18/08/2008 00:00:00, 18/08/2008 00:00:00, 7, 2008-2009,F,0,0,T0015791,20.45, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725020,0, N, 1, 1,10,18/08/2008 00:00:00, 18/08/2008 00:00:00, 7, 2008-2009,CP,0,0,T0015754,20.45, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725015,0, N, 1, 1,10,20/04/2008 00:00:00, 20/04/2008 00:00:00, 8, 2008-2009,P,0,0,T0014857,13.42, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725015,0, N, 1, 1,10,20/04/2008 00:00:00, 20/04/2008 00:00:00, 8, 2008-2009,PF,0,0,T0014857,13.42, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725015,0, N, 1, 1,10,20/04/2008 00:00:00, 20/04/2008 00:00:00, 8, 2008-2009,F,0,0,T0014872,13.42, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725015,0, N, 1, 1,10,20/04/2008 00:00:00, 20/04/2008 00:00:00, 8, 2008-2009,CP,0,0,T0014857,13.42, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725015,0, N, 1, 1,10,20/04/2008 00:00:00, 20/04/2008 00:00:00, 6, 2008-2009,CF,0,0,T0014872,13.42, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725016,0, N, 1, 1,10,24/04/2008 00:00:00, 24/04/2008 00:00:00, 9, 2008-2009,P,0,0,T0014864,13.42, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725016,0, N, 1, 1,10,24/04/2008 00:00:00, 24/04/2008 00:00:00, 9, 2008-2009,PF,0,0,T0014864,13.42, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725016,0, N, 1, 1,10,24/04/2008 00:00:00, 24/04/2008 00:00:00, 9, 2008-2009,F,0,0,T0014878,13.42, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725016,0, N, 1, 1,10,24/04/2008 00:00:00, 24/04/2008 00:00:00, 9, 2008-2009,CP,0,0,T0014864,13.42, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725016,0, N, 1, 1,10,24/04/2008 00:00:00, 24/04/2008 00:00:00, 7, 2008-2009,CF,0,0,T0014878,13.42, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725021,0, N, 1, 1,10,24/08/2008 00:00:00, 24/08/2008 00:00:00, 10, 2008-2009,P,0,0,T0015779,19.55, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725021,0, N, 1, 1,10,24/08/2008 00:00:00, 24/08/2008 00:00:00, 10, 2008-2009,PF,0,0,T0015779,19.55, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725021,0, N, 1, 1,10,24/08/2008 00:00:00, 24/08/2008 00:00:00, 10, 2008-2009,F,0,0,T0015793,19.55, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725021,0, N, 1, 1,10,24/08/2008 00:00:00, 24/08/2008 00:00:00, 10, 2008-2009,CP,0,0,T0015779,19.55, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725021,0, N, 1, 1,10,24/08/2008 00:00:00, 24/08/2008 00:00:00, 8, 2008-2009,CF,0,0,T0015793,19.55, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725023,0, N, 1, 1,10,28/02/2009 00:00:00, 28/02/2009 00:00:00, 11, 2008-2009,P,0,0,T0017321,4.5, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725023,0, N, 1, 1,10,28/02/2009 00:00:00, 28/02/2009 00:00:00, 11, 2008-2009,PF,0,0,T0017321,4.5, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725023,0, N, 1, 1,10,28/02/2009 00:00:00, 28/02/2009 00:00:00, 11, 2008-2009,F,0,0,T0017324,4.5, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725023,0, N, 1, 1,10,28/02/2009 00:00:00, 28/02/2009 00:00:00, 11, 2008-2009,CP,0,0,T0017321,4.5, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725023,0, N, 1, 1,10,28/02/2009 00:00:00, 28/02/2009 00:00:00, 9, 2008-2009,CF,0,0,T0017324,4.5, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725018,0, N, 1, 1,10,28/06/2008 00:00:00, 28/06/2008 00:00:00, 12, 2008-2009,P,0,0,T0015346,18.8, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725018,0, N, 1, 1,10,28/06/2008 00:00:00, 28/06/2008 00:00:00, 12, 2008-2009,PF,0,0,T0015346,18.8, 	(03-MAY-2025 17:04:28)
