

<<START>>,<<FMS_ENTITY_ADDR_MST>>,,,,, 	(09-APR-2025 19:52:38)
 
COMPANY_CD,CD,ABBR,ADDR_TYPE,ENTITY,EFF_DT,TIMESTAMP
2, 29 , PipeInfra , R , C , 01/01/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 29 , PipeInfra , B , C , 01/01/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 29 , PipeInfra , C , C , 01/01/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 29 , PipeInfra , R , R , 01/01/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 30 , NFL , R , C , 01/05/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 30 , NFL , B , C , 01/05/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 30 , NFL , C , C , 01/05/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 31 , HSIL , R , C , 01/05/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 31 , HSIL , C , C , 01/05/2020 00:00:00, 	(09-APR-2025 19:52:39)
2,  , VVF , C , C , 01/05/2020 00:00:00, 	(09-APR-2025 19:52:39)	 (Not Inserted)
2,  , VVF , R , C , 01/05/2020 00:00:00, 	(09-APR-2025 19:52:39)	 (Not Inserted)
2,  , VVF , B , C , 01/05/2020 00:00:00, 	(09-APR-2025 19:52:39)	 (Not Inserted)
2, 32 , KFL , C , C , 23/07/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 32 , KFL , R , C , 23/07/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 32 , KFL , B , C , 23/07/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 197 , BIL , B , C , 25/06/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 197 , BIL , C , C , 25/06/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 197 , BIL , R , C , 25/06/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 254 , RIPL , R , C , 19/11/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 254 , RIPL , B , C , 19/11/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 254 , RIPL , C , C , 19/11/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 207 , CP , C , C , 15/10/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 207 , CP , R , C , 15/10/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 207 , CP , B , C , 15/10/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 150 , HALHFGL , B , C , 26/10/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 150 , HALHFGL , C , C , 26/10/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 150 , HALHFGL , R , C , 26/10/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 187 , VIDUWIL , R , C , 01/01/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 187 , VIDUWIL , B , C , 01/01/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 187 , VIDUWIL , C , C , 01/01/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 33 , AGP CGD , C , C , 25/01/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 33 , AGP CGD , R , C , 25/01/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 33 , AGP CGD , B , C , 25/01/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 34 , MINDA , C , C , 29/01/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 34 , MINDA , R , C , 29/01/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 34 , MINDA , B , C , 29/01/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 238 , LEIPL , R , C , 04/11/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 238 , LEIPL , B , C , 04/11/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 238 , LEIPL , C , C , 04/11/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 35 , SCHOTT , C , C , 24/02/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 35 , SCHOTT , R , C , 24/02/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 35 , SCHOTT , B , C , 24/02/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 36 , HIL , C , C , 01/01/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 36 , HIL , R , C , 01/01/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 36 , HIL , B , C , 01/01/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 37 , HCGD-B , B , C , 01/04/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 37 , HCGD-B , R , C , 01/04/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 37 , HCGD-B , C , C , 01/04/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 198 , BIPL , C , C , 21/07/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 198 , BIPL , R , C , 21/07/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 198 , BIPL , B , C , 21/07/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 220 , EXXARO , R , C , 23/06/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 220 , EXXARO , B , C , 23/06/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 220 , EXXARO , C , C , 23/06/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 220 , EXXARO , R , C , 29/05/2021 00:00:00, 	(09-APR-2025 19:52:39)	 (Not Inserted)
2, 257 , STVPL , R , C , 18/02/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 233 , JGPL , R , C , 18/02/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 279 , WALLCERA , R , C , 17/02/2021 00:00:00, 	(09-APR-2025 19:52:39)
