

<<START>>,<<FMS_LINK_CHECKPOST_PLANT>>,,,,, 	(30-MAY-2025 10:17:16)
 
COMPANY_CD,COUNTERPARTY_CD,ENTITY_TYPE,PLANT_SEQ_NO,CHKPOST_CD,EFF_DT,TIMESTAMP,
2,234,C,'1' , 41,16/11/2022 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,33,C,'1' , 4,03/03/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,33,C,'2' , 7,03/03/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,188,C,'1' , 41,15/03/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,190,C,'1' , 7,15/03/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,190,C,'2' , 7,15/03/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)	 (Not Inserted)
2,21,C,'3' , 41,17/06/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,33,C,'2' , 7,01/06/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,276,C,'1' , 41,01/07/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,188,C,'1' , 41,09/07/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,277,C,'1' , 41,10/07/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,33,C,'1' , 4,14/08/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,33,C,'2' , 40,14/08/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,210,C,'1' , 41,23/08/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,150,C,'1' , 41,29/11/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,210,C,'1' , 41,02/01/2024 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,33,C,'1' , 4,12/02/2024 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,198,C,'1' , 40,20/02/2024 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,263,C,'1' , 40,01/12/2022 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,276,C,'1' , 41,01/12/2022 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,197,C,'1' , 40,01/02/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,34,C,'1' , 41,01/04/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,190,C,'1' , 7,01/03/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,190,C,'2' , 7,01/03/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)	 (Not Inserted)
2,220,C,'1' , 41,06/09/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,150,C,'1' , 41,17/09/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,234,C,'1' , 41,19/01/2024 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,33,C,'1' , 4,22/01/2024 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,202,C,'1' , 40,05/02/2024 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,198,C,'1' , 41,15/02/2024 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,34,C,'1' , 41,17/02/2024 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,197,C,'1' , 40,17/02/2024 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,33,C,'1' , 4,17/02/2024 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,151,C,'1' , 7,03/03/2024 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,220,C,'1' , 41,05/03/2024 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,52,C,'4' , 41,07/03/2024 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,150,C,'1' , 41,09/04/2024 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,202,C,'1' , 40,25/04/2024 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,276,C,'1' , 41,08/07/2024 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,198,C,'1' , 40,07/07/2024 00:00:00 ,  	(30-MAY-2025 10:17:16)
