

<<START>>,<<FMS_SECURITY_DEAL_MAP(P)>>,,,, 	(18-JUL-2025 15:11:35)
 
COMPANY_CD,CD,SEQ_NO,MAP_SEQ_NO,SEQ_REV_NO,GX,TIMESTAMP
2, 4:Gail, 10, 2, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 15:11:36)
2, 4:Gail, 11, 2, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 15:11:36)
2, 4:Gail, 12, 2, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 15:11:36)
2, 4:Gail, 13, 2, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 15:11:36)
2, 4:Gail, 14, 2, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 15:11:36)
2, 4:Gail, 15, 2, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 15:11:36)
2, 4:Gail, 16, 2, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 15:11:36)
2, 4:Gail, 17, 2, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 15:11:36)
2, 4:Gail, 18, 1, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 15:11:36)
2, 4:Gail, 19, 1, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 15:11:36)
2, 4:Gail, 20, 1, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 15:11:36)
2, 4:Gail, 21, 1, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 15:11:36)
2, 4:Gail, 22, 1, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 15:11:36)
2, 4:Gail, 23, 1, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 15:11:36)
2, 4:Gail, 24, 1, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 15:11:36)
