

<<START>>,<<FMS_TRADER_CONT_BU>>,,,,,, 	(15-JUL-2025 12:52:05)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,1, 0, 0,823040, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823041, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823042, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823043, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823044, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823045, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823046, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823047, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823048, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823049, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823050, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823051, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823052, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823001, 2,I, 	(15-JUL-2025 12:52:05)	 (Not Inserted)
2,1, 0, 0,823001, 2,I, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823001, 1,I, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823001, 1,I, 	(15-JUL-2025 12:52:05)	 (Not Inserted)
2,1, 0, 0,823001, 0,I, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823001, 0,I, 	(15-JUL-2025 12:52:05)	 (Not Inserted)
2,1, 0, 0,824004, 21,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 21,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 21,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 21,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 21,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 21,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 20,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 20,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 20,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 20,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 19,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 19,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 19,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 19,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 19,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 19,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 18,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 18,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 18,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 18,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 18,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 18,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 17,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 17,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 17,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 17,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 17,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 17,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 16,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 16,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 16,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 16,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 16,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 16,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 15,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 15,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 15,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 15,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 14,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 14,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 14,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 14,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 14,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 14,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 13,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 13,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 13,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 13,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 13,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 13,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 12,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 12,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 12,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 12,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 12,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 12,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 11,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 11,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 11,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 11,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 11,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 11,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 10,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 10,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 10,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 10,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 10,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 10,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 9,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824005, 9,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,824004, 9,D, 	(15-JUL-2025 12:52:05)
