

<<START>>,<<FMS_SUPPLY_CONT_PLANT_CHRG>>,, 	(17-MAY-2025 17:56:51)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,CONTRACT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,TIMESTAMP,
GGL,25,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
GGL,25,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
OPAL,41,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
OPAL,41,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
OPAL,41,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
OPAL,41,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
OPAL,41,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
OPAL,41,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
OPAL,41,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
OPAL,41,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
OPAL,41,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
OPAL,41,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
OPAL,41,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
OPAL,41,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
RCF,42,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
TGBPL,47,S,1,0,2,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
TGBPL,47,S,1,0,3,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
TGBPL,47,S,1,0,3,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
CPL,55,S,1,0,4,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
CPL,55,S,1,0,6,1, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
CPL,55,S,1,0,6,1, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
CPL,55,S,1,0,5,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
CPL,55,S,1,0,5,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
CPL,55,S,1,0,5,1, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
CPL,55,S,1,0,5,1, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
CPL,55,S,1,0,6,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
CPL,55,S,1,0,6,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
CPL,55,S,1,0,4,2, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
CPL,55,S,1,0,4,2, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
CPL,55,S,1,0,4,2, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
CPL,55,S,1,0,4,2, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
CPL,55,S,1,0,7,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
CPL,55,S,1,0,7,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
CPL,55,S,1,0,7,1, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
CPL,55,S,1,0,7,1, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
CPL,55,S,1,0,6,1, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
INPEROX,59,S,1,0,3,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
RAFECHL,60,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
BHEL,66,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
BHEL,66,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
BHEL,66,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
BHEL,66,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HINAGIL,144,S,1,0,1,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
TASTELI,104,S,2,0,1,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
TASTELI,104,S,2,0,1,1, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HMEL,105,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
BOROREN,162,S,1,0,1,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
BOROREN,162,S,1,0,1,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
BOROREN,162,S,1,0,1,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
NESTLIN,176,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
NESTLIN,176,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
NESTLIN,176,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
NESTLIN,176,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
