

<<START>>,<<FMS_ENTITY_TAX_STRUCT_DTL>>,,,,,, 	(28-FEB-2025 18:20:48)
2,106 , RATNAGI , C , 1 , 1 , 19/01/2023 00:00:00, 	(28-FEB-2025 18:20:50)
2,202 , BHOGATD , C , 1 , 1 , 03/04/2023 00:00:00, 	(28-FEB-2025 18:20:50)
2,202 , BHOGATD , C , 2 , 1 , 03/04/2023 00:00:00, 	(28-FEB-2025 18:20:50)
2,151 , KINGASP , C , 2 , 1 , 13/01/2023 00:00:00, 	(28-FEB-2025 18:20:50)
2,151 , KINGASP , C , 1 , 1 , 13/01/2023 00:00:00, 	(28-FEB-2025 18:20:50)
2,278 , SEMTEXP , C , 1 , 2 , 01/04/2023 00:00:00, 	(28-FEB-2025 18:20:50)
2,210 , COMFIND , C , 1 , 1 , 13/12/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,183 , SUMGLAS , C , 1 , 1 , 27/09/2023 00:00:00, 	(28-FEB-2025 18:20:50)
2,184 , SVTPLIN , C , 1 , 1 , 28/09/2023 00:00:00, 	(28-FEB-2025 18:20:50)
2,162 , BOROREN , C , 1 , 1 , 05/01/2023 00:00:00, 	(28-FEB-2025 18:20:50)
2,123 , AVGL , C , 1 , 1 , 20/12/2023 00:00:00, 	(28-FEB-2025 18:20:50)
2,147 , HPOIGAS , C , 1 , 1 , 14/12/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,181 , SANENER , C , 1 , 1 , 21/09/2023 00:00:00, 	(28-FEB-2025 18:20:50)
2,121 , NGPL , C , 1 , 1 , 19/01/2024 00:00:00, 	(28-FEB-2025 18:20:50)
2,119 , ROCKIND , C , 1 , 2 , 23/02/2024 00:00:00, 	(28-FEB-2025 18:20:50)
2,174 , KUTCHCL , C , 1 , 1 , 20/06/2023 00:00:00, 	(28-FEB-2025 18:20:50)
2,176 , NESTLIN , C , 1 , 2 , 10/02/2023 00:00:00, 	(28-FEB-2025 18:20:50)
2,118 , LANCOKO , C , 1 , 1 , 05/04/2024 00:00:00, 	(28-FEB-2025 18:20:50)
2,118 , LANCOKO , C , 1 , 1 , 05/04/2024 00:00:00, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2,144 , HINAGIL , C , 1 , 2 , 14/12/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,66 , BHEL , C , 1 , 2 , 12/12/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,66 , BHEL , C , 2 , 2 , 12/12/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,130 , CRMNDEL , C , 1 , 3 , 01/07/2024 00:00:00, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2,130 , CRMNDEL , C , 1 , 3 , 01/07/2024 00:00:00, 	(28-FEB-2025 18:20:50)
2, , RIL-D6 , T , 2 , 1 , 01/01/2021 00:00:00, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2, , RIL-D6 , T , 2 , 1 , 01/01/2021 00:00:00, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2, , RIL-D6 , T , 1 , 1 , 01/01/2021 00:00:00, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2,43 , BP , T , 2 , 3 , 01/01/2021 00:00:00, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2,43 , BP , T , 2 , 3 , 01/01/2021 00:00:00, 	(28-FEB-2025 18:20:50)
2,43 , BP , T , 1 , 1 , 01/01/2021 00:00:00, 	(28-FEB-2025 18:20:50)
2, , RIL-CBM , T , 4 , 1 , 25/03/2022 00:00:00, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2, , RIL-CBM , T , 5 , 1 , 25/03/2022 00:00:00, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2,51 , ONGC , T , 1 , 1 , 07/06/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,20 , AMNS , T , 1 , 1 , 26/08/2006 00:00:00, 	(28-FEB-2025 18:20:50)
2,20 , AMNS , T , 1 , 2 , 26/08/2006 00:00:00, 	(28-FEB-2025 18:20:50)
2,20 , AMNS , T , 2 , 3 , 26/08/2006 00:00:00, 	(28-FEB-2025 18:20:50)
2,14 , BPCL , T , 1 , 1 , 24/07/2014 00:00:00, 	(28-FEB-2025 18:20:50)
2, , SEMTPL , T , 4 , 1 , 28/07/2017 00:00:00, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2, , SEMTPL , T , 2 , 3 , 28/07/2017 00:00:00, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2, , SEMTPL , T , 2 , 1 , 28/07/2017 00:00:00, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2,124 , MGRPL , T , 1 , 1 , 07/10/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,124 , MGRPL , T , 2 , 3 , 07/10/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,61 , EFSPL , T , 1 , 1 , 25/10/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,61 , EFSPL , T , 2 , 1 , 25/10/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,211 , DIL , T , 2 , 3 , 01/01/2023 00:00:00, 	(28-FEB-2025 18:20:50)
2,159 , CAIRENH , T , 1 , 1 , 17/05/2023 00:00:00, 	(28-FEB-2025 18:20:50)
2,186 , VEDALTD , T , 1 , 1 , 13/04/2023 00:00:00, 	(28-FEB-2025 18:20:50)
2,166 , ESSAREX , T , 1 , 1 , 14/12/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,64 , IGSPL , T , 2 , 1 , 16/12/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,81 , HOECLTD , T , 1 , 1 , 14/12/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,181 , SANENER , T , 1 , 1 , 21/09/2023 00:00:00, 	(28-FEB-2025 18:20:50)

TOTAL DATA IN EXCEL : ,300,,,,,, 	(28-FEB-2025 18:20:50)
 

TOTAL DATA INSERTED : ,237,,,,,, 	(28-FEB-2025 18:20:50)
 

TOTAL SKIPPED DATA ,63,,,,,, 	(28-FEB-2025 18:20:50)
 
<<END>>,<<FMS_ENTITY_TAX_STRUCT_DTL>>,,,,,, 	(28-FEB-2025 18:20:50)
 

<<START>>,<<FMS_ENTITY_SERVICE_TAX_DTL>>,,,,,,, 	(28-FEB-2025 18:20:50)
 
COMPANY_CD,CD,ABBR,ENTITY,PLANT_SEQ_NO,INVOICE_TYPE,EFF_DT,BU_UNIT,TIMESTAMP
2 ,1 , RIL , C , 10 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 9 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 8 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 7 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 1 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 4 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 3 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 2 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 5 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 9 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)
2 ,1 , RIL , C , 8 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)
2 ,1 , RIL , C , 7 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)
2 ,1 , RIL , C , 5 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)
2 ,1 , RIL , C , 1 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)
2 ,1 , RIL , C , 4 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)
2 ,1 , RIL , C , 3 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)
2 ,1 , RIL , C , 2 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)
2 ,1 , RIL , C , 14 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)
2 ,1 , RIL , C , 13 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)
2 ,1 , RIL , C , 7 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 9 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 10 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)
2 ,1 , RIL , C , 12 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)
2 ,1 , RIL , C , 11 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)
2 ,1 , RIL , C , 1 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 2 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 3 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 4 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 5 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 8 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 2 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 3 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 4 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 1 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 9 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 10 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 5 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 7 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 8 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 10 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 9 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 8 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 1 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 2 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 3 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 4 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 5 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,1 , RIL , C , 7 , 0 , 14/09/2008 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,3 , GSPCL , C , 1 , 0 , 24/03/2005 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,3 , GSPCL , C , 1 , 0 , 24/03/2005 00:00:00 , 1, 	(28-FEB-2025 18:20:50)
2 ,3 , GSPCL , C , 1 , 0 , 24/03/2005 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,3 , GSPCL , C , 1 , 0 , 24/03/2005 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,3 , GSPCL , C , 1 , 0 , 24/03/2005 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,4 , Gail , C , 5 , 0 , 08/03/2007 00:00:00 , 1, 	(28-FEB-2025 18:20:50)
2 ,4 , Gail , C , 6 , 0 , 08/03/2007 00:00:00 , 1, 	(28-FEB-2025 18:20:50)
2 ,4 , Gail , C , 1 , 0 , 08/03/2007 00:00:00 , 1, 	(28-FEB-2025 18:20:50)
2 ,4 , Gail , C , 1 , 0 , 08/03/2007 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,4 , Gail , C , 1 , 0 , 08/03/2007 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,4 , Gail , C , 1 , 0 , 08/03/2007 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,4 , Gail , C , 1 , 0 , 08/03/2007 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,11 , TPL , C , 2 , 0 , 04/08/2012 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,11 , TPL , C , 1 , 0 , 04/08/2012 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,11 , TPL , C , 1 , 0 , 04/08/2012 00:00:00 , 1, 	(28-FEB-2025 18:20:50)
2 ,11 , TPL , C , 2 , 0 , 04/08/2012 00:00:00 , 1, 	(28-FEB-2025 18:20:50)
2 ,11 , TPL , C , 1 , 0 , 04/08/2012 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,11 , TPL , C , 2 , 0 , 04/08/2012 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,11 , TPL , C , 1 , 0 , 04/08/2012 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,11 , TPL , C , 2 , 0 , 04/08/2012 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,11 , TPL , C , 1 , 0 , 04/08/2012 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,11 , TPL , C , 2 , 0 , 04/08/2012 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,15 , HPCL , C , 2 , 0 , 17/11/2010 00:00:00 , 1, 	(28-FEB-2025 18:20:50)
2 ,15 , HPCL , C , 1 , 0 , 17/11/2010 00:00:00 , 1, 	(28-FEB-2025 18:20:50)
2 ,20 , AMNS , C , 1 , 0 , 26/08/2006 00:00:00 , 1, 	(28-FEB-2025 18:20:50)
2 ,20 , AMNS , C , 1 , 0 , 26/08/2006 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 , , ESIL , C , 1 , 0 , 26/08/2006 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 , , SEMTPL , C , 2 , 0 , 28/07/2017 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2 ,20 , AMNS , C , 1 , UG , 26/08/2006 00:00:00 , 1, 	(28-FEB-2025 18:20:50)
2 ,20 , AMNS , C , 1 , LP , 26/08/2006 00:00:00 , 1, 	(28-FEB-2025 18:20:50)
2 ,20 , AMNS , C , 1 , ST , 26/08/2006 00:00:00 , 1, 	(28-FEB-2025 18:20:50)
2 ,20 , AMNS , C , 1 , LP , 26/08/2006 00:00:00 , 1, 	(28-FEB-2025 18:20:50)	 (Not Inserted)

TOTAL DATA IN EXCEL : ,80,,,,,,, 	(28-FEB-2025 18:20:50)
 

TOTAL DATA INSERTED : ,25,,,,,,, 	(28-FEB-2025 18:20:50)
 

TOTAL SKIPPED DATA ,55,,,,,,, 	(28-FEB-2025 18:20:50)
 
<<END>>,<<FMS_ENTITY_SERVICE_TAX_DTL>>,,,,,,, 	(28-FEB-2025 18:20:50)
 
