

<<START>>,<<FMS_ENTITY_REQ_DTL>>,,,, 	(20-FEB-2025 17:45:43)
 
COMPANY_CD,CD,ABBR,SEQ,ENTITY,TIMESTAMP
2 , 59 , INPEROX , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 60 , RAFECHL , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 124 , MGRPL , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 124 , MGRPL , 2,T, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 208 , CNTENKA , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 61 , EFSPL , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 61 , EFSPL , 2,T, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 158 , HINDURV , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 227 , HCGPUTE , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 63 , GOAGLSF , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 64 , IGSPL , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 64 , IGSPL , 2,T, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 65 , PEFORCV , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 66 , BHEL , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 210 , COMFIND , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 67 , DCMSHRI , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 81 , HOECLTD , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 81 , HOECLTD , 2,T, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 144 , HINAGIL , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 147 , HPOIGAS , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 86 , MANIKAR , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 166 , ESSAREX , 1,T, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 92 , NEL , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 104 , TASTELI , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 105 , HMEL , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 211 , DIL , 1,T, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 162 , BOROREN , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 151 , KINGASP , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 106 , RATNAGI , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 107 , IDOINVA , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 107 , IDOINVA , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 190 , AGPCGIN , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 176 , NESTLIN , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 110 , SITMEFZ , 1,T, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 188 , VISHPRI , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 ,  , SOMANY , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 202 , BHOGATD , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 186 , VEDALTD , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 186 , VEDALTD , 2,T, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 277 , VIGASLD , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 167 , GOLDPFG , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 159 , CAIRENH , 1,T, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 168 , GSIGLIM , 1,R, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 122 , GAILGAS , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 174 , KUTCHCL , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 278 , SEMTEXP , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 278 , SEMTEXP , 2,T, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 181 , SANENER , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 181 , SANENER , 2,T, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 183 , SUMGLAS , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 184 , SVTPLIN , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 112 , SPSSETL1 , 1,T, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 113 , SIETCO , 1,T, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 ,123 , AVGL , 1,C, 	(20-FEB-2025 17:45:44)
2 , 121 , NGPL , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 115 , SILS , 1,T, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 114 , STASCO , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 114 , STASCO , 2,T, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 ,119 , ROCKIND , 1,C, 	(20-FEB-2025 17:45:44)
2 ,118 , LANCOKO , 1,C, 	(20-FEB-2025 17:45:44)
2 , 130 , CRMNDEL , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 281 , SEIPLDY , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 134 , GSINLIM , 1,R, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 ,  , JMB , 1,H, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 ,  , BOXCO , 1,H, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 265 , SLPL , 1,H, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 265 , SLPL , 1,H, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 232 , JBB , 1,V, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 ,126 , SGSINDIA , 1,S, 	(20-FEB-2025 17:45:44)
2 , 232 , JBB , 1,S, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 264 , SSAPL , 1,S, 	(20-FEB-2025 17:45:44)	 (Not Inserted)

TOTAL DATA IN EXCEL : ,195,,,, 	(20-FEB-2025 17:45:44)
 

TOTAL DATA INSERTED : ,8,,,, 	(20-FEB-2025 17:45:44)
 

TOTAL SKIPPED DATA ,187,,,, 	(20-FEB-2025 17:45:44)
 
<<END>>,<<FMS_ENTITY_REQ_DTL>>,,,, 	(20-FEB-2025 17:45:44)
 

<<START>>,<<FMS_SECTOR_MST>>, 	(20-FEB-2025 17:45:44)
 
ABBR,,TIMESTAMP
RESELLERS,, 	(20-FEB-2025 17:45:44)
ELLECTRICAL/ ELECTRONICS,, 	(20-FEB-2025 17:45:44)
HEAVY MACHINES,, 	(20-FEB-2025 17:45:44)
LIGHT MACHINES,, 	(20-FEB-2025 17:45:44)
AIRCRAFTS,, 	(20-FEB-2025 17:45:44)
SHIPBUILD. & REPAIRS,, 	(20-FEB-2025 17:45:44)
TRUCKS&PASS VEHICALS,, 	(20-FEB-2025 17:45:44)
SCOOTERS ETC,, 	(20-FEB-2025 17:45:44)
HIGH PRESSURE VESSEL,, 	(20-FEB-2025 17:45:44)
MECH. MISCELLANEOUS,, 	(20-FEB-2025 17:45:44)
STRUCTURAL WORKS,, 	(20-FEB-2025 17:45:44)
IRON & STEEL PLANTS,, 	(20-FEB-2025 17:45:44)
