

<<START>>,<<FMS_TRADER_CARGO_MST>> 	(23-SEP-2025 14:36:05)
 
COMPANY_CD,CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_TYPE,CONT_NO,CONT_REV,CARGO_NO,CARGO_REF_NO,TIMESTAMP
2, 256:SITME, M, 1, 0, N, 719010, 0,1,19010, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 719011, 0,1,19011, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 719012, 0,1,19012, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 719013, 0,1,19013, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 719014, 0,1,19014, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 719015, 0,1,19015, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720001, 0,1,19016, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720002, 0,1,19017, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720003, 0,1,19018, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720004, 0,1,19020, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720005, 0,1,19019, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720006, 0,1,19021, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720007, 0,1,19022, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720008, 0,1,19023, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720009, 0,1,19024, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720010, 0,1,19025, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720011, 0,1,19026, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720012, 0,1,19027, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720012, 0,2,19028, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720013, 0,1,19029, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720013, 0,2,19030, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720014, 0,1,19031, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720015, 0,1,19032, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720016, 0,1,20001, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720017, 0,1,20002, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720018, 0,1,20003, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720019, 0,1,20005, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720020, 0,1,20007, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720021, 0,1,20010, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720022, 0,1,20011, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720023, 0,1,20012, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720024, 0,1,20013, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720024, 0,2,20014, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720024, 0,3,20015, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720024, 0,4,20016, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720025, 0,1,20017, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720026, 0,1,20018, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720027, 0,1,20019, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720028, 0,1,20020, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720029, 0,1,20021, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 720030, 0,1,20022, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 721006, 0,1,20025, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 721006, 0,2,20026, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 721006, 0,3,20027, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 721007, 0,1,21002, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 721008, 0,1,21003, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 721009, 0,1,21004, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 721010, 0,1,21008, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 721010, 0,2,21009, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 721011, 0,1,21047, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 721011, 0,2,21048, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 721011, 0,3,21049, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 721012, 0,1,21050, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 721013, 0,1,21053, 	(23-SEP-2025 14:36:05)
2, :DT, , , , , 721013, ,1,7030, 	(23-SEP-2025 14:36:05)	 (Not Inserted)
2, :DT, , , , , 721013, ,1,7031, 	(23-SEP-2025 14:36:05)	 (Not Inserted)
2, :DT, , , , , 721013, ,1,8031, 	(23-SEP-2025 14:36:05)	 (Not Inserted)
2, :DT, , , , , 721013, ,1,9027, 	(23-SEP-2025 14:36:05)	 (Not Inserted)
2, :DT, , , , , 721013, ,1,10015, 	(23-SEP-2025 14:36:05)	 (Not Inserted)
2, 268:ThirdParty, , , , , 721013, ,1,20004, 	(23-SEP-2025 14:36:05)	 (Not Inserted)
2, 268:ThirdParty, , , , , 721013, ,1,20009, 	(23-SEP-2025 14:36:05)	 (Not Inserted)
2, 268:ThirdParty, , , , , 721013, ,1,20023, 	(23-SEP-2025 14:36:05)	 (Not Inserted)
2, 268:ThirdParty, , , , , 721013, ,1,20024, 	(23-SEP-2025 14:36:05)	 (Not Inserted)
2, 268:ThirdParty, , , , , 721013, ,1,21005, 	(23-SEP-2025 14:36:05)	 (Not Inserted)
2, 268:ThirdParty, , , , , 721013, ,2,21006, 	(23-SEP-2025 14:36:05)	 (Not Inserted)
2, 152:GUNSPL, M, 1, 0, N, 721014, 0,1,21001, 	(23-SEP-2025 14:36:05)
2, 152:GUNSPL, M, 1, 0, N, 721015, 0,1,21055, 	(23-SEP-2025 14:36:05)
2, 1:RIL, , , , , 721015, ,1,21007, 	(23-SEP-2025 14:36:05)	 (Not Inserted)
2, 20:AMNS, , , , , 721015, ,1,21052, 	(23-SEP-2025 14:36:05)	 (Not Inserted)
2, 20:AMNS, , , , , 721015, ,1,21064, 	(23-SEP-2025 14:36:05)	 (Not Inserted)
2, 20:AMNS, , , , , 721015, ,1,21065, 	(23-SEP-2025 14:36:05)	 (Not Inserted)
2, 110:SITMEFZ, M, 1, 0, N, 723001, 0,1,23007, 	(23-SEP-2025 14:36:05)
2, 110:SITMEFZ, M, 1, 0, N, 723002, 0,1,23010, 	(23-SEP-2025 14:36:05)
2, 110:SITMEFZ, M, 1, 0, N, 723003, 0,1,23011, 	(23-SEP-2025 14:36:05)
2, 110:SITMEFZ, M, 1, 0, N, 723004, 0,1,23015, 	(23-SEP-2025 14:36:05)
2, 110:SITMEFZ, M, 1, 0, N, 723005, 0,1,23024, 	(23-SEP-2025 14:36:05)
2, 110:SITMEFZ, M, 1, 0, N, 723006, 0,1,23025, 	(23-SEP-2025 14:36:05)
2, 110:SITMEFZ, M, 1, 0, N, 723007, 0,1,23028, 	(23-SEP-2025 14:36:05)
2, 110:SITMEFZ, M, 1, 0, N, 723008, 0,2,23035, 	(23-SEP-2025 14:36:05)
