

<<START>>,<<FMS_OTH_INV_CRDR_REF>>,, 	(15-DEC-2025 17:58:28)
 
COMPANY_CD,INVOICE_SEQ,INVOICE_TYPE,FINANCIAL_YEAR,PDF_TYPE,FILE_NAME,SUPPLIER_CD,TIMESTAMP,
2,68 , HSA,2020-2021,92,, 	(15-DEC-2025 17:58:28)
 

<<START>>,<<FMS_OTH_INV_CRDR_REF>>,, 	(15-DEC-2025 17:58:33)
 
COMPANY_CD,INVOICE_SEQ,INVOICE_TYPE,FINANCIAL_YEAR,PDF_TYPE,FILE_NAME,SUPPLIER_CD,TIMESTAMP,
2,68 , HSA,2020-2021,92,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,46 , HSA,2020-2021,14,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,47 , HSA,2020-2021,14,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,66 , HSA,2020-2021,92,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,67 , HSA,2020-2021,92,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,48 , HSA,2021-2022,14,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,50 , HSA,2021-2022,92,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,54 , HSA,2021-2022,92,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,55 , HSA,2021-2022,92,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,51 , HSA,2021-2022,92,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,52 , HSA,2021-2022,14,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,49 , HSA,2021-2022,14,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,53 , HSA,2021-2022,92,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,45 , HSA,2021-2022,92,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,41 , HSA,2024-2025,36,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,42 , HSA,2024-2025,36,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,30 , HSA,2024-2025,14,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,31 , HSA,2024-2025,14,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,32 , HSA,2024-2025,14,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,33 , HSA,2024-2025,14,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,34 , HSA,2024-2025,14,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
