

<<START>>,<<FMS_SUPPLY_CONT_MST(DLNG)>>,, 	(12-JUN-2025 15:49:22)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
2,34,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,34,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,34,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,34,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,34,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,34,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,34,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,34,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,34,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,34,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,34,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,34,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,34,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,34,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,34,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,34,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,34,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,34,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,34,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,34,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,238,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,238,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,238,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
