

<<START>>,<<FMS_TRADER_CONT_MST>>,,,, 	(14-MAY-2025 12:50:22)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,1, 0, 0,824005, 11,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824004, 10,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824005, 10,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824004, 9,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824005, 9,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824004, 8,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824005, 8,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824004, 7,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824005, 7,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824004, 6,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824005, 6,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824004, 5,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824005, 5,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824004, 4,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824005, 4,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824004, 3,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824005, 3,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824004, 2,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824005, 2,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824004, 1,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824005, 1,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824004, 0,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824005, 0,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824006, 13,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824007, 13,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824006, 12,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824007, 12,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824006, 11,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824007, 11,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824006, 10,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824007, 10,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824006, 9,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824007, 9,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824006, 8,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824007, 8,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824006, 7,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824007, 7,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824006, 6,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824007, 6,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824006, 5,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824007, 5,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824006, 4,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824007, 4,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824006, 3,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824007, 3,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824006, 2,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824007, 2,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824006, 1,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824007, 1,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824006, 0,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824007, 0,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,823053, 4,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,823053, 3,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,823053, 2,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,823053, 1,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,823053, 0,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824008, 1,D, 	(14-MAY-2025 12:50:23)
2,1, 0, 0,824008, 0,D, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,822001, 3,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,822001, 2,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,822001, 1,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,822001, 0,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,822002, 4,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,822002, 3,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,822002, 2,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,822002, 1,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,822002, 0,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,822003, 1,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,822003, 0,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,822004, 1,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,822004, 0,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,823054, 1,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,823054, 0,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,823055, 1,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,823055, 0,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,823056, 1,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,823056, 0,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,823057, 1,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,823057, 0,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,823058, 1,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,823058, 0,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,823059, 1,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,823059, 0,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,823060, 1,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,823060, 0,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,823061, 1,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,823061, 0,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,823062, 1,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,823062, 0,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,823063, 1,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,823063, 0,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,823064, 1,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,823064, 0,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,823065, 0,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,823066, 2,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,823066, 1,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,823066, 0,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,823067, 3,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,823067, 2,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,823067, 1,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,823068, 1,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,823068, 0,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,824009, 1,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,824009, 0,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,824010, 1,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,824010, 0,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,824011, 1,I, 	(14-MAY-2025 12:50:23)
2,43, 0, 0,824011, 0,I, 	(14-MAY-2025 12:50:23)
