
<<START>>,<<FMS_GTA_AGMT_MST>>,, 	(09-JUN-2025 09:19:04)
 
COMPANY_CD,ABBR,AGMT_NAME,AGMT_TYPE,TIMESTAMP,
2,PipeInfra,18,PIL Oduru,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL GADI,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL GADI,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL GADI,P, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL GADI,P, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL GADI,P, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL GADI,P, 	(09-JUN-2025 09:19:06)
2,PipeInfra,1,PIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,1,PIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,1,PIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,1,PIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,1,PIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,1,PIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,1,PIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,GSPL,2,GSPL BHD,G, 	(09-JUN-2025 09:19:06)
2,GSPL,2,GSPL BHD,G, 	(09-JUN-2025 09:19:06)
2,GSPL,2,GSPL BHD,G, 	(09-JUN-2025 09:19:06)
2,GSPL,2,GSPL BHD,G, 	(09-JUN-2025 09:19:06)
2,GSPL,2,GSPL BHD,G, 	(09-JUN-2025 09:19:06)
