
<<START>>,<<FMS_TRADER_CN_MST>>, 	(16-JUL-2025 17:18:03)
 
CD,AGMT_TYPE,AGMT_NO,AGMR_REV,CONT_TYPE,CONT_NO,CONT_REV,TIMESTAMP
86, M ,89, 0 , N ,725191, 0 , 	(16-JUL-2025 17:18:05)
86, M ,90, 0 , N ,725192, 0 , 	(16-JUL-2025 17:18:05)
86, M ,91, 0 , N ,725193, 0 , 	(16-JUL-2025 17:18:05)
86, M ,92, 0 , N ,725194, 0 , 	(16-JUL-2025 17:18:05)
86, M ,93, 0 , N ,725195, 0 , 	(16-JUL-2025 17:18:05)
86, M ,94, 0 , N ,725196, 0 , 	(16-JUL-2025 17:18:05)
86, M ,95, 0 , N ,725197, 0 , 	(16-JUL-2025 17:18:05)
86, M ,96, 0 , N ,725198, 0 , 	(16-JUL-2025 17:18:05)
86, M ,97, 0 , N ,725199, 0 , 	(16-JUL-2025 17:18:05)
87, M ,2, 0 , N ,725200, 0 , 	(16-JUL-2025 17:18:05)
87, M ,3, 0 , N ,725201, 0 , 	(16-JUL-2025 17:18:05)
87, M ,4, 0 , N ,725202, 0 , 	(16-JUL-2025 17:18:05)
87, M ,5, 0 , N ,725203, 0 , 	(16-JUL-2025 17:18:05)
87, M ,6, 0 , N ,725204, 0 , 	(16-JUL-2025 17:18:05)
88, M ,2, 0 , N ,725205, 0 , 	(16-JUL-2025 17:18:05)
88, M ,3, 0 , N ,725206, 0 , 	(16-JUL-2025 17:18:05)
88, M ,4, 0 , N ,725207, 0 , 	(16-JUL-2025 17:18:05)
88, M ,5, 0 , N ,725208, 0 , 	(16-JUL-2025 17:18:05)
88, M ,6, 0 , N ,725209, 0 , 	(16-JUL-2025 17:18:05)
89, M ,2, 0 , N ,725210, 0 , 	(16-JUL-2025 17:18:05)
89, M ,3, 0 , N ,725211, 0 , 	(16-JUL-2025 17:18:05)
90, M ,2, 0 , N ,725212, 0 , 	(16-JUL-2025 17:18:05)
92, M ,2, 0 , N ,725213, 0 , 	(16-JUL-2025 17:18:05)
92, M ,3, 0 , N ,725214, 0 , 	(16-JUL-2025 17:18:05)
92, M ,4, 0 , N ,725215, 0 , 	(16-JUL-2025 17:18:05)
252, M ,2, 0 , N ,725216, 0 , 	(16-JUL-2025 17:18:06)
252, M ,3, 0 , N ,725217, 0 , 	(16-JUL-2025 17:18:06)
252, M ,4, 0 , N ,725218, 0 , 	(16-JUL-2025 17:18:06)
252, M ,5, 0 , N ,725219, 0 , 	(16-JUL-2025 17:18:06)
252, M ,6, 0 , N ,725220, 0 , 	(16-JUL-2025 17:18:06)
252, M ,7, 0 , N ,725221, 0 , 	(16-JUL-2025 17:18:06)
252, M ,8, 0 , N ,725222, 0 , 	(16-JUL-2025 17:18:06)
252, M ,9, 0 , N ,725223, 0 , 	(16-JUL-2025 17:18:06)
252, M ,10, 0 , N ,725224, 0 , 	(16-JUL-2025 17:18:06)
252, M ,11, 0 , N ,725225, 0 , 	(16-JUL-2025 17:18:06)
252, M ,12, 0 , N ,725226, 0 , 	(16-JUL-2025 17:18:06)
252, M ,13, 0 , N ,725227, 0 , 	(16-JUL-2025 17:18:06)
