
<<START>>,<<FMS_LTCORA_CONT_STRG_CRG>>,,,, 	(17-MAY-2025 18:06:26)
 
COUNTERPARTY_ABBR,BUY_SALE,AGMT_TYPE,AGMT_NO,AGMT_REV,CONTRACT_TYPE,CONT_NO,CONT_REV,SEQ_NO,TIMESTAMP,
7,20,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,21,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,22,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,23,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,24,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,25,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,26,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,27,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,28,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,29,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,30,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,31,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,32,1,1,K,L, 	(17-MAY-2025 18:06:28)
10,1,1,0,K,S, 	(17-MAY-2025 18:06:28)
10,2,1,0,K,S, 	(17-MAY-2025 18:06:28)
10,3,1,0,K,S, 	(17-MAY-2025 18:06:28)
10,4,1,0,K,S, 	(17-MAY-2025 18:06:28)
10,5,1,0,K,S, 	(17-MAY-2025 18:06:28)
10,6,1,1,K,S, 	(17-MAY-2025 18:06:28)
10,7,1,0,K,S, 	(17-MAY-2025 18:06:28)
10,8,1,0,K,S, 	(17-MAY-2025 18:06:28)
10,9,1,0,K,S, 	(17-MAY-2025 18:06:28)
10,10,1,0,K,S, 	(17-MAY-2025 18:06:28)
10,11,1,0,K,S, 	(17-MAY-2025 18:06:28)
10,12,1,0,K,S, 	(17-MAY-2025 18:06:28)
11,1,1,0,K,S, 	(17-MAY-2025 18:06:28)
12,1,1,0,K,S, 	(17-MAY-2025 18:06:28)
12,2,1,0,K,S, 	(17-MAY-2025 18:06:28)
12,3,1,0,K,S, 	(17-MAY-2025 18:06:28)
12,4,1,0,K,S, 	(17-MAY-2025 18:06:28)
12,5,1,0,K,S, 	(17-MAY-2025 18:06:28)
12,6,1,0,K,S, 	(17-MAY-2025 18:06:28)
12,7,1,0,K,S, 	(17-MAY-2025 18:06:28)
12,8,1,0,K,S, 	(17-MAY-2025 18:06:28)
12,9,1,0,K,S, 	(17-MAY-2025 18:06:28)
12,10,1,0,K,S, 	(17-MAY-2025 18:06:28)
12,11,1,0,K,S, 	(17-MAY-2025 18:06:28)
