

<<START>>,<<FMS_SUPPLY_CONT_TRANSPTR>>,,,,,,,, 	(04-JUN-2025 10:15:47)
 
COUNTERPARTY_CD, AGMT_NO, AGMT_REV, CONT_NO, CONT_REV, CONTRACT_TYPE, TRANSPORTER_CD, PLANT_SEQ_NO, TIMESTAMP
1,2,0,3,0,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,0,3,0,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,0,5,0,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,0,5,0,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,0,5,0,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,0,5,0,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,0,10,0,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,0,10,0,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,0,10,0,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,0,10,0,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,0,26,0,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,0,26,0,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,0,26,0,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,0,26,0,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,0,19,0,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,0,19,0,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,0,19,0,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,0,19,0,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,0,20,0,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,0,20,0,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,0,20,0,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,0,20,0,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,0,24,2,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,0,24,2,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,0,24,2,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,0,24,2,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,0,29,0,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,0,29,0,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,0,29,0,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,0,29,0,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,1,39,0,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,1,39,0,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,1,39,0,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,1,39,0,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,1,40,0,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,1,40,0,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,1,40,0,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,1,40,0,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,0,22,1,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,0,22,1,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,0,22,1,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,0,22,1,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,0,7,0,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,0,7,0,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,0,7,0,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,0,7,0,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,0,12,0,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,0,12,0,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,0,12,0,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,0,12,0,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,0,28,0,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,0,28,0,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,0,28,0,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,0,28,0,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,0,31,0,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,0,31,0,S,GSPL,2, 	(04-JUN-2025 10:15:48)
