
<<START>>,<<FMS_LTCORA_CONT_BILLING_DTL>>,,,, 	(12-SEP-2025 16:03:09)
 
RIL,C,A,1,0,1, 	(12-SEP-2025 16:03:10)
RIL,C,A,1,0,2, 	(12-SEP-2025 16:03:10)
RIL,C,A,1,0,3, 	(12-SEP-2025 16:03:10)
RIL,C,A,1,0,4, 	(12-SEP-2025 16:03:10)
RIL,C,A,1,0,5, 	(12-SEP-2025 16:03:10)
RIL,C,A,1,0,6, 	(12-SEP-2025 16:03:10)
RIL,C,A,1,0,7, 	(12-SEP-2025 16:03:10)
RIL,C,A,1,0,8, 	(12-SEP-2025 16:03:10)
RIL,C,A,1,0,9, 	(12-SEP-2025 16:03:10)
RIL,C,A,1,0,10, 	(12-SEP-2025 16:03:10)
RIL,C,A,1,0,1, 	(12-SEP-2025 16:03:10)
GSPCL,C,A,1,0,1, 	(12-SEP-2025 16:03:10)
GSPCL,C,A,1,0,2, 	(12-SEP-2025 16:03:10)
GSPCL,C,A,1,0,3, 	(12-SEP-2025 16:03:10)
GSPCL,C,A,1,0,4, 	(12-SEP-2025 16:03:10)
GSPCL,C,A,1,0,5, 	(12-SEP-2025 16:03:10)
GSPCL,C,A,1,0,6, 	(12-SEP-2025 16:03:10)
GSPCL,C,A,1,0,7, 	(12-SEP-2025 16:03:10)
GSPCL,C,A,1,0,8, 	(12-SEP-2025 16:03:10)
GSPCL,C,A,1,0,9, 	(12-SEP-2025 16:03:10)
GSPCL,C,A,1,0,10, 	(12-SEP-2025 16:03:10)
GSPCL,C,A,1,0,1, 	(12-SEP-2025 16:03:10)
Gail,C,A,1,0,1, 	(12-SEP-2025 16:03:10)
Gail,C,A,1,0,2, 	(12-SEP-2025 16:03:10)
Gail,C,A,1,0,3, 	(12-SEP-2025 16:03:10)
Gail,C,A,1,0,4, 	(12-SEP-2025 16:03:10)
Gail,C,A,1,0,5, 	(12-SEP-2025 16:03:10)
Gail,C,A,1,0,7, 	(12-SEP-2025 16:03:10)
Gail,C,A,1,0,8, 	(12-SEP-2025 16:03:10)
Gail,C,A,1,0,1, 	(12-SEP-2025 16:03:10)
Gail,C,A,1,0,1, 	(12-SEP-2025 16:03:10)
Gail,C,A,1,0,1, 	(12-SEP-2025 16:03:10)
RIL,C,A,1,0,13, 	(12-SEP-2025 16:03:10)
RIL,C,A,1,0,14, 	(12-SEP-2025 16:03:10)
RIL,C,A,1,0,11, 	(12-SEP-2025 16:03:10)
