
<<START>>,<<FMS_ENTITY_TAX_STRUCT_DTL>>,,, 	(09-SEP-2025 13:21:53)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,PLANT_SEQ_NO,TIMESTAMP
VIGASLD,123,C,1, 	(09-SEP-2025 13:21:54)
EFSPL,125,C,1, 	(09-SEP-2025 13:21:54)
VEDALTD,126,C,1, 	(09-SEP-2025 13:21:54)
VEDALTD,126,C,1, 	(09-SEP-2025 13:21:54)
GAILGAS,127,C,2, 	(09-SEP-2025 13:21:54)
GAILGAS,127,C,1, 	(09-SEP-2025 13:21:54)
RATNAGI,128,C,1, 	(09-SEP-2025 13:21:54)
RATNAGI,128,C,1, 	(09-SEP-2025 13:21:54)
BHOGATD,129,C,2, 	(09-SEP-2025 13:21:54)
BHOGATD,129,C,1, 	(09-SEP-2025 13:21:54)
KINGASP,130,C,2, 	(09-SEP-2025 13:21:54)
KINGASP,130,C,1, 	(09-SEP-2025 13:21:54)
SEMTEXP,131,C,1, 	(09-SEP-2025 13:21:54)
COMFIND,133,C,1, 	(09-SEP-2025 13:21:54)
SUMGLAS,134,C,1, 	(09-SEP-2025 13:21:54)
SVTPLIN,135,C,1, 	(09-SEP-2025 13:21:54)
BOROREN,136,C,1, 	(09-SEP-2025 13:21:54)
AVGL,137,C,1, 	(09-SEP-2025 13:21:54)
HPOIGAS,138,C,1, 	(09-SEP-2025 13:21:54)
SANENER,139,C,1, 	(09-SEP-2025 13:21:54)
NGPL,140,C,1, 	(09-SEP-2025 13:21:54)
ROCKIND,141,C,1, 	(09-SEP-2025 13:21:54)
KUTCHCL,143,C,1, 	(09-SEP-2025 13:21:54)
NESTLIN,144,C,1, 	(09-SEP-2025 13:21:54)
LANCOKO,146,C,1, 	(09-SEP-2025 13:21:54)
LANCOKO,146,C,1, 	(09-SEP-2025 13:21:54)
HINAGIL,147,C,1, 	(09-SEP-2025 13:21:54)
BHEL,148,C,2, 	(09-SEP-2025 13:21:54)
BHEL,148,C,1, 	(09-SEP-2025 13:21:54)
CRMNDEL,149,C,1, 	(09-SEP-2025 13:21:54)
CRMNDEL,149,C,1, 	(09-SEP-2025 13:21:54)
RIL-D6,7,T,2, 	(09-SEP-2025 13:21:54)
RIL-D6,7,T,2, 	(09-SEP-2025 13:21:54)
RIL-D6,7,T,1, 	(09-SEP-2025 13:21:54)
BP,8,T,1, 	(09-SEP-2025 13:21:54)
BP,8,T,1, 	(09-SEP-2025 13:21:54)
BP,8,T,1, 	(09-SEP-2025 13:21:54)
RIL-CBM,10,T,5, 	(09-SEP-2025 13:21:54)
RIL-CBM,10,T,4, 	(09-SEP-2025 13:21:54)
ONGC,12,T,1, 	(09-SEP-2025 13:21:54)
AMNS,13,T,1, 	(09-SEP-2025 13:21:54)
AMNS,13,T,1, 	(09-SEP-2025 13:21:54)
AMNS,13,T,1, 	(09-SEP-2025 13:21:54)
BPCL,14,T,1, 	(09-SEP-2025 13:21:54)
SEMTIPL,16,T,4, 	(09-SEP-2025 13:21:54)
SEMTIPL,16,T,1, 	(09-SEP-2025 13:21:54)
SEMTIPL,16,T,2, 	(09-SEP-2025 13:21:54)
MGRPL,17,T,1, 	(09-SEP-2025 13:21:54)
MGRPL,17,T,1, 	(09-SEP-2025 13:21:54)
EFSPL,18,T,1, 	(09-SEP-2025 13:21:54)
EFSPL,18,T,2, 	(09-SEP-2025 13:21:54)
DIL,19,T,1, 	(09-SEP-2025 13:21:54)
CAIRENH,22,T,1, 	(09-SEP-2025 13:21:54)
VEDALTD,23,T,1, 	(09-SEP-2025 13:21:54)
ESSAREX,25,T,1, 	(09-SEP-2025 13:21:54)
IGSPL,26,T,2, 	(09-SEP-2025 13:21:54)
HOECLTD,31,T,1, 	(09-SEP-2025 13:21:54)
SANENER,32,T,1, 	(09-SEP-2025 13:21:54)

TOTAL DATA EXTRACTED :,328,,, 	(09-SEP-2025 13:21:55)
 
<<END>>,<<FMS_ENTITY_TAX_STRUCT_DTL>>,,, 	(09-SEP-2025 13:21:55)
 
