

<<START>>,<<FMS_GTA_FFLOW_INV_MST>>,,, 	(30-AUG-2025 10:37:22)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,GAS_DT,NOM_REV_NO,TRANSPORTER_MAP,CONT_MAP,MDQ,TIMESTAMP,

TOTAL DATA EXTRACTED :,237 ,,, 	(30-AUG-2025 10:37:25)
 
<<END>>,<<FMS_GTA_FFLOW_INV_MST>>,,, 	(30-AUG-2025 10:37:25)
 

<<START>>,<<FMS_GTA_FFLOW_INV_DTL>>,,, 	(30-AUG-2025 10:37:25)
 
COMPANY_CD,COUNTERPARTY_CD,CONTRACT_TYPE,INVOICE_NO,INVOICE_TYPE,TIMESTAMP,
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109013648,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109013650,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109014700,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109015922,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109015929,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109017273,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1607-701,FGSA,UPG2A24109000074,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1607-701,FGSA,UPG2A24109000304,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1607-701,FGSA,UPG2A24109001036,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1608-701,FGSA,UPG2A24109017278,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-701,FGSA,UPG2A23109016592,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-701,FGSA,UPG2A23109017486,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-701,FGSA,UPG2A23109017520,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-701,FGSA,UPG2A24109004841,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-701,FGSA,UPG2A24109005743,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-701,FGSA,UPG2A24109009692,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-701,FGSA,UPG2A24109011729,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-701,FGSA,UPG2A24109011731,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-701,FGSA,UPG2A24109014699,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-701,FGSA,UPG2A24109014701,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-701,FGSA,UPG2A24109014702,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-701,FGSA,UPG2A24109014799,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-701,FGSA,UPG2A24109014826,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-701,FGSA,UPG2A24109016522,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-701,FGSA,UPG2A24109017449,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-381,FGSA,UPG2A24109007189,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-881,FGSA,UPG2A23109004889,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-881,FGSA,UPG2A23109004889,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-881,FGSA,UPG2A23109005570,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-881,FGSA,UPG2A23109005613,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-881,FGSA,UPG2A23109005613,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-881,FGSA,UPG2A23109005613,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-391,FGSA,UPG2A24109024007,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-391,FGSA,UPG2A24109024017,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-371,FGSA,UPG2A23109016534,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-372,FGSA,UPG2A23109016665,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-372,FGSA,UPG2A23109007814,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-348,FGSA,UPG2A23109004747,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-349,FGSA,UPG2A23109004748,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-371,FGSA,UPG2A24109005721,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-371,FGSA,UPG2A24109008624,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-371,FGSA,UPG2A24109009480,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-371,FGSA,UPG2A24109011721,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-371,FGSA,UPG2A24109011722,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-372,FGSA,UPG2A24109005843,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-372,FGSA,UPG2A24109024020,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-372,FGSA,UPG2A24109024022,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-372,FGSA,UPG2A24109025262,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-371,FGSA,UPG2A24109013367,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-371,FGSA,UPG2A24109013368,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-371,FGSA,UPG2A24109014671,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-371,FGSA,UPG2A24109014673,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-371,FGSA,UPG2A24109021627,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-371,FGSA,UPG2A24109021628,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-372,FGSA,UPG2A24109021637,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-372,FGSA,UPG2A24109021638,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1606-372,FGSA,UPG2A25109009355,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-333,FGSA,UPG2A23109004659,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1606-332,FGSA,UPG2A23109007139,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-332,FGSA,UPG2A23109007901,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-332,FGSA,UPG2A23109007901,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-332,FGSA,UPG2A23109007901,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-332,FGSA,UPG2A23109007901,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-332,FGSA,UPG2A23109010924,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-332,FGSA,UPG2A23109010925,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-333,FGSA,UPG2A23109013301,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-1141,FGSA,UPG2A24109004015,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-1141,FGSA,UPG2A24109005833,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-1211,Tender,UPG2A23109007478,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-1211,Tender,UPG2A23109007478,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-1211,Tender,UPG2A23109007989,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-1211,Tender,UPG2A23109008796,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-2-16-1604-542,Trans,HRG2A22136000657,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-2-16-1604-542,Trans,HRG2A22136000775,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-2-16-1604-542,Trans,HRG2A22136000816,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-2-16-1604-542,Trans,HRG2A22136000817,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-2-16-1604-542,Trans,UPG2A23109000244,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-2-16-1604-542,Trans,UPG2A23109000264,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-2-16-1604-542,Trans,UPG2A23109007689,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-1201,Tender,UPG2A23109012053,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-1211,Tender,UPG2A24109020368,TC, 	(30-AUG-2025 10:37:25)
