

<<START>>,<<FMS_AGMT_MST>>,,, 	(03-MAR-2025 12:33:51)
 
COUNTERPARTY_ABBR,AGMT_TYPE,AGMT_NO,AGMT_REV 	(03-MAR-2025 12:33:52)
TPL,F,1,0,GSPL,4, 	(03-MAR-2025 12:33:53)
BPCL,F,1,0,GSPL,1, 	(03-MAR-2025 12:33:53)
BPCL,F,1,0,GSPL,2, 	(03-MAR-2025 12:33:53)
BPCL,F,1,0,GSPL,3, 	(03-MAR-2025 12:33:53)
BPCL,F,1,0,GSPL,4, 	(03-MAR-2025 12:33:53)
TEL,F,1,0,GSPL,1, 	(03-MAR-2025 12:33:53)
TEL,F,1,0,GSPL,2, 	(03-MAR-2025 12:33:53)
TEL,F,1,0,GSPL,3, 	(03-MAR-2025 12:33:53)
TEL,F,1,0,GSPL,4, 	(03-MAR-2025 12:33:53)
HPCL,F,1,2,GSPL,1, 	(03-MAR-2025 12:33:53)
HPCL,F,1,2,GSPL,2, 	(03-MAR-2025 12:33:53)
HPCL,F,1,2,GSPL,3, 	(03-MAR-2025 12:33:53)
HPCL,F,1,2,GSPL,4, 	(03-MAR-2025 12:33:53)
HPCL,F,2,0,GSPL,1, 	(03-MAR-2025 12:33:53)
HPCL,F,2,0,GSPL,2, 	(03-MAR-2025 12:33:53)
HPCL,F,2,0,GSPL,3, 	(03-MAR-2025 12:33:53)
HPCL,F,2,0,GSPL,4, 	(03-MAR-2025 12:33:53)
HPCL,F,1,1,GSPL,1, 	(03-MAR-2025 12:33:53)
HPCL,F,1,1,GSPL,2, 	(03-MAR-2025 12:33:53)
HPCL,F,1,1,GSPL,3, 	(03-MAR-2025 12:33:53)
HPCL,F,1,1,GSPL,4, 	(03-MAR-2025 12:33:53)
HPCL,F,1,0,GSPL,1, 	(03-MAR-2025 12:33:53)
HPCL,F,1,0,GSPL,2, 	(03-MAR-2025 12:33:53)
HPCL,F,1,0,GSPL,3, 	(03-MAR-2025 12:33:53)
